"source","binder_pdf_page_number","year","month","day","arrival_time","observer","lek_name","trapping_activity","wind_mph","cloud_cover_percent","snowing_status","raining_status","temp_f","other_weather_conditions","lek_ground_condition","predator_disturbance_type_","predator_disturbance_time","type","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","time","sunrise_time","num_males_observed","num_females_observed","comments_observations_or_marks","time_start","time_end","num_of_struts","struts_5_min","distance_to_hens_category","distance_to_hens_notes","fights","num_of_copulations","breed","malaria","lice","other_fights_and_comments"
"binder","19","1988","4","15","5:37","Koeppen","cordingly",NA,"0-5","40","no","no",NA,"Hazy on Horizons","Clear and dry no frost","coyotes","6:45","strut","orange",NA,NA,NA,NA,NA,NA,NA,"6:30",NA,NA,NA,"8:00",NA,"32","32","1",NA,NA,NA,NA,NA,NA,"OP chased hens to north. 5:58 copulation? 6:25: golden eagle flew over. 
Hens are moving to north. RB + OP fight, OP won. Pair of coyotes moved by at 6:45 50-100 yards away, no effect on birds. 6:49 fight + BB + WR appears to be even matchup, BB walked off. By 7:00, all activity stopped - no hens on lek, moved to north. "
"binder","19","1988","4","15","5:37","Koeppen","cordingly",NA,"0-5","40","no","no",NA,"Hazy on Horizons","Clear and dry no frost","coyotes","6:45","observation",NA,NA,NA,NA,NA,NA,NA,"6:16","6:30","6","3","5 hens flew NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OP chased hens to north. 5:58 copulation? 6:25: golden eagle flew over. 
Hens are moving to north. RB + OP fight, OP won. Pair of coyotes moved by at 6:45 50-100 yards away, no effect on birds. 6:49 fight + BB + WR appears to be even matchup, BB walked off. By 7:00, all activity stopped - no hens on lek, moved to north. "
"binder","19","1988","4","15","5:37","Koeppen","cordingly",NA,"0-5","40","no","no",NA,"Hazy on Horizons","Clear and dry no frost","coyotes","6:45","strut",NA,NA,NA,NA,NA,NA,NA,NA,"6:30",NA,NA,NA,"6:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OP chased hens to north. 5:58 copulation? 6:25: golden eagle flew over. 
Hens are moving to north. RB + OP fight, OP won. Pair of coyotes moved by at 6:45 50-100 yards away, no effect on birds. 6:49 fight + BB + WR appears to be even matchup, BB walked off. By 7:00, all activity stopped - no hens on lek, moved to north. "
"binder","20","1988","4","16","5:53","Koeppen","cordingly",NA,"0-5","20","no","no",NA,"Light fog + Hazy horizens","Frosted a little ",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"5:53","6:37","6","11","male by stake has 5 females around him",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6:01: Op fight unmarked, OP won. One female around male by stake. OP chasing hens. Female move north and south. BB-WR fight - BB walked off no apparent winner. 6:50 unmarked male by stake 1 copualtion. 6:56: OP and unmarked - op challenged by unmakred, unmarked back off. Hens left to NW at 7:20 OP chasing as usual"
"binder","20","1988","4","16","5:53","Koeppen","cordingly",NA,"0-5","20","no","no",NA,"Light fog + Hazy horizens","Frosted a little ",NA,NA,"strut","orange",NA,NA,NA,NA,NA,NA,NA,"6:37",NA,NA,NA,"6:09","6:14","31","31","1",NA,NA,NA,NA,NA,NA,"6:01: Op fight unmarked, OP won. One female around male by stake. OP chasing hens. Female move north and south. BB-WR fight - BB walked off no apparent winner. 6:50 unmarked male by stake 1 copualtion. 6:56: OP and unmarked - op challenged by unmakred, unmarked back off. Hens left to NW at 7:20 OP chasing as usual"
"binder","20","1988","4","16","5:53","Koeppen","cordingly",NA,"0-5","20","no","no",NA,"Light fog + Hazy horizens","Frosted a little ",NA,NA,"copulation","orange",NA,NA,NA,NA,NA,NA,NA,"6:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","yes",NA,NA,"6:01: Op fight unmarked, OP won. One female around male by stake. OP chasing hens. Female move north and south. BB-WR fight - BB walked off no apparent winner. 6:50 unmarked male by stake 1 copualtion. 6:56: OP and unmarked - op challenged by unmakred, unmarked back off. Hens left to NW at 7:20 OP chasing as usual"
"binder","20","1988","4","16","5:53","Koeppen","cordingly",NA,"0-5","20","no","no",NA,"Light fog + Hazy horizens","Frosted a little ",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:05","6:37","6","9","female start to move to N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6:01: Op fight unmarked, OP won. One female around male by stake. OP chasing hens. Female move north and south. BB-WR fight - BB walked off no apparent winner. 6:50 unmarked male by stake 1 copualtion. 6:56: OP and unmarked - op challenged by unmakred, unmarked back off. Hens left to NW at 7:20 OP chasing as usual"
"binder, floppy","20","1988","4","16","5:53","Koeppen","cordingly",NA,"0-5","20","no","no",NA,"Light fog + Hazy horizens","Frosted a little ",NA,NA,"strut","white","430","W430","red","178","R178","adult",NA,"6:37, 6:30",NA,NA,NA,"6:15","6:20","33","33","3",NA,NA,NA,"no","no","yes","6:01: Op fight unmarked, OP won. One female around male by stake. OP chasing hens. Female move north and south. BB-WR fight - BB walked off no apparent winner. 6:50 unmarked male by stake 1 copualtion. 6:56: OP and unmarked - op challenged by unmakred, unmarked back off. Hens left to NW at 7:20 OP chasing as usual"
"binder","20","1988","4","16","5:53","Koeppen","cordingly",NA,"0-5","20","no","no",NA,"Light fog + Hazy horizens","Frosted a little ",NA,NA,"copulation","unmarked",NA,NA,NA,NA,NA,NA,NA,"6:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","yes",NA,NA,"6:01: Op fight unmarked, OP won. One female around male by stake. OP chasing hens. Female move north and south. BB-WR fight - BB walked off no apparent winner. 6:50 unmarked male by stake 1 copualtion. 6:56: OP and unmarked - op challenged by unmakred, unmarked back off. Hens left to NW at 7:20 OP chasing as usual"
"binder","20","1988","4","16","5:53","Koeppen","cordingly",NA,"0-5","20","no","no",NA,"Light fog + Hazy horizens","Frosted a little ",NA,NA,"observation",NA,NA,NA,NA,NA,NA,NA,"6:21","6:37","6","6","all females scattered ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6:01: Op fight unmarked, OP won. One female around male by stake. OP chasing hens. Female move north and south. BB-WR fight - BB walked off no apparent winner. 6:50 unmarked male by stake 1 copualtion. 6:56: OP and unmarked - op challenged by unmakred, unmarked back off. Hens left to NW at 7:20 OP chasing as usual"
