,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left ,Right,,,
,,,,,,,,,,,,,,,,6:22,125,4,,6:08,6:13,Yellow,?,3,3,,-,,,,,
,,,,,,,,,,,,,,,,6:45,120,3,,6:15,6:20,Green White,?,0,3,,1 lost,,,,,
,,,,,,,,,,,,,,,,7:02,110,2,,6:29,6:34,Orange White,-,14,2,,-,,,,,
,,,,,,,,,,,,,,,,7:20,79,2,,,,,,,,,,,,,,
90,05-05-1990,5:38,6:05,MUD SPRINGS,White,Cannon netting,-,80,-,,30,,Snow and rain overnight,,,5:45,24,1,,,,,,,,,,,,,,W lek eng
91,06-05-1990,5:35,6:00,MUD SPRINGS,White,None,0 to 5,0,-,-,30,,Clear,,,5:39,116,7,,5:43,5:48,WR,WO,28,1,,With UM male - WR WG chased him off,,,,,"Birds very dispersed at tent, shifted breeding center, Left 7:13 birds just sitting - hends wandering off, lots of male/male flew "
,,,,,,,,,,,,,,,,7:09,53,6,,6:03,6:08,WO,R,4,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:23,6:28,WY1228,R,0,3,,Standoff with UM male,,,,,
,,,,,,,,,,,,,,,,,,,,6:23,6:28,WG,Y,0,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:56,7:01,WR,OG,13,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:58,7:03,WG,Y,1,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:05,7:10,WY1228,R,0,3,,-,,,,,
92,08-05-1990,5:30,~ 6:00,MUD SPRINGS,White/Timalholoth,None,5 to 10,95,-,Overnight,35,-,Clear,,,5:39,89,10,,6:17,6:19,WY,R,0,3,,flew away 6:19,WY,B,,1(?),By 7:05 most birds gone
,,,,,,,,,,,,,,,,6:33,95,3,Hens just wandering,6:21,6:26,WR,WG1584,0,3,,Just wandered off!,,,,,
,,,,,,,,,,,,,,,,,,,,6:20,6:25,WO,B,6,3,,-,,,,,
93,09-05-1990,5:49,5:58,MUD SPRINGS,White/Brady,?,Calm,80,-,-,25,-,Snow covered,,,6:04,70,10,,6:34,6:39,WR,R,18,1,,"Chased off juv, got chased by UM male",,,,,Left 6:58
,,,,,,,,,,,,,,,,6:56,47,4,"Very (?), very little activity",,,,,,,,,,,,,
94,10-05-1990,5:32,,MUD SPRINGS,White/Brady,,Calm,0,-,-,20,-,Clear,?,before 5:30,6:00,20,4,Males scattered through sage brush,6:02,6:07,G,WY,26,1,,Chased off juv,,UM,,1,"No birds on lek at arrival  - slandy began to fetter back in, but was spooky, ? lek 6:13, By 6:? all birds gone, left "
,,,,,,,,,,,,,,G. Eagle,6:32,6:11,46,5,,6:20,6:25,WB,G?,25,3,,DJ,,,,,
95,12-05-1990,5:39,,MUD SPRINGS,White/Baldwin,None,Calm,70,-,-,30,,Clear,,,5:39,2,0,,,,,,,,,,,,,,No activity- left at 6:00- no birds in sight
96,16-05-1990,5:44,6:00,MUD SPRINGS,White,None,0 to 5,40,-,-,46,,Clear,,,5:52,41,11,,,,,,,,,,,UM,,7,"No ? birds!, By 6:50 most hens gone, Left 6:55, 2 females homo? cop. male, Male copopulated in bush, next to ? male"
,,,,,,,,,,,,,,,,6:09,4,12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:15,29,4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:30,19,1,,,,,,,,,,,,,,
