,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,6:49,54,17,,6:22,6:27,R,Y,43,1,,0,unmarked,,,1,
,,,,,,,,,,,,,,,,7:15,61,39,Hens wandering,6:25,6:30,B,-,28,1,,0,,,,,
,,,,,,,,,,,,,,,,,,,,6:30,6:35,W,R?,22,1,2 - 3 wandering,0,,,,,
,,,,,,,,,,,,,,,,,,,,6:36,6:41,R,R,32,1,,0  outside edge of hen cluster,,,,,
45,12-04-1989,6:08,6:40,MS,White,None,0 to 5,2,-,-,,-,Clear,,,6:13,57,106,Hens all over the place!! 50 + 7 males,6:22,6:27,W,B,39,,A few wandered by in 5M,Standoff w/UM male,unmarked,,,1,same 2 hen cluster as 11 April. 7:00 alot of hens leaving. 7:25 more ???. Left at 7:35
,,,,,,,,,,,,,,,,6:48,57,56,Female ?/W. 50+7 Males,6:29,6:33,R,Y,47,1,,-,unmarked,,,1,
,,,,,,,,,,,,,,,,7:21,60,55,,6:30,6:40,,UM,27,1,,interrupted by breeding male,,,,,
,,,,,,,,,,,,,,,,7:32,44,32,,6:41,6:46,R,R,26,,I wondered by UM,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:54,6:59,W,R,21,3,,"Chased juvenile, standoff w/ UM male",,,,,
46,13-04-1989,6:18,6:40,,Pat Tim  Dave,Spotlighting,5 to 10,2,-,-,,-,Clear,,,6:23,42,44,W/R R/Y WB/WB W/R R/R,6:32,6:37,WB,WB,25,1,,Standoff wingbeat w/UM male,WR,WG,,1,2 males mated right in front. West lek much more ?  Hens leaving at 7:30. Left 7:35
,,,,,,,,,,,,,,,,7:03,30,23,?,6:32,6:37,R,Y,43,1,,-,,,,,
,,,,MS,,,,,,,,,,,,7:15,37,13,,6:41,6:46,R,R,21,1,,-,,,,,
,,,,,,,,,,,,,,,,7:26,43,39,,6:44,6:49,W,B,28,,1 wandering by,Wingbeat and standoff w/UM male,,,,,
,,,,,,,,,,,,,,,,,,,2 marked birds WR/WG WY/WO,7:07,7:12,B,-,20,,1 wandering by,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:23,7:28,WR,W,31,1,,Chased UM male,,,,,
47,14-04-1989,5:50,,MUD SPRP,White/Wells/Wilson,None,,25,-,-,,,Clear,,, 6:09,48,22,W lek. R/W Female-/w,6:19,6:24,R,Y,14,1,,-,R,Y,,1,"1 male present w/bloody side wing or air sac damage? Juvenile. 6:47 - females off 
"
,,,,,,,,,,,,,,,,6:53,52,24,Some hens off LEK,6:22,6:26,W,B,3,1,,-,,,,,
,,,,,,,,,,,,,,,,7:16,52,13,,6:24,6:29,R,W,24,2,,juvenile ?,,,,,
,,,,,,,,,,,,,,,,N/A,59,13,,6:32,6:39,WB,WB,24,,why wandering within 5m,standoff with UM male,,,,,
,,,,,,,,,,,,,,,,,,,,6:41,6:46,B,-,32,1,,1 wing beat,,,,,
,,,,,,,,,,,,,,,,,,,,6:53,6:58,WR,WB,23,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:06,7:11,WO,WG,13,1,,??,,,,,
,,,,,,,,,,,,,,,,,,,,7:11,7:16,WY,WO,16,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:17,7:22,WB,WR,36,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:18,7:23,R,G,24,,wandering by,-,,,,,
,,,,,,,,,,,,,,,,,,,,7:19,7:31,WB,WG,14,,1 wandering by,-,,,,,
48,15-04-1989,5:46,,MS,White,Spotlighting,5 to 10,40,-,-,,-,Clear,,,6:04,37,19,W lek,6:10,6:15,W,B,38,1,,Standoff with UM?,unmarked,,,1,
,,,,,,,,,,,,,,,,6:47,54,16,W lek,6:18,6:28,WG,WB,24,1,,-,unmarked,,,1,
,,,,,,,,,,,,,,,,,,,,6:25,6:30,R,Y,37,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:31,6:36,WR,WG,0,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:38,6:43,W,R,22,1,,Standoff w UM?,,,,,
49,16-04-1989,5:50,6:49,MUD SPRINGS,Boyce/Deb  McCleery,None,10 to 15,60,,,,,OK,,,,,,,6:17,6:22,R,R,29,1,,,R,Y,5:55,1,Unmarked male adjacent to G/B. Second unmarked cop SE of main group. SE cluster - 12 females in cluster
,,,,,,,,,,,,,,,,5:50,43,,North center. Bad light  - inaccurate count,6:17,6:22,R,Y,48,1,,,unmarked,,6:27,1,
,,,,,,,,,,,,,,,,6:05,68,47,North center. ,6:40,6:45,G,Y,32,1,,,unmarked,,6:35,1,
,,,,,,,,,,,,,,,,6:57,75,33,North center. (several flew away at 7:08),6:40,6:45,W,B,32,1,,,unmarked,,7:00,1,
,,,,,,,,,,,,,,,,7:20,70,32,,7:10,7:15,R,Y,33,1,,,unmarked,,7:27,1,
,,,,,,,,,,,,,,,,7:52,57,9,,7:12,7:17,G,B,0,3,,Chased off another male,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,43,10,South center. 6+ copulations,,,,,,,,,,,,,
50,18-04-1989,5:43,6:41,MUD SPRINGS,Boyce,None,1 to 2,5,,,,,Dry - clear moonlit night,None,,,,,,6:35,6:40,W,B,40,1,,,unmarked,,6:43,1,6:23 unmarked male solicited at SE edge of N center. 6:26 female chased off another female - females in cluster. 6:50 14 females in cluster around SE male. 1 female on back of male while attempting copulation. Copulations. 7:20 onwards with male missing many tail feathers. 
,,,,,,,,,,,,,,,,5:43,53,12,North center,6:40,6:45,R,Y,34,1,,Hen - tail standoff with UM,unmarked,,6:46,1,
,,,,,,,,,,,,,,,,5:57,52,26,North center,6:58,7:03,G,B,18,1,,Standoff w/unmarked,unmarked,,7:20,,
,,,,,,,,,,,,,,,,6:30,56,27,Females scattered. North center,7:04,7:09,R,Y,1,1,,Preening,unmarked,,7:30,1,
,,,,,,,,,,,,,,,,6:55,55,17,Most female cluster  SE male. North center,,,,,,,,,unmarked,,7:32,1,
,,,,,,,,,,,,,,,,7:13,57,25,,,,,,,,,,unmarked,,7:35,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,,7:43,1,
,,,,,,,,,,,,,,,,7:28,56,19,South center,,,,,,,,,,,,,
51,26-04-1989,5:25,~ 6:10,MS,White,None,0 to 5,100,-,-,30,Light fog,Clear,,,5:43,49,0,a lof of strutting - Wlek (S). W/South center,5:50,5:55,R,Y,0,,,Standoff w/UM male,,,,,YW lost fight w/ WR/W. Left 7:25 (written at top of page)
,,,,,,,,,,,,,,,, 6:12,44,0,Lots of fighting + intermittent fighting. W/South center,5:55,6:00,W,B,0,0,Infinity - No hens,,,,,,
,,,,,,,,,,,,,,,,6:29,76,5,Center. 6+ copulations,6:00,6:05,WG,WB,4,0,Infinity - No hens,Wingbeat w/ Y + standoff w/UM male,,,,,
,,,,,,,,,,,,,,,,7:11,84,3,Center. Hens wandering off,6:05,6:10,G,B,1,0,Infinity - No hens,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:13,6:18,R,R,1,0,Infinity - No hens,Standoff with UM male,,,,,
,,,,,,,,,,,,,,,,,,,,6:20,6:25,W,R,2,0,Infinity - No hens,Standoff with UM male,,,,,
,,,,,,,,,,,,,,,,,,,,6:36,6:41,WY,WR,36,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:31,6:36,WR,W,35,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:50,6:55,OY,W,12,3,,Chased off 2 juveniles?,,,,,
,,,,,,,,,,,,,,,,,,,,6:54,6:59,WO,Y,16,1,2 females wandering  0 - 5,Standoff with 3 UM male,,,,,
,,,,,,,,,,,,,,,,,,,,7:05,7:08,R,W,30,1,Females wandering within 5m,-,,,,,
52,30-04-1989,5:39,,MS ,White,None,5 to 10,100,Light,-,~25,-,Clear,,,5:42,92,3,Center. Females different from first count,5:52,5:57,R,W,39,2,Female wandered by w/in 10 m,Chased juvenile,unmarked,,,1,Unmarked birds in copulation are different. 1 female w/broken leg - got laid anyway. Left center area at 6:40. Left 7:05 (written at top of page). Unmarked copulations two different males. 
,,,,,,,,,,,,,,,,6:24,,2,1,5:54,5:59,WO,Y,18,3,Female wandered by w/in 15 m,Wingfight w/UM male,unmarked,,,1,
,,,,,,,,,,,,,,,,6:44,50,0,-,6:04,6:09,WY,WO,11,3,,Standoff w/UM male,,,,,
,,,,,,,,,,,,,,,,7:00,46,0,-,6:04,6:09,WR,W,21,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:25,6:30,Y,W,3,3,,Standoff w/UM male wingbeat,,,,,
,,,,,,,,,,,,,,,,,,,,6:46,6:51,G,B,4,0,No hens,,,,,,
,,,,,,,,,,,,,,,,,,,,6:46,6:51,R,R,3,0,No hens,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:46,6:51,W,B,0,0,No hens,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,R,Y,7,0,No hens,Standoff w/UM male,,,,,
,,,,,,,,,,,,,,,,,,,,6:54,6:59,WG,WB,6,0,No hens,Standoff w/UM male,,,,,
,,,,,,,,,,,,,,,,,,,,6:54,6:59,B,-,2,0,No hens,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:59,7:04,Y,,,,,Standoff w/UM male,,,,,
53,01-05-1989,5:40,6:22,MSPR,White,None,0 to 5,0,-,-,,-,Clear,,,5:42,18,0,W lek. A few males strutting,5:47,5:52,R,R,6,0,Infinity,Has red spot on feathers between air sacs,UM,,6:49,2,"Spooky birds! 3rd female solicited by male missed it. She was chased off. No birds on center lek - at 5:37, several birds flew SE as I was driving in. Was not the truck that disturbed them. Flushed two hens on road in before farmhouse. 7:20 ~ 1/2 birs flew south. 5:46 - birds down - some (?) off to NE. 1 female mounted the others + was chased off by breeding male"
,,,,,,,,,,,,,,,,6:14,35,0,W lek. ,5:57,6:02,WG,WB,17,0,Infinity,-,,,,,
,,,,,,,,,,,,,,,,6:32,98,3,,6:02,6:07,R,Y,5,0,Infinity,Standoff w/UM male,,,,,
,,,,,,,,,,,,,,,,7:18,84,1,,6:01,6:12,W,B,0,0,Infinity,Standoff w/UM male,,,,,
54,05-05-1989,5:57,~6:10,MS,White,None,0 to 5,60,-,-,,-,Clear,Golden Eagle ,5:57,6:54,93,6,N lek.,6:51,6:12,WO,Y,7,1,,-,UM,,,3,Predator disturbance - all birds on S lek flew. Went to W lek - but gate was locked. 
,,,,,,,,,,,,,,,,6:58,93,3,N lek. ,6:15,6:20,WR,W,21,2,1 wandered by 10m,Chased off UM male,UM,,,1,
,,,,,,,,,,,,,,,,7:11,32,0,S lek. ,6:22,6:27,R,W,19,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,S lek. ,6:31,6:36,R,G,32,1,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:44,6:49,Y,W,3,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:11,6:16,WO,Y,11,3,,Chased off juvenile  - position next to breeder,,,,,
55,06-05-1989,5:19,6:18,MS,White/Lau/Flussy,None,0 to 5,5,-,-,,-,Clear,?,7:02,5:28,52,4,N lek. Hens very scattered,5:44,5:49,WO,Y,19,3,,-,UM,,,4,"1 interrupted. Predator disturbance - 7:02 -all birds S lek flew, 7:25 - all birds flew from N lek. "
,,,,,,,,,,,,,,,7:25,6:23,69,1,N lek. ,6:02,6:07,R,W,34,2,2 wandered within 10m,Fight w/UM male - won!,,,,,
,,,,,,,,,,,,,,,,6:49,78,1,N lek. -1W,7:05,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:27,42,2,S lek. R/R W/B Y/R GG/WB,7:06,7:02,W,B,0,-,,Had a female next to him when we arrived - all flew off. ,,,,,
,,,,,,,,,,,,,,,,,,,,7:02:00 AM,,Y,R,-,-,,-,,,,,
56,09-05-1989,5:41,,MS,White,None,"from 51, 15 - 20",95,-,Occasional ,,Rain overnight,wet,,,5:45,39,3,S lek. Lek (?) at hens ,5:49,5:54,G,B,22,1,"0 - 5, hens all wandering off","Chased off UM male with no tail, standoff w/ UM male",UM,,,1,~ 2/3 birds (N/E)  lek flew  07:11 - ?. Left 7:15 (written at top of page). Diagram on back showing relative locations of grouse.  Copulation in S lek. 
,,,,,,,,,,,,,,,,6:10,42,0,S lek. ,5:54,5:59,G,B,2,3,,-,,,,,
,,,,,,,,,,,,,,,,6:15,73,1,N lek. 4 hens wandering off,6:00,6:05,R,Y,0,3,,-,,,,,
,,,,,,,,,,,,,,,,6:43,51,2,N lek. Both hens wandering off at 7:00,6:05,6:10,WG,WB,0,3,,Standoff w/UM male,,,,,
,,,,,,,,,,,,,,,,7:12,14,1,N lek. hens wandering off. ,6:00,6:05,W,B,0,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:16,6:21,WO,Y,0,,1 wandered by,Chased off juvenile,,,,,
,,,,,,,,,,,,,,,,,,,,6:24,6:29,WR,W,17,3,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:21,6:26,R,G,30,1,,Standoff at 6:24,,,,,
,,,,,,,,,,,,,,,,,,,,6:26,6:31,Y,W,1,3,,Lost standoff w/UM male (2X),,,,,
57,15-05-1989,5:15,5:57,MS,White/Nickel,Canon netting,0 to 5,2,-,-,,Snow overnight,Frost,,,5:15,~ 25,3,S/W lek,,,,,,,,,,,,,Netted to catch malarious bird - caught 2.  Fly + W/B - both recap 88
