,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,5:43,48,31,,6:00,6:05,Yellow,Green,13,,long ways,won another fight ,,,,,
,,,,,,,,,,,,,,,,5:56,48,31,,6:36,6:41,Yellow,Red,15,1,,,,,,,
,,,,,,,,,,,,,,,,6:18,43,34,,6:45,6:50,Green,Red,8,0,none present,,,,,,
,,,,,,,,,,,,,,,,6:23,49,33,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:34,60,34,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:53,60,16,,,,,,,,,,,,,,
105,1988-04-10,5:50,6:36,LONG LAKE,Boyce/Jim,,0,0,N,N,Cold,,1 in snow cover,,,6:00,39,50,3 females flew S,6:34,6:39,White,Red,32,1,,won 2 fights,White,Red,,2,"W/R - (?) fights - never lost - won 5, G/B, Y/R, G/W, W/O, O/R, G/Y lost fight w/unmarked male at 7:39. 6:50 - pre-copulation pose by female for W/R, passed up - finally pulled it off at 7:03. 7:50 - two pre-copulation poses for W/R - no copulation. "
,,,,,,,,,,,,,,,,6:12,58,53,,6:34,6:39,Green,Red,10,1,,,,,,,
,,,,,,,,,,,,,,,,6:45,43,62,,7:01,7:06,White,Red,27,1,,1 copulation,unmarked,,,1,
,,,,,,,,,,,,,,,,7:30,46,15,,7:01,7:06,Green,Blue,0,1,,,unmarked,,,1,
,,,,,,,,,,,,,,,,7:40,45,28,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1988-04-13,5:20,6:35,LONG LAKE,Burton,,0 to 5,5,N,N,Warm morning (no frost),,Crowded!!,,,5:53,46,81,Still too dark to get acc. count,6:49,6:54,Green,Orange,36,1,,,,,,,"Female GW in harem of (6Q) male. Female BR closer to west mating group (feeding). male OO missing 1/3 tail feathers6-7 copualtions main breed center (West), male not marked. 7:16 1 more coptualtion; total --> 10 copulations. No marked females yet in this harem. Total 7:16 - 1 more copulation, ~ 10 copulations. G/O (Master cock). O/O, W/O, Y/G, Y/R, W/R, G/W"
,,,,,,,,,,,,,,,,6:02,56,93,2 approximate mating centers,6:56,7:01,Yellow,Green,25,,(?),1 - visual threats,,,,,
,,,,,,,,,,,,,,,,6:29,57,68,,7:07,7:12,White,Orange,30,1,,,,,,,
,,,,,,,,,,,,,,,,6:40,61,61,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:15,48,18,Nearly all around west,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:26,44,4,,,,,,,,,,,,,,
107,1988-04-14,3:50,6:28,LONG LAKE,Burton,Cannon net up,0 to 5,0-5,N,N,,,,,,6:13,65,73,Appears to be 2 mating centers,,,,,,,,,,,,,"BR female w/unmarked male. GR female w/ unmarked male. Tags:WO, YR, YG "
,,,,,,,,,,,,,,,,6:28,69,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
