,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,,,,unmarked male + LR/R blue hanging out with 5 hens,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:30,12,7,3 JUV are strutting at far NW lek,,,,,,,,,,,,,
36,1987-04-08,,,NORTH,Boyce + Mitton,,0,0,N,N,,,,,,6:00,13,,MANY HENS!,6:25,6:30,Red,Blue,39,,,,Blue,Red,,4,"In the beginning - say 6-6:30, unmarked male with missing tail feathers had a number of females surrounding him - say 15-20. But by 6:35-6:40 virtually all of them left and only R/B had a group of hens. P/B won right over O/R at 7:20. 7:32 - B/B and O/W fight - tie. R/B hasn't paused all morning. "
,,,,,,,,,,,,,,,,6:10,15,52,,6:35,6:40,Blue,Red,40,,,,,,,,
,,,,,,,,,,,,,,,,6:17,15,56,,6:35,6:40,White,White,33,,,,,,,,
,,,,,,,,,,,,,,,,6:32,18,57,,6:50,6:55,Purple,Purple,27,,,,,,,,
,,,,,,,,,,,,,,,,7:16,17,24,,6:50,6:55,Orange,White,31,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:35,7:40,Red,Blue,43,,,,,,,,
,,,,,,,,,,,,,,,,7:50,13,4,,7:35,7:40,White,NA,28,,,,,,,,
37,1987-04-09,,,NORTH,Cole,,5 to 10,Yes,Yes,- ,,After 7:00 wind stopped blowing snow,Snow covered,,,6:27,10,12,Clustered,6:36,6:41,White,Red,0,,,,,,,,Note - juv not enter b/c not legible. Wind stopped at 7:05. M. tail keep all male from 8 female. 
,,,,,,,,,,,,,,,,6:42,13,10,Female all around LR/RB. Missing feather,6:28,6:33,Red,Blue,29,,,,,,,,
,,,,,,,,,,,,,,,,6:51,18,11,33 Males on SW edge. All birds are strutting - hens feed,6:43,6:48,Red,Blue,7,,,,,,,,
,,,,,,,,,,,,,,,,7:05,18,17,R/RB chased Juv away,6:53,6:58,Red,Orange,31,1,1 female,,,,,,
,,,,,,,,,,,,,,,,7:09,,,Golden E flew in - birds flew to extreme W part of lek,7:00,7:05,Red,Orange,21,1,1 female w/him,,,,,,
,,,,,,,,,,,,,,,,7:13,21,,1 male came back to lek,7:33,7:38,Red,Blue,0,,,But fought a won unmarked male,,,,,
,,,,,,,,,,,,,,,,,,,"missing tail, unmarked LR/lB were on lek, the rest remained NW",7:43,7:48,Purple,White,16,,,,,,,,
,,,,,,,,,,,,,,,,7:16,,,sttutted,7:50,7:55,Red,Blue,20,,,,,,,,
,,,,,,,,,,,,,,,,7:22,,,2 females w/ LR/RB +broken tail ,7:58,8:03,Red,Green,35,,Hen walked by - on S edge of lek,,,,,,
,,,,,,,,,,,,,,,,7:28,6,,,8:11,8:16,Purple,Purple,18,,Hen walked between him and R/R,,,,,,
,,,,,,,,,,,,,,,,7:49,8,3,,8:17,8:22,Red,Red,32,,Hen talked between him and P/P,,,,,,
,,,,,,,,,,,,,,,,8:05,8,3,,8:28,8:33,Green,Green,16,,,,,,,,
38,1987-04-10,5:54,6:45,NORTH,Cole,,0,0,N,N,,,Clear,,,6:00,15,22,B/B won fight w LN/RR,6:30,6:35,Red,Blue,40,,,,Red,Blue," during 6:20-6:25, Strut count 5",2,Unmarked copulation - tailless
,,,,,,,,,,,,,,,,6:12,20,45,35 females in center w/3 males (1 JUV),6:34,6:39,White,White,23,2,,LR/RB won fight w/broken tail,Unmarked,,,1,
,,,,,,,,,,,,,,,,7:03,20,45,LR/RO female,6:40,6:45,Red,Orange,20,,,,,,,,
,,,,,,,,,,,,,,,,7:14,21,37,,6:56,7:01,Red,Blue,35,,,,,,,,
,,,,,,,,,,,,,,,,7:33,,,He flew away,7:06,7:11,White,Orange,26,,,,,,,,
,,,,,,,,,,,,,,,,7:46,16,8,,7:15,7:20,Red,Orange,18,,,,,,,,
,,,,,,,,,,,,,,,,7:48,,,LR/RB chased W/W away from ,7:34,7:39,Blue,Blue,25,,,,,,,,
,,,,,,,,,,,,,,,,8:04,15,0,,7:40,7:45,White,Orange,26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,8:07,,Red,Green,0,1,Sat shoulder to ,,,,,,
,,,,,,,,,,,,,,,,,,,,8:07,,Red,Orange,0,1,Shoulder whole time,,,,,,
,,,,,,,,,,,,,,,,,3,,5 males flew off ,7:58,8:03,Red,Red,8,,,,,,,,
39,1987-04-11,5:00,6:45,NORTH,Wimmer + Cole,,0,Overcast,N,N,15-Oct,Calm beautiful morning,Clear,,,6:01,22,43,NA,6:12,6:17,Blue,Red,43,,,,Blue,Red,,3,"unmarked male and into outer edge, he then stood and strutted at edge for awhile before returning to center. Will tolerate broken tail and 1 unmarked but everyone else is being chased off. "
,,,,,,,,,,,,,,,,6:33,,,22 flew off when yellow hawk flew by ,6:26,6:31,Orange,Red,33,,near 7 hens,,,,,,
,,,,,,,,,,,,,,,,6:44,20,21,"11 hens near RR/LB, 10 near RR/LO, RW/LO, RR/LP. ",6:39,6:44,Orange,White,37,,,,,,,,
,,,,,,,,,,,,,,,,6:54,22,21,"2 of the males are JUV. Half near RR/LB, Half near RR/LO, RW/LO, RR/LP. ",6:47,6:52,Purple,Green,20,,,,,,,,
,,,,,,,,,,,,,,,,7:13,21,10,2 of the males are JUV. 3 near RR/LB,6:59,7:04,Blue,Blue,27,1,"Sat down by female for 30 sec, she left after he strutted foward her ",,,,,,
,,,,,,,,,,,,,,,,7:35,,,"all flew off, truck/trailer drove by",7:07,7:12,Blue,Red,43,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:24,7:29,Red,Red,36,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:17,7:22,White,White,18,,,,,,,,
40,1987-04-12,6:00,6:45,NORTH,Yinton + Cole,,18 to 20,Y,,N,,,Snow on Lek,,,6:12,23,26,,6:23,6:28,Orange,Red,16,3,,,Red,Blue,,3,"Wind picked up to 20+ at 7:10. 7:33 - really windy, all males roosting. Strutted .4 from Barret's (?). "
,,,,,,,,,,,,,,,,6:29,17,26,,6:31,6:36,Purple,Purple,20,2,,,,,,,
,,,,,,,,,,,,,,,,6:47,,,3 strutting JUV w/1 female at N end of lek,6:39,6:44,White,Orange,35,,,,,,,,
,,,,,,,,,,,,,,,,7:16,17,11,females are dispersed from center to N edge,6:50,6:55,Blue,Blue,20,,,,,,,,
,,,,,,,,,,,,,,,,7:32,17,4,,6:59,7:04,Red,Blue,37,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:20,7:25,Red,Orange,0,,,remained roosting ,,,,,
,,,,,,,,,,,,,,,,,,,,7:26,7:31,Red,Orange,26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:09,7:14,Purple,White,0,,,Remained roosting,,,,,
