binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,hematomas air sac comments,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Ectoparasites,samples collected Fecal,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
,13-04-1988,7:20,,MUD SPRINGS,,ADULT,FEMALE,,,,1.85,588,183,,263,102,59,58,31.7,19.4,,,0,,,-,,,,,White,Yellow,641,1151,,TRUE,FALSE,FALSE,,,TRUE,FALSE,TRUE,,,,no blood data,
,13-04-1988,7:35,,MUD SPRINGS,,ADULT,FEMALE,,,,1.8,614,191,,271,97,59,60,31.4,17.8,,,,,0,-,,,,,Blue,Yellow,962,1152,,TRUE,FALSE,FALSE,,,TRUE,FALSE,TRUE,,,,no blood data,
,13-04-1988,8:00,,MUD SPRINGS,,ADULT,FEMALE,,,,1.9,450,0,0,265,108,59,56,32.6,18.8,,,,,0,-,,,,,Green,Yellow,1042,1156,,TRUE,FALSE,FALSE,,,TRUE,FALSE,FALSE,No tail!,,,no blood data,
,13-04-1988,8:15,,MUD SPRINGS,,ADULT,FEMALE,,,,1.85,633,199,,278,110,60,60,33.5,20.1,,,,,0,-,,,,,Red,Yellow,866,1163,,TRUE,FALSE,FALSE,,,TRUE,FALSE,TRUE,,,,Very fiesty. Small fecal sample. No blood data,
,13-04-1988,8:30,,MUD SPRINGS,,ADULT,FEMALE,,,,1.75,,0,0,262,106,59,59,31.1,18.2,,,,,0,,,,,,Yellow,Blue,1166,965,,TRUE,FALSE,FALSE,,,TRUE,FALSE,FALSE,No tail! ,,,"no blood data. Body length 411mm, to pygostyle ",
,13-04-1988,9:00,,MUD SPRINGS,,ADULT,FEMALE,,,,1.8,,0,0,270,100,59,57,29.2,18.6,,,,,0,-,,,,,Yellow,Red,1161,864,,TRUE,FALSE,FALSE,,,TRUE,FALSE,FALSE,No tail,,,No blood data. Body length 400mm to pygostyle. ,
,13-04-1988,9:02,,MUD SPRINGS,,ADULT,FEMALE,,,,1.85,602,178,,260,98,58,57,32.8,19,,,,,0,-,,,,,Yellow,Orange,1160,747,,TRUE,FALSE,FALSE,,,TRUE,FALSE,FALSE,,,,No blood data,
,13-04-1988,9:30,,MUD SPRINGS,,JUVEN,FEMALE,,,,1.85,622,189,,269,105,59,56,32.1,18.7,,,,,0,-,,,,,Yellow,Green,1172,1043,,TRUE,FALSE,FALSE,,,TRUE,FALSE,FALSE,,,,No blood data,
,13-04-1988,10:00,,MUD SPRINGS,,ADULT,FEMALE,,,,1.6,584,216,,266,105,57,59,33.65,21.3,,,,,,-,,,,,Green,Green,1025,1026,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,No blood data,
,13-04-1988,10:15,,MUD SPRINGS,,ADULT,FEMALE,,,,1.5,515,204,,264,109,60,55,33,18.45,,,,,,-,,,,,Green,White,1024,668,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,No blood data,
,13-04-1988,10:30,,MUD SPRINGS,,ADULT,FEMALE,,,,1.5,575,204,,261,105,56,56,33.4,18.23,,,,,,-,,,,,Green,Blue,1017,925,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,13-04-1988,10:40,,MUD SPRINGS,,ADULT,FEMALE,,,,1.55,568,211,,265,113,59,60,35.95,18.85,,,,,,-,,,,,Green,Orange,1006,788,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,13-04-1988,10:55,,MUD SPRINGS,,JUVEN,FEMALE,,,,1.6,550,194,,264,107,61,60,33.66,20.75,,,,,,-,,,,,Green,Red,1009,815,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,"No blood data. Tag found 25 Mar 89 PAW. Predator kill - probably early. near road, along fence line. ",
,13-04-1988,11:10,,MUD SPRINGS,,,FEMALE,,,,1.55,445,73,,253,115,59,58,34.78,19.55,,,,,,-,,,,,Blue,Green,912,1008,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,Couldn't fly - no tail,,,,
,13-04-1988,11:25,,MUD SPRINGS,,ADULT,FEMALE,,,,1.5,538,193,,268,111,59,60,32.4,19.75,,,,,,-,,,,,Blue,Orange,933,765,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,13-04-1988,11:40,,MUD SPRINGS,,ADULT,FEMALE,,,,1.55,558,195,,266,115,59,57,33.2,17.92,,,,,,-,,,,,Blue,Blue,934,935,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,31-04-1988,11:50,,MUD SPRINGS,,ADULT,FEMALE,,,,1.7,588,212,,252,118,60,61,33.15,18.62,,,,,,-,,,,,Blue,White,936,674,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,13-04-1988,12:05,,MUD SPRINGS,,ADULT,FEMALE,,,,1.5,532,184,,262,112,55,59,33.9,20,,,,,,-,,,,,Blue,Red,930,819,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,No blood data,
,13-04-1988,12:15,,MUD SPRINGS,,ADULT,FEMALE,,,,1.45,524,203,,269,114,58,59,32.4,19.2,,,,,,-,,,,,White,Blue,666,932,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,
,17-04-1988,3:34,,MUD SPRINGS,,,FEMALE,,,,1.7,487.5,190,,225,110,55,60,31.5,17.8,,,,,,-,,,,,Red,Red,858,857,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,No blood data,
,20-04-1988,6:54,,MUD SPRINGS,,JUVEN,FEMALE,,,,2.1,565,190,,262.5,130,55,50,31.8,18,,,,,,-,,,,,White,Red,615,856,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,Caught by Lindin et al. part of new record!,
,20-04-1988,7:12,,MUD SPRINGS,,,FEMALE,,,,1.8,525,190,,265,130,55,52.5,35,17.5,,,,,,-,,,,,White,Orange,609,739,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,No blood data,
