,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,LICE,
87,North,R109,B273,adult,10-Apr,40,0.263888889,0.276388889,-0.0125,1,1,,,
87,North,R109,B273,adult,14-Apr,40,0.258333333,0.270833333,-0.0125,1,1,,,
87,North,R109,B273,adult,08-Apr,43,0.315972222,0.278472222,0.0375,1,1,,,
87,North,R109,B273,adult,09-Apr,29,0.269444444,0.276388889,-0.006944444,1,1,,,
87,North,R109,B273,adult,15-Apr,39,0.25625,0.268055556,-0.011805556,1,1,,,
87,North,R109,B273,adult,22-Apr,34,0.254861111,0.259027778,-0.004166667,1,1,,,
87,North,R109,B273,adult,16-Apr,39,0.255555556,0.267361111,-0.011805556,1,1,,,
87,North,R109,B273,adult,15-Apr,38,0.29375,0.268055556,0.025694444,1,1,,,
87,North,R109,B273,adult,15-Apr,1,0.299305556,0.268055556,0.03125,3,1,,,
87,North,R109,B273,adult,08-Apr,40,0.274305556,0.278472222,-0.004166667,4,1,,,
87,North,R109,B273,adult,09-Apr,20,0.326388889,0.276388889,0.05,4,1,,,
87,North,R109,B273,adult,09-Apr,0,0.314583333,0.276388889,0.038194444,4,1,,,
87,North,R109,B273,adult,14-Apr,4,0.292361111,0.270833333,0.021527778,4,1,,,
87,North,R109,B273,adult,08-Apr,39,0.267361111,0.278472222,-0.011111111,4,1,,,
87,North,R109,B273,adult,19-Apr,16,0.284722222,0.263194444,0.021527778,4,1,,,
87,North,R109,B273,adult,11-Apr,43,0.296527778,0.275,0.021527778,4,1,,,
87,North,W402,W401,adult,06-Apr,41,0.253472222,0.28125,-0.027777778,1,0,,,
87,North,W402,W401,adult,15-Apr,28,0.265277778,0.268055556,-0.002777778,1,0,,,
87,North,W402,W401,adult,10-Apr,23,0.273611111,0.276388889,-0.002777778,3,0,,,
87,North,W402,W401,adult,18-Apr,20,0.272916667,0.263888889,0.009027778,3,0,,,
87,North,W402,W401,adult,17-Apr,8,0.277083333,0.265277778,0.011805556,3,0,,,
87,North,W402,W401,adult,19-Apr,13,0.267361111,0.263194444,0.004166667,3,0,,,
87,North,W402,W401,adult,08-Apr,28,0.315972222,0.278472222,0.0375,4,0,,,
87,North,W402,W401,adult,11-Apr,18,0.303472222,0.275,0.028472222,4,0,,,
87,North,W402,W401,adult,03-Apr,21,0.279166667,0.241666667,0.0375,4,0,,,
87,North,W402,W401,adult,03-Apr,25,0.255555556,0.241666667,0.013888889,4,0,,,
87,North,W402,W401,adult,08-Apr,33,0.274305556,0.278472222,-0.004166667,4,0,,,
87,North,W402,W401,adult,03-Apr,19,0.272222222,0.241666667,0.030555556,4,0,,,
87,North,W403,O1,adult,13-Apr,35,0.277083333,0.272916667,0.004166667,1,0,,,
87,North,W403,O1,adult,10-Apr,26,0.319444444,0.276388889,0.043055556,4,0,,,
87,North,W403,O1,adult,31-Mar,0,0.258333333,0.245138889,0.013194444,4,0,,,
87,North,W403,O1,adult,10-Apr,26,0.295833333,0.276388889,0.019444444,4,0,,,
87,North,W403,O1,adult,15-Apr,10,0.275694444,0.268055556,0.007638889,4,0,,,
87,North,W403,O1,adult,11-Apr,37,0.277083333,0.275,0.002083333,4,0,,,
87,North,W403,O1,adult,08-Apr,31,0.284722222,0.278472222,0.00625,4,0,,,
87,North,W403,O1,adult,31-Mar,12,0.273611111,0.245138889,0.028472222,4,0,,,
87,North,W403,O1,adult,31-Mar,28,0.238888889,0.245138889,-0.00625,4,0,,,
87,North,W450,R110,adult,09-Apr,0,0.275,0.276388889,-0.001388889,4,0,,,
,,,,,,,,, , ,,,,
87,Broken Wing,B217,G312,adult,24-Apr,10,0.275,0.257638889,0.017361111,0,0,,,
87,Broken Wing,B217,G312,adult,17-Apr,43,0.258333333,0.265277778,-0.006944444,1,0,,,
87,Broken Wing,B217,G312,adult,10-Apr,31,0.270138889,0.276388889,-0.00625,1,0,,,
87,Broken Wing,B217,G312,adult,09-Apr,16,0.30625,0.276388889,0.029861111,4,0,,,
