"lek_number","lek_name","year","month","day","time","prop_time","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","weight_g_with_bag","total_length_mm","tail_length_mm","wing_length_mm","keel_length_mm","tarsus_length_mm","toe_length_mm","comb_length_mm","bill_length_mm","bill_depth_mm","comb_color","air_sac_color","hematomas_combs","hematomas_air_sacs","breed","lice_back_of_head","lice_present_on_combs","lice_number__on_combs","lice_present_on_air_sacs","lice_number_on_air_sacs","diarrhea","fecal_samples_mites","fecal_samples_spores","fecal_samples_coccidia","blood_tryps","blood_plasm","blood_pcv_mm","total_volume_mm","days_lek_observed","days_on_lek","proportion_of_days_on_lek","comments"
"1","long_lake","1987","03","16",NA,NA,"purple","504","P504","blue","204","B204","juv","2500","684","239","303","127","70","71","17","37.5","19.6","apple green",NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"no","yes","no",NA,"no",NA,NA,NA,NA,NA,NA
"1","long_lake","1987","03","18",NA,NA,"blue","207","B207","blue","206","B206","adult","3300","743","300","288","129","72","73","24.1","36.8","21",NA,NA,"yes","no","no","yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no",NA,NA,NA,NA,NA,"stressed out prior to release"
"2","north_lek","1987","03","28",NA,NA,"white","410","W410","blue","209","B209","juv","2500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"no","yes","no",NA,"no",NA,NA,NA,NA,NA,NA
"2","north_lek","1987","03","27",NA,NA,"white","410","W410","blue","209","B209","juv","2750","720","230","290","137","69","72","21.4","39","22.1","yellow",NA,NA,NA,"no",NA,NA,NA,NA,NA,"yes","yes","yes","no",NA,"no",NA,NA,NA,NA,NA,NA
"1","long_lake","1987","04","05",NA,NA,"orange","16","O16","blue","214","B214","adult","3800","774","309","316","135","71","68","25.1","38.85","23.95","apple green","chrome yellow","no","yes","no","no","no",NA,"no",NA,NA,"no","yes","no","no","no","10","14","16","6","0.375",NA
"8","mud_springs","1987","04","11","4:05",0.170138888888889,"blue","221","B221","blue","215","B215","adult","3200","695","328","311","146","71","67","21.9","40.4","22","olive yellow","bistre yellow","yes","yes","no","no","no","0","no","0",NA,NA,NA,NA,"no","no","12","16",NA,NA,NA,NA
"1","long_lake","1987","04","05",NA,NA,"white","422","W422","blue","216","B216","adult","3000","710","292","320","146","70","77","24","36.3","22",NA,NA,NA,NA,"no","no","no",NA,"yes",NA,NA,"no","yes","no","no","yes","11","18.5",NA,NA,NA,NA
"7","sybille_springs","1987","04","08","3:45",0.15625,"blue","220","B220","blue","219","B219","adult","3500","725","318","306","133","69","68","24.2","39.2","22.95","olive yellow","bistre yellow","yes","yes","no","no","no","0","yes","1",NA,NA,NA,NA,"no","no","6.5","12.5",NA,NA,NA,NA
"8","mud_springs","1987","04","11","3:47",0.157638888888889,"white","425","W425","blue","223","B223","adult","3000","720","300","300","128","64","65","25.7","38.2","22.7","olive yellow","bistre yellow","yes","no","no","no","no","0","yes","1",NA,NA,NA,NA,"no","no","7.5","11",NA,NA,NA,NA
"6","broken_wing","1987","04","10","2:51",0.11875,"red","124","R124","blue","224","B224","adult","3350","733","304","313","153","70","62","26.4","39.5","23.95","olive yellow","bistre yellow","no","no","no","no","no","0","no","0",NA,"no","yes","no","no","yes","3","12.5","6","1","0.166666667","air sacs even color"
"2","north_lek","1987","04","19","7:10",0.298611111111111,"white","478","W478","blue","252","B252","adult","3050","763","280","296","132","70","68","23.2","37.7","21.1","yellow/green","yellow/green","yes","yes","no","no","no","0","no","0",NA,"no","yes","no","no","yes","10","17","2","1","0.5",NA
"1","long_lake","1987","04","18","7:15",0.302083333333333,"purple","559","P559","blue","256","B256",NA,"2700","715","235","309","140","70","73","21.7","36.5","21.3","yellow","yellow","yes","no","no","no","no","0","no","0",NA,"no","yes","no","no","no","11","32.5",NA,NA,NA,"fiesty"
"4","south_fetterman","1987","04","12","4:35",0.190972222222222,"white","493","W493","blue","259","B259","adult","3400","790","310","326","139","65","71","23.5","37.7","22.5","green","yellow","yes","yes","no","no","no","0","no","0",NA,"no","yes","no","no","no","12.5","19","4","2","0.5",NA
"4","south_fetterman","1987","04","13",NA,NA,"orange","89","O89","blue","262","B262","adult","3400","818","316","319","131","70","68","25.5","38.7","22.7","yellow","yellow","no","no","no","no","no","0","no","0",NA,"no","yes","no","no","no","9","15",NA,NA,NA,NA
"4","south_fetterman","1987","04","17","2:15",0.09375,"orange","89","O89","blue","262","B262","adult","2900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"no","yes","no","no","no","7.5","21.5",NA,NA,NA,NA
"4","south_fetterman","1987","04","12","3:35",0.149305555555556,"blue","266","B266","blue","263","B263","adult","3400","785","345","308","140","69","70","23.1","35.4","21.4","yellow/green","yellow","no","no","no","no","no","0","yes","1",NA,"no","yes","no","no","no","6","16.5","4","1","0.25",NA
"4","south_fetterman","1987","04","17","3:42",0.154166666666667,"blue","266","B266","blue","263","B263","adult","2800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"no","yes","no","no","yes","7.5","24",NA,NA,NA,NA
"5","cordingly","1987","04","11","4:00",0.166666666666667,"blue","265","B265","blue","264","B264","juv","2900","682","234","307","130","70","69","22.5","37.3","22.2","yellow/green","yellow/green","no","no","no","no","no","0","no","0",NA,"no","yes","no","no","yes","8","11.5",NA,NA,NA,NA
"8","mud_springs","1987","04","09","7:20",0.305555555555556,"red","192","R192","blue","267","B267","adult","3200","777","328","310","133","70","68","22.9","38.4","22.6","yellow green","yellow","no","yes","no","yes","no","0","no","0",NA,NA,NA,NA,"no","no","6.5","16","8","4","0.5",NA
"3","windmill_dam","1987","04","03",NA,NA,"orange","32","O32","blue","268","B268","adult","3300","770","300","301","130","66","68","21.7","38.4","22.7",NA,NA,NA,"yes","no",NA,NA,NA,"yes","1",NA,"no","yes","no","no","no","10","20","4","1","0.25",NA
"1","long_lake","1987","04","10","5:00",0.208333333333333,"red","191","R191","blue","269","B269","adult","3400","762","310","304","137","70","73","23.8","38.5","22.5","green","yellow/green","yes","no","no","no","no","0","no","0",NA,"no","yes","no","no","no","7","13","14","3","0.214285714",NA
"2","north_lek","1987","04","04",NA,NA,"green","399","G399","blue","270","B270","juv","2700","607","271","291","140","70","64","22.4","38.01","20.77","yellow","yellow/gray","no","yes","no","no",NA,NA,NA,NA,NA,"no","yes","no","no","no","8","18",NA,NA,NA,NA
"4","south_fetterman","1987","04","17","4:25",0.184027777777778,"red","149","R149","blue","289","B289","adult","2850","806","341","300","140","74","65","21.7","39.2","27.55","olive yellow","bistre yellow","no","no","no","no","no","0","yes","1",NA,"no","yes","no","no","yes","10","24.5","2","1","0.5",NA
"7","sybille_springs","1987","04","15","4:20",0.180555555555556,"red","123","R123","blue","291","B291","juv","2300","633","247","293","138","70","71","21.65","37.6","24.8","yellow olive","bistre yellow","yes","yes","no","no","no","0","no","0",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"sacsgray at edges"
"7","sybille_springs","1987","04","17",NA,NA,"orange","25","O25","blue","292","B292","adult","3100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"no","0",NA,NA,NA,NA,"no","no","8","30",NA,NA,NA,NA
"7","sybille_springs","1987","04","15","5:20",0.222222222222222,"orange","25","O25","blue","292","B292","adult","3100","742","335","328","148","75","68","23.5","37.65","22.9","yellow olive","bistre yellow","yes","yes","no","no","no","0","no","0",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,"even sac color"
"7","sybille_springs","1987","04","17","5:46",0.240277777777778,"purple","597","P597","blue","295","B295","adult","3100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"no","0","yes",NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA
"7","sybille_springs","1987","04","15","4:55",0.204861111111111,"purple","597","P597","blue","295","B295","adult","3100","721","339","321","128","72","68","22.97","40.4","20.7","yellow olive","bistre yellow","no","yes","no","no","no","0","no","0",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,"even sac color"
"7","sybille_springs","1987","04","15","4:39",0.19375,"green","345","G345","blue","296","B296","juv","2600","569","219","307","130","72","68","24.8","38.75","22.4","olive yellow","bistre yellow","yes","yes","no","no","no","0","yes","3",NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA
"8","mud_springs","1987","04","12","5:50",0.243055555555556,"purple","600","P600","blue","297","B297","juv","3000","660","270","307","135","70","69","22.1","39.4","22.1","yellow olive","bistre yellow","yes","yes","no","no","no","0","yes","5","yes",NA,NA,NA,NA,"no",NA,NA,"7","3","0.428571429",NA
"8","mud_springs","1987","04","12",NA,NA,"orange","13","O13","blue","298","B298","adult","3200","730","231","313","127","71","68","25.65","36.75","23.6","olive green","bistre yellow","yes","yes","no","yes","no","0","yes","4",NA,NA,NA,NA,"no","no","9.5","14.5","7","1","0.142857143","blood under left wing"
"7","sybille_springs","1987","04","15","3:47",0.157638888888889,"white","417","W417","blue","299","B299","adult","3000","780","338","325","127","71","61","25.45","41.4","25.15","olive yellow","bistre yellow","no","yes","no","yes","no","0","no","0",NA,NA,NA,NA,NA,"yes",NA,NA,"7","3","0.428571429",NA
"8","mud_springs","1987","04","12",NA,NA,"green","350","G350","blue","300","B300","adult","3200","697","325","311","129","75","66","25.5","39.9","22.3","olive yellow","bistre yellow","no","yes","no","no","no","0","no","0",NA,NA,NA,NA,NA,"no",NA,NA,"7","1","0.142857143",NA
"2","north_lek","1987","04","19","7:30",0.3125,"green","302","G302","green","301","G301","adult","3000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"no","0","no","0",NA,"no","yes","no","no","no","10.5","21.5","18","4","0.222222222",NA
"2","north_lek","1987","03","13",NA,NA,"green","302","G302","green","301","G301","adult","3400","790","303","312","121","70","71","20.7","36.6","21.7",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"no","no","no",NA,"yes",NA,NA,NA,NA,NA,"fiesty"
"1","long_lake","1987","03","18",NA,NA,"green","305","G305","green","304","G304","juv","2400","703","248","310","129","68","73","20.3","36.1","21.1",NA,NA,"no","no","no",NA,"no",NA,"no",NA,NA,"yes","yes","no","no","no",NA,NA,NA,NA,NA,"gray tongue"
"6","broken_wing","1987","04","05",NA,NA,"white","448","W448","green","307","G307","adult","3100","767","300","318","129","70","70","22.3","37.5","21.5",NA,NA,NA,NA,"no",NA,"no","0","no","0",NA,"yes","yes","no","no","no","6","16","7","1","0.142857143",NA
"6","broken_wing","1987","04","07",NA,NA,NA,NA,NA,"green","311","G311","adult","3350","730","331","314","152","75","61","25.15","36.9","22.75","yellow olive","bistre yellow","no","yes","no","no",NA,NA,NA,NA,NA,"no","yes","no","no","no","8.5","16",NA,NA,NA,NA
"6","broken_wing","1987","04","14","4:45",0.197916666666667,"blue","217","B217","green","312","G312","adult","3150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","no","0","no","0",NA,"no","yes","no","no","no","10","24.5","7","5","0.714285714","left sac covered hematomas"
"6","broken_wing","1987","04","07",NA,NA,"blue","217","B217","green","312","G312","adult","3500","748","285","311","120","76","74","26.8","36.9","21.05","yellow olive","bistre yellow","no","yes","no","no",NA,NA,NA,NA,NA,"no","yes","no","no","yes","12","23.5",NA,NA,NA,NA
"6","broken_wing","1987","04","07",NA,NA,"orange","17","O17","green","313","G313","adult","3400","820","332","306","141","72","70","23.6","39.95","22.05","yellow olive","bistre yellow","no","no","no","no",NA,NA,NA,NA,NA,"no","yes","no","no","no","8","13.5",NA,NA,NA,NA
"6","broken_wing","1987","04","09","4:05",0.170138888888889,"green","315","G315","green","314","G314","adult","3350","788","317","325","146","72","76","25.9","39.95","22.55","yellow olive","bistre yellow","yes","no","no","no","no","0","no","0",NA,"no","yes","no","no","no","9.5","18","7","2","0.285714286",NA
"8","mud_springs","1987","04","11","4:20",0.180555555555556,"green","312","G312","green","316","G316","adult","3200","650","309","316","126","67","61","26.1","37.6","23.8","greenish yellow","bistre yellow","no","no","no","no","no","0","no","0",NA,NA,NA,NA,"no","no","8","13.5","7","1","0.142857143",NA
"1","long_lake","1987","04","02",NA,NA,"orange","14","O14","green","322","G322","adult","2900","696","294","307","145","65","72","23.5","37.6","23.4",NA,NA,"no","yes","no","no","no",NA,"no",NA,NA,"no","yes","no","no","no",NA,NA,NA,NA,NA,"fiesty"
"7","sybille_springs","1987","04","01",NA,NA,"red","119","R119","green","323","G323","adult","2850","687","230","315","110","64","69","25.3","38.8","26.1","apple green","bright yellow","no","yes","no","no",NA,NA,NA,NA,NA,"no","yes","no","no","no","18","32.5",NA,NA,NA,NA
"1","long_lake","1987","03","19",NA,NA,"blue","213","B213","green","324","G324","adult","3250","826","355","318","141","73","65","22","36.8","24.1","yellowish/green",NA,"yes","yes","no","yes","yes",NA,"no",NA,NA,"yes","yes","no","no","no",NA,NA,NA,NA,NA,"growth,rt tarsus, deformed ft"
"1","long_lake","1987","04","18","4:40",0.194444444444444,"white","419","W419","green","325","G325","adult","3100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","no",NA,NA,NA,"yes","6",NA,"yes","yes","no","no","no","9","22",NA,NA,NA,NA
"1","long_lake","1987","03","19",NA,NA,"white","419","W419","green","325","G325","adult","3300","733","288","310","123","63","69","22.3","37.4","21.9","green","bistre-yellow","yes","yes","no","yes","no",NA,"yes",NA,NA,"yes","yes","no","no","no",NA,NA,"19","12","0.631578947","nice guy"
"8","mud_springs","1987","04","12",NA,NA,"purple","593","P593","green","349","G349","adult","3500","790","351","310","140","69","66","25.15","41","25.6","yellow olive","bistre yellow","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,"no","no","7.5","10.5",NA,NA,NA,NA
"2","north_lek","1987","04","19","7:30",0.3125,"white","481","W481","green","388","G388","juv","2700","715","234","287","131","69","69","24.5","38.5","21.4","green","yellow","yes","yes","no","no","no","0","no","0",NA,"no","yes","no","no","yes","8.5","19",NA,NA,NA,NA
"5","cordingly","1987","04","16","4:40",0.194444444444444,"green","396","G396","green","392","G392","adult","3000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"yes","9",NA,"no","yes","no","no","no","10","26",NA,NA,NA,NA
"5","cordingly","1987","04","08","3:30",0.145833333333333,"green","396","G396","green","392","G392","adult","3000","810","320","325","133","71","73","22.4","38.5","22.1","green","yellow","no","yes","no","no","no","0","yes","7",NA,"no","yes","no","no","yes","5.5","10","3","2","0.666666667",NA
"5","cordingly","1987","04","19","0:15",0.0104166666666667,"green","396","G396","green","392","G392","adult","2900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"yes","93",NA,"no","yes","no","no","no","11","21",NA,NA,NA,NA
"1","long_lake","1987","04","10","7:30",0.3125,"purple","562","P562","green","393","G393","adult","2950","690","240","312","131","71","72","19.5","39.1","21.5","yellow/green","yellow","yes","yes","no","no","no","0","no","0","yes","no","yes","no","no","no","9","13.5","14","2","0.142857143",NA
"4","south_fetterman","1987","04","12","5:00",0.208333333333333,"green","395","G395","green","394","G394","adult","3100","675","239","306","133","69","70","23.5","38.5","21.8","yellow/green","greyish yellow","yes","yes","no","no","no","0","no","0",NA,"no","yes","no","no","yes","11","15",NA,NA,NA,NA
"2","north_lek","1987","04","04",NA,NA,"purple","573","P573","green","398","G398","adult","3400","751","329","309","150","72","65","27.36","39.96","20.88","yellow/green","bright yellow","no","yes","no","no",NA,NA,NA,NA,NA,"no","yes","no","no","yes","4","22","15","11","0.733333333",NA
"1","long_lake","1987","03","16",NA,NA,"purple","503","P503","orange","4","O4","adult","3500","780","319","312","132","71","73","22.6","37","21.5",NA,NA,"no","yes","no",NA,NA,NA,"yes",NA,NA,"no","yes","no",NA,"no",NA,NA,NA,NA,NA,NA
"2","north_lek","1987","03","14",NA,NA,"white","402","W402","white","401","W401","adult","3400","771","307","304","135","70","72","21.4","37.7","20.6",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,"no","no","no",NA,"yes",NA,NA,"18","11","0.611111111",NA
"1","long_lake","1987","03","16",NA,NA,"orange","6","O6","white","404","W404","adult","3400","795","304","319","127","68","74","21.3","37.5","21.4","greenish/yellow",NA,NA,"yes","no",NA,NA,NA,NA,NA,NA,"no","no","no",NA,"yes",NA,NA,"20","1","0.05",NA
