"","id_number","lek_name","collecter","female_id","num_eggs_in_clutch","estimated_hatch_month","estimated_hatch_day","actual_hatch_month","actual_hatch_day","observation_num","year","month","day","days_after_collection","time24h","length_mm","width_mm","weight_g","change_air_sac_mm","notes","general_notes"
"39","SS1-5","sybille_springs","White",NA,7,6,7,NA,NA,"1",1990,"5","23","7",NA,NA,NA,"41.46",NA,NA,"opened on 22 June - chick fully developed, head (?) wing "
"40","SS1-5","sybille_springs","White",NA,7,6,7,NA,NA,"2",1990,"5","31","15",NA,NA,NA,"39.89",NA,NA,"opened on 22 June - chick fully developed, head (?) wing "
"41","SS1-5","sybille_springs","White",NA,7,6,7,NA,NA,"3",1990,"6","11","26",NA,NA,NA,"37.57",NA,"looks as if died ","opened on 22 June - chick fully developed, head (?) wing "
"42","SS1-6","sybille_springs","White",NA,7,6,7,NA,NA,"0",1990,"5","16","0","18:25","56.5","38.9","46.12",NA,NA,"opened 22 June 1990 - chick fully developed, head (?) wing"
"43","SS1-6","sybille_springs","White",NA,7,6,7,NA,NA,"1",1990,"5","23","7",NA,NA,NA,"44.8",NA,NA,"opened 22 June 1990 - chick fully developed, head (?) wing"
"44","SS1-6","sybille_springs","White",NA,7,6,7,NA,NA,"2",1990,"5","31","15",NA,NA,NA,"43.32",NA,NA,"opened 22 June 1990 - chick fully developed, head (?) wing"
"45","SS1-6","sybille_springs","White",NA,7,6,7,NA,NA,"3",1990,"6","11","26",NA,NA,NA,"40.95",NA,"looks as if died ","opened 22 June 1990 - chick fully developed, head (?) wing"
"46","SS1-7","sybille_springs","White",NA,7,6,7,6,10,"0",1990,"5","16","0","18:25","54.5","38.6","44.26",NA,NA,"pipped 8 June "
"47","SS1-7","sybille_springs","White",NA,7,6,7,6,10,"1",1990,"5","23","7",NA,NA,NA,"42.94",NA,NA,"pipped 8 June "
"48","SS1-7","sybille_springs","White",NA,7,6,7,6,10,"2",1990,"5","31","15",NA,NA,NA,"41.51",NA,NA,"pipped 8 June "
"49","SS2-1","sybille_springs","White",NA,3,6,15,6,19,"0",1990,"5","24","0","15:30","56.8","38.8","46.22",NA,NA,"pipped 18 June 90"
"50","SS2-1","sybille_springs","White",NA,3,6,15,6,19,"1",1990,"5","31","7",NA,NA,NA,"44.87",NA,NA,"pipped 18 June 90"
"51","SS2-1","sybille_springs","White",NA,3,6,15,6,19,"2",1990,"6","11","18",NA,NA,NA,"42.7",NA,"solid","pipped 18 June 90"
"52","SS2-2","sybille_springs","White",NA,3,6,15,NA,NA,"0",1990,"5","24","0","15:30","53.85","38.9","43.2",NA,NA,NA
"53","SS2-2","sybille_springs","White",NA,3,6,15,NA,NA,"1",1990,"5","31","7",NA,NA,NA,"41.54",NA,NA,NA
"54","SS2-2","sybille_springs","White",NA,3,6,15,NA,NA,"2",1990,"6","11","18",NA,NA,NA,"38.87",NA,"solid (?)",NA
"55","SS2-2","sybille_springs","White",NA,3,6,15,NA,NA,"3",1990,"7","2","39",NA,NA,NA,NA,NA,"opened - chick (?) developed ~ 3 weeks before death ",NA
"56","SS2-3","sybille_springs","White",NA,3,6,15,6,19,"0",1990,"5","24","0","15:30","55.2","38.6","45.15",NA,NA,NA
"57","SS2-3","sybille_springs","White",NA,3,6,15,6,19,"1",1990,"5","31","7",NA,NA,NA,"43.86",NA,NA,NA
"58","SS2-3","sybille_springs","White",NA,3,6,15,6,19,"2",1990,"6","11","18",NA,NA,NA,"41.97",NA,"solid",NA
"59","SS3-1","sybille_springs","White",5614,8,5,31,6,1,"0",1990,"5","24","0","16:00","55.5","39.4","41.57",NA,NA,"pipped 31 May 90"
"60","SS3-5","sybille_springs","White",5614,8,5,31,6,1,"0",1990,"5","24","0","16:00","55.9","38.95","42.09",NA,NA,"pipped 31 May 90"
"61","SS3-4","sybille_springs","White",5614,8,5,31,6,1,"0",1990,"5","24","0","16:00","54.7","39","40.68",NA,NA,"cracked, pipped 31 May 90"
"62","SS3-3","sybille_springs","White",5614,8,5,31,6,1,"0",1990,"5","24","0","16:00","55.4","38.8","41.13",NA,NA,"pipped 31 May 90"
"63","SS3-2","sybille_springs","White",5614,8,5,31,6,1,"0",1990,"5","24","0","16:00","57.1","39.5","42.56",NA,NA,"pipped 31 May 90"
"64","SS3-7","sybille_springs","White",5614,8,5,31,6,1,"0",1990,"5","24","0","16:00","56.6","39.4","43.58",NA,NA,"pipped 31 May 90"
"65","SS3-6","sybille_springs","White",5614,8,5,31,6,2,"0",1990,"5","24","0","16:00","55.3","39.5","41.69",NA,NA,"pipped 31 May 90"
"66","SS3-8","sybille_springs","White",5614,8,5,31,6,3,"0",1990,"5","45","0","16:00","54.6","38.1","39.39",NA,NA,"pipped 01 June 90 "
"67","N1-1","north","White",NA,5,6,25,NA,NA,"0",1990,"5","28","0","16:00","55.6","39.5","46.13",NA,NA,"pipped 22 June 90, died while hatching "
"68","N1-1","north","White",NA,5,6,25,NA,NA,"1",1990,"5","31","3",NA,NA,NA,"45.9",NA,NA,"pipped 22 June 90, died while hatching "
"69","N1-1","north","White",NA,5,6,25,NA,NA,"2",1990,"6","11","14",NA,NA,NA,"44.21",NA,NA,"pipped 22 June 90, died while hatching "
