"l_tag","r_tag","year","month","day","lek","age","struts_5_min","time_strut","sunrise","time_to_sunrise","dist_to_hens","breed","malaria","lice"
"O1317","W1439","1989",5,"08","long_lake","adult","15","0.248611111","0.246527778","-0.002083333","2","0","0","0"
"O1320","Y1250","1989",5,"12","sybille_spgs","adult","19","0.244444444","0.245138889","0.000694444","3","0","1","0"
"O1320","Y1250","1989",4,"30","sybille_spgs","adult","10","0.258333333","0.252777778","-0.005555556","3","0","1","0"
"O1320","Y1250","1989",5,"03","sybille_spgs","adult","5","0.246527778","0.249305556","0.002777778","1","0","1","0"
"O1320","Y1250","1989",5,"02","sybille_spgs","adult","9","0.256944444","0.25","-0.006944444","3","0","1","0"
"O1356","O1358","1989",5,"02","sybille_spgs","juven","31","0.275694444","0.25","-0.025694444","3","0","0",NA
"O1356","O1358","1989",5,"04","sybille_spgs","juven","3","0.267361111","0.249305556","-0.018055556","0","0","0",NA
"O1356","O1358","1989",5,"03","sybille_spgs","juven","0","0.28125","0.249305556","-0.031944444","3","0","0",NA
"O1356","O1358","1989",5,"06","sybille_spgs","juven","8","0.259027778","0.247916667","-0.011111111","3","0","0",NA
"O1359","B1619","1989",4,"22","sybille_spgs","adult","18","0.254861111","0.263888889","0.009027778","3","0","0","1"
"O1361","B1672","1989",5,"07","viewpoint","adult","10","0.266666667","0.247222222","-0.019444444","0","0","0",NA
"O1361","B1672","1989",5,"07","viewpoint","adult","7","0.273611111","0.247222222","-0.026388889","0","0","0",NA
"O44","O48","1989",5,"04","north","adult","0","0.261111111","0.249305556","-0.011805556","0","0","0",NA
"O66","P556","1989",4,"07","cordingly","adult","33","0.288194444","0.278472222","-0.009722222","2","0","0","3"
"O66","P556","1989",4,"07","cordingly","adult","0","0.265972222","0.278472222","0.0125","0","0","0","3"
"O66","P556","1989",4,"07","cordingly","adult","24","0.277083333","0.278472222","0.001388889","0","0","0","3"
"O738","R848","1989",5,"04","long_lake","adult","2","0.274305556","0.249305556","-0.025","2","0","0","0"
"O74","O75","1989",5,"04","long_lake","adult","15","0.29375","0.249305556","-0.044444444","3","0","0","3"
"O790","B944","1989",4,"06","north","juven","24","0.277777778","0.278472222","0.000694444","3","0","0",NA
"O790","B944","1989",5,"07","north","juven","2","0.26875","0.247222222","-0.021527778","0","0","0",NA
"O790","B944","1989",4,"08","north","juven","26","0.2875","0.277777778","-0.009722222","1","0","0",NA
"O9","W462","1989",4,"06","north","adult","42","0.270833333","0.278472222","0.007638889","1","1",NA,"3"
"O9","W462","1989",3,"24","north","adult","24","0.274305556","0.25","-0.024305556","0","1",NA,"3"
"O9","W462","1989",4,"20","north","adult","29","0.254861111","0.268055556","0.013194444","1","1",NA,"3"
"O9","W462","1989",4,"08","north","adult","24","0.267361111","0.277777778","0.010416667","1","1",NA,"3"
"r","g","1989",3,"22","long_lake",NA,"14","0.263888889","0.256944444","-0.006944444","0","0","0",NA
"r","g","1989",5,"02","s._fetterman",NA,"25","0.282638889","0.25","-0.032638889","1","3",NA,NA
"r","o","1989",4,"03","long_lake",NA,"21","0.284027778","0.279861111","-0.004166667","1","0","0",NA
"r","y","1989",4,"13","sybille_spgs",NA,"14","0.263194444","0.275","0.011805556","1","0","0",NA
"R105","R106","1989",3,"22","long_lake","adult","14","0.263888889","0.256944444","-0.006944444","2","0","0","3"
"R113","R111","1989",3,"29","mud_springs","adult","0","0.260416667","0.247222222","-0.013194444","3","1","0","0"
"R113","R111","1989",4,"01","mud_springs","adult","0","0.286111111","0.245138889","-0.040972222","3","1","0","0"
"R113","R111","1989",4,"12","mud_springs","adult","26","0.278472222","0.275694444","-0.002777778","1","1","0","0"
"R113","R111","1989",4,"16","mud_springs","adult","29","0.261805556","0.272222222","0.010416667","1","1","0","0"
"R113","R111","1989",4,"11","mud_springs","adult","37","0.275","0.276388889","0.001388889","1","1","0","0"
"R113","R111","1989",4,"03","mud_springs","adult","3","0.328472222","0.279861111","-0.048611111","3","1","0","0"
"R113","R111","1989",3,"29","mud_springs","adult","3","0.263888889","0.247222222","-0.016666667","3","1","0","0"
"R113","R111","1989",4,"26","mud_springs","adult","1","0.259027778","0.256944444","-0.002083333","0","1","0","0"
"R113","R111","1989",4,"13","mud_springs","adult","31","0.278472222","0.275","-0.003472222","1","1","0","0"
"R113","R111","1989",4,"30","mud_springs","adult","3","0.281944444","0.252777778","-0.029166667","0","1","0","0"
"R116","W411","1989",3,"22","mud_springs","adult","7","0.279166667","0.256944444","-0.022222222","0","0","0",NA
"R150","W471","1989",5,"07","long_lake","adult","19","0.240277778","0.247222222","0.006944444","2","0","0","3"
"R150","W471","1989",3,"22","long_lake","adult","34","0.252777778","0.256944444","0.004166667","0","0","0","3"
"R150","W471","1989",4,"27","long_lake","adult","16","0.266666667","0.256944444","-0.009722222","2","0","0","3"
"R150","W471","1989",4,"17","long_lake","adult","31","0.263888889","0.270833333","0.006944444","1","0","0","3"
"R1704","Y1256","1989",5,"02","sybille_spgs","juven","3","0.282638889","0.25","-0.032638889","3","0","0",NA
"R1704","Y1256","1989",4,"30","sybille_spgs","juven","6","0.277777778","0.252777778","-0.025","3","0","0",NA
"R1704","Y1256","1989",5,"04","sybille_spgs","juven","0","0.25","0.249305556","-0.000694444","0","0","0",NA
"R1704","Y1256","1989",5,"06","sybille_spgs","juven","7","0.252083333","0.247916667","-0.004166667","3","0","0",NA
"R1707","O1354","1989",4,"29","sybille_spgs","juven","0","0.246527778","0.253472222","0.006944444","0","0","0",NA
"R1707","O1354","1989",4,"30","sybille_spgs","juven","5","0.273611111","0.252777778","-0.020833333","3","0","0",NA
"R1711","B1625","1989",4,"13","sybille_spgs","adult","0","0.307638889","0.275","-0.032638889","3","0","0","1"
"R1711","B1625","1989",4,"22","sybille_spgs","adult","0","0.28125","0.263888889","-0.017361111","3","0","0","1"
"R1711","B1625","1989",4,"18","sybille_spgs","adult","8","0.263888889","0.269444444","0.005555556","3","0","0","1"
"R1711","B1625","1989",4,"15","sybille_spgs","adult","38","0.290277778","0.274305556","-0.015972222","1","0","0","1"
"R1711","B1625","1989",4,"22","sybille_spgs","adult","10","0.261111111","0.263888889","0.002777778","3","0","0","1"
"R1711","B1625","1989",4,"20","sybille_spgs","adult","2","0.25","0.268055556","0.018055556","2","0","0","1"
"R1711","B1625","1989",5,"12","sybille_spgs","adult","6","0.257638889","0.245138889","-0.0125","3","0","0","1"
"R1711","B1625","1989",4,"15","sybille_spgs","adult","36","0.2625","0.274305556","0.011805556","1","0","0","1"
"R1715","G1598","1989",5,"06","north","adult","34","0.24375","0.247916667","0.004166667","1","1","1","0"
"R1715","G1598","1989",4,"08","north","adult","0","0.3125","0.277777778","-0.034722222","2","1","1","0"
"R1715","G1598","1989",4,"20","north","adult","0","0.254861111","0.268055556","0.013194444","3","1","1","0"
"R1715","G1598","1989",5,"02","north","adult","28","0.277777778","0.25","-0.027777778","4","1","1","0"
"R1715","G1598","1989",5,"07","north","adult","36","0.236805556","0.247222222","0.010416667","1","1","1","0"
"R1715","G1598","1989",5,"02","north","adult","1","0.265277778","0.25","-0.015277778","4","1","1","0"
"R1715","G1598","1989",5,"04","north","adult","0","0.270833333","0.249305556","-0.021527778","0","1","1","0"
"R1715","G1598","1989",5,"06","north","adult","26","0.270833333","0.247916667","-0.022916667","1","1","1","0"
"R1720","G1581","1989",5,"12","sybille_spgs","adult","37","0.240277778","0.245138889","0.004861111","1","1","1","0"
"R1720","G1581","1989",5,"06","sybille_spgs","adult","14","0.23125","0.247916667","0.016666667","2","1","1","0"
"R1720","G1581","1989",5,"02","sybille_spgs","adult","14","0.248611111","0.25","0.001388889","3","1","1","0"
"R1720","G1581","1989",5,"04","sybille_spgs","adult","0","0.256944444","0.249305556","-0.007638889","0","1","1","0"
"R1720","G1581","1989",5,"03","sybille_spgs","adult","31","0.257638889","0.249305556","-0.008333333","1","1","1","0"
"R1720","G1581","1989",4,"13","sybille_spgs","adult","13","0.30625","0.275","-0.03125","3","1","1","0"
"R1720","G1581","1989",4,"30","sybille_spgs","adult","0","0.250694444","0.252777778","0.002083333","3","1","1","0"
"R1720","G1581","1989",4,"18","sybille_spgs","adult","11","0.275","0.269444444","-0.005555556","3","1","1","0"
"R1722","B1618","1989",3,"23","mud_springs","adult","2","0.270833333","0.253472222","-0.017361111","0","0","0",NA
"R1725","W1446","1989",5,"02","sybille_spgs","adult","2","0.265277778","0.25","-0.015277778","3","0","0","0"
"R1725","W1446","1989",5,"06","sybille_spgs","adult","13","0.280555556","0.247916667","-0.032638889","3","0","0","0"
"R1725","W1446","1989",4,"30","sybille_spgs","adult","0","0.260416667","0.252777778","-0.007638889","3","0","0","0"
"R1725","W1446","1989",5,"12","sybille_spgs","adult","27","0.250694444","0.245138889","-0.005555556","3","0","0","0"
"R1725","W1446","1989",5,"03","sybille_spgs","adult","0","0.232638889","0.249305556","0.016666667","3","0","0","0"
"R1725","W1446","1989",5,"04","sybille_spgs","adult","10","0.263888889","0.249305556","-0.014583333","0","0","0","0"
"R1752","B1624","1989",5,"07","north","adult","2","0.263888889","0.247222222","-0.016666667","0","0","1","0"
"R1752","B1624","1989",5,"04","north","adult","0","0.261805556","0.249305556","-0.0125","0","0","1","0"
"R1752","B1624","1989",5,"02","north","adult","11","0.250694444","0.25","-0.000694444","0","0","1","0"
"R1752","B1624","1989",5,"02","north","adult","36","0.273611111","0.25","-0.023611111","1","0","1","0"
"R1752","B1624","1989",5,"06","north","adult","12","0.257638889","0.247916667","-0.009722222","1","0","1","0"
"R181","W480","1989",5,"07","north","adult","18","0.23125","0.247222222","0.015972222","0","0","0","3"
"R181","W480","1989",5,"06","north","adult","40","0.2375","0.247916667","0.010416667","1","0","0","3"
"R181","W480","1989",5,"07","north","adult","15","0.246527778","0.247222222","0.000694444","2","0","0","3"
"R181","W480","1989",5,"06","north","adult","34","0.261805556","0.247916667","-0.013888889","1","0","0","3"
"R196","R108","1989",3,"26","cordingly","adult","31","0.2375","0.249305556","0.011805556","1","0","0","3"
"R840","R839","1989",5,"07","long_lake","adult","13","0.260416667","0.247222222","-0.013194444","3","0","0","0"
"R843","B1611","1989",5,"04","long_lake","adult","21","0.250694444","0.249305556","-0.001388889","1","0","0","0"
"R843","B1611","1989",4,"17","long_lake","adult","19","0.256944444","0.270833333","0.013888889","3","0","0","0"
"R843","B1611","1989",5,"08","long_lake","adult","0","0.248611111","0.246527778","-0.002083333","3","0","0","0"
"R845","B947","1989",5,"01","mud_springs","adult","0","0.240972222","0.25","0.009027778","0","0","0","1"
"R845","B947","1989",4,"09","mud_springs","adult","16","0.290972222","0.277777778","-0.013194444","2","0","0","1"
"R846","W675","1989",4,"26","mud_springs","juven","30","0.29375","0.256944444","-0.036805556","1","0","0",NA
"R846","W675","1989",4,"30","mud_springs","juven","39","0.244444444","0.252777778","0.008333333","2","0","0",NA
"R846","W675","1989",5,"05","mud_springs","juven","19","0.265277778","0.248611111","-0.016666667","3","0","0",NA
"R846","W675","1989",4,"14","mud_springs","juven","24","0.266666667","0.275","0.008333333","2","0","0",NA
"R846","W675","1989",5,"06","mud_springs","juven","34","0.258333333","0.247916667","-0.010416667","2","0","0",NA
"R860","Y1182","1989",4,"26","mud_springs","adult","0","0.243055556","0.256944444","0.013888889","0","1","0","0"
"R860","Y1182","1989",3,"29","mud_springs","adult","12","0.292361111","0.247222222","-0.045138889","3","1","0","0"
"R860","Y1182","1989",4,"16","mud_springs","adult","48","0.261805556","0.272222222","0.010416667","1","1","0","0"
"R860","Y1182","1989",4,"13","mud_springs","adult","43","0.272222222","0.275","0.002777778","1","1","0","0"
"R860","Y1182","1989",5,"01","mud_springs","adult","5","0.251388889","0.25","-0.001388889","0","1","0","0"
"R860","Y1182","1989",4,"11","mud_springs","adult","43","0.263888889","0.276388889","0.0125","1","1","0","0"
"R860","Y1182","1989",4,"16","mud_springs","adult","33","0.298611111","0.272222222","-0.026388889","1","1","0","0"
"R860","Y1182","1989",3,"23","mud_springs","adult","8","0.264583333","0.253472222","-0.011111111","0","1","0","0"
"R860","Y1182","1989",5,"09","mud_springs","adult","0","0.25","0.246527778","-0.003472222","3","1","0","0"
"R860","Y1182","1989",4,"18","mud_springs","adult","34","0.277777778","0.269444444","-0.008333333","1","1","0","0"
"R860","Y1182","1989",4,"15","mud_springs","adult","37","0.267361111","0.274305556","0.006944444","1","1","0","0"
"R860","Y1182","1989",4,"18","mud_springs","adult","1","0.294444444","0.269444444","-0.025","2","1","0","0"
"R860","Y1182","1989",4,"12","mud_springs","adult","47","0.270138889","0.275694444","0.005555556","1","1","0","0"
"R860","Y1182","1989",3,"21","mud_springs","adult","24","0.284722222","0.257638889","-0.027083333","0","1","0","0"
"R860","Y1182","1989",4,"30","mud_springs","adult","7","0.282638889","0.252777778","-0.029861111","0","1","0","0"
"R860","Y1182","1989",4,"14","mud_springs","adult","14","0.263194444","0.275","0.011805556","1","1","0","0"
"R860","Y1182","1989",4,"09","mud_springs","adult","0","0.290972222","0.277777778","-0.013194444","3","1","0","0"
"R860","Y1182","1989",4,"03","mud_springs","adult","17","0.33125","0.279861111","-0.051388889","3","1","0","0"
"R887","G1098","1989",5,"07","long_lake","adult","12","0.260416667","0.247222222","-0.013194444","3","0","0","0"
"R887","G1098","1989",4,"17","long_lake","adult","4","0.284027778","0.270833333","-0.013194444","3","0","0","0"
"R899","G1065","1989",5,"05","mud_springs","adult","32","0.271527778","0.248611111","-0.022916667","1","0","0","0"
"R899","G1065","1989",5,"09","mud_springs","adult","30","0.264583333","0.246527778","-0.018055556","1","0","0","0"
"R899","G1065","1989",4,"14","mud_springs","adult","24","0.304166667","0.275","-0.029166667","1","0","0","0"
"RB1660","B1661","1989",5,"08","long_lake","adult","29","0.280555556","0.246527778","-0.034027778","1","1","0","0"
