,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematomas,,Hematomas,Color,Color,Number,Number,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,samples collected,samples collected,samples collected,samples collected,,,,
binder pdf scan page ,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,Weight (bird and bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num  Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),num Air Sacs,num Combs, comb comments,Left Wing,Right Wing,Left Wing,Right Wing,,,,,,,Blood ,Ectoparasites,Fecal,Cecal,Existing Injuries,Handling Injury, Stresses While Handling (describe),Comments
49,14-05-1990,7:26,7:39,MUD SPGS,White/Vargas,JUVENILE,MALE,Canon net,2.7,0.4,,715,275,9,322,175,66,68,41.4,21.1,25.75,Olive yell,0,Bistre yell,"1L, 0R",+,"4L, 4R","25L, ?R",Upper edge R,Green,WBlue,1507,1634,SG181,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,FALSE,-,Lost feathers from canon net,,
51,14-05-1990,7:48,8:00,MUD SPGS,White/Vargas,JUVENILE,MALE,Canon net,2.6,0.35,,621,256,18,321,170,68,68,38.4,21.7,25,Olive yell,0,Yellow,0,-,"1L, 0R","10L, 10R",,Yellow,WYell,1286,1288,SG182,TRUE,FALSE,FALSE,-,,TRUE,FALSE,TRUE,FALSE,,Lost feathers from net on wrist?,Hematoma from blood draw,
53,14-05-1990,8:14,8:25,MUD SPGS,White/Vargas,JUVENILE,MALE,Canon net,2.8,0.3,,717,277,18,325,181,68,68,39.5,21.4,22.9,Olive yell,0,Bistre yell,0,-,"4L, 5R","4L, 4R",,White,WGreen,1416,1564,SG183,TRUE,FALSE,FALSE,-,,TRUE,FALSE,TRUE,FALSE,-,-,,
55,05-05-1990,7:52,8:03,MUD SPGS,White/Neimuth/Banfy,JUVENILE,MALE,Canon net,2.95,0.4,2.55,720,300,11,321,172,66,71,41.2,22.4,24.6,Olive yell,0,Bistre yell,0,-,0,"20L, 4R",,Blue,WBlue,1614,1616,SG174,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,FALSE,,,,"Lower back defeathered, mild (nasty lookin'), abrasion due to net?"
57,21-04-1990,2:30,2:41,MUD SPGS,White/Holiault,JUVENILE,MALE,Spotlight,3.1,0.75,,677,280,19,319,154,65,65,32,22.8,24.3,Olive yell,0,Bistre yell,"2L, 0R",+,"5L, 2R","2L, 1R",,WYell,Blue,1238,1638,SG154,TRUE,TRUE,FALSE,2,,TRUE,TRUE,FALSE,FALSE,Both air sacs bruised,,,Two bags used to weigh
59,20-04-1990,0:27,0:42,MUD SPGS,White/Holiault,JUVENILE,MALE,Spotlight,2.9,0.4,2.5,668,245,20,308,179,68,68,39.9,22.8,29.3,Olive yell,0,Yellow,0,+,"10L, 4R","1L, ?R",Both upper edge,WYell,White,1232,1426,SG145,TRUE,TRUE,TRUE,-,,TRUE,FALSE,TRUE,FALSE,-,-,-,
61,20-04-1990,2:48,3:01,MUD SPGS,White/Laessig,JUVENILE,MALE,Spotlight,2.9,?,,664,252,16,292,148,68,69,40.2,22.6,26.8,Yell - Olive,0,Bistre yell,,-,"1L, 2R","4L, ?R",L upper edge; R upper edge,WGreen ,White,1567,1432,SG146,TRUE,TRUE,TRUE,-,,TRUE,FALSE,TRUE,FALSE,,Hematoma blood,,Tag colours do not match corresponding lab followup 
63,19-04-1990,4:40,4:52,MUD SPGS,White/Freeson,JUVENILE,MALE,Spotlight,3,0.3,,615,295,18,314,152,64,68,39.2,21.5,23.3,Yell - Olive,0,Bistre yell,"5L, 4R",-,,"0L, 2R",,WGreen ,Green,1562,1572,SG143,TRUE,TRUE,TRUE,-,FALSE,TRUE,FALSE,TRUE,FALSE,-,-,Slight resp.,
65,14-05-1990,8:45,8:52,MUD SPGS,White/Vargas,ADULT,FEMALE,Canon net,1.85,0.25,,570,222,N/A,282,151,56,55,33.5,18.5,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,,Orange,Red,1393,1734,SG1,TRUE,TRUE,TRUE,-,,TRUE,FALSE,TRUE,FALSE,,,,Has brood patch
67,14-05-1990,8:31,8:38,MUD SPGS,White/Vargas,ADULT,FEMALE,Canon net,1.9,0.3,,589,227,N/A,271,150,60,60,33.6,17.9,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,,Orange,Yellow,1390,1294,SG13,TRUE,TRUE,TRUE,-,,TRUE,FALSE,FALSE,FALSE,,,,Has brood patch
69,14-05-1990,6:47,6:59,MUD SPGS,White/Varags,ADULT,FEMALE,Canon net,1.75,0.35,1.4,530,204,N/A,281,121,57,54,33.7,18.3,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,,Orange,Green,1383,1510,SG12,TRUE,TRUE,TRUE,-,,TRUE,FALSE,FALSE,FALSE,,Wrist bleeding from net,,Has brood patch
71,19-04-1990,4:55,5:03,MUD SPGS,White/Freeson,ADULT,FEMALE,Spotlight,2,0.3,1.7,580,212,N/A,291,149,56,55,32.1,18.3,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,,Red,Orange ,1731,1374,SG9,TRUE,TRUE,TRUE,-,,TRUE,FALSE,TRUE,FALSE,-,-,-,
73,19-04-1990,5:06,5:14,MUD SPGS,White/Freeson,ADULT,FEMALE,Spotlight,2,0.3,,663,222,N/A,282,126,60,58,33.1,19,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,,Orange,Orange ,1303,1309,SG10,TRUE,TRUE,TRUE,-,,TRUE,FALSE,TRUE,FALSE,-,-,-,
75,20-04-1990,NA,NA,MUD SPGS,White/Freeson,ADULT,FEMALE,Spotlight,2,0.4,1.6,545,212,N/A,260,114,61,55,30.5,18.9,N/A,N/A,N/A,N/A,N/A,-,N/A,N/A,,Orange,White,1352,1436,SG11,TRUE,TRUE,TRUE,-,,TRUE,FALSE,TRUE,FALSE,-,-,-,
