,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS,,
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left ,Right,,,,,
68,11-04-1990,7:10:00 AM - spotlighting SS,6:34,NORTH,White,None,0 to 5,50,- ,-,~ 20,,Clear,,,7:12,30,16,Female y?; Male Y - both (?),7:22,7:27,R,Y,6,3,,,UM,,,1,At 7:26 - human distrubance - all birds left,,
,,,,,,,,,,,,,,,,,,,,7:24,7:29,R,B,14,3,,UM <-> RB,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:29,7:34,B,B,15,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:34,7:36,B,O1364,19,1,,Female passed by,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,WY1299,-,,,,,,,,,,,
69,12-04-1990,6:55,6:30,NORTH,,None,Calm,70,-,Sprinkle on and off,~ 30,Rain overnight,Clear,Prairie falcon,7:25 - no one flew,6:58,31,10,"-W male - walking, mounted this (?)",7:02,7:07,R,B,26,1,,Female moved off,UM,,,1,"Birds all oin SW side of road. By 7:30 no hens left. Left 7:40. Sunrise 6:30, trapping Sybille ",,
,,,,,,,,,,,,,,,,,,,,7:08,7:13,B,B,20,2,,BB -> UM,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:16,7:21,1670B,O1364,10,2,,Hens passing by,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:16,7:21,WY,Y,23,2,,Hens passing by,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:22,7:27,W,O,32,2,,Chasing hen @ ,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:25,7:30,WR,R,29,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:28,7:33,W,Y,13,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:30,7:35,G,R,0,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:34,7:39,G,B,-,3,,,,,,,,,
70,14-04-1990,-,,NORTH,White/Colin/Koeppen,Spotlight,"0 to 5 , gusty",70,-,-,~ 30,,Clear,,,6:09,28,113,,6:15,6:20,WY,Y,0,3,,-,,UM,,1,"Only ~ 5 hens left at 7:00. GB -> UM male. 7:38 all female gone, rest 2 males gone - rest very dispersed",,
