"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,
"year = all, males of unknown malarial status not included",,,,,,,,,,,,,,,,,
breeder vs. non-breeder,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,struts,,resids,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,struts,resids,,squared,struts,squared,resids,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,Regression Output:,,
0,12,0.015,3,89,0,11.58957315,0.41027687,,144,12,0.16832711,0.41027687,,,,,
0,22,0.049,3,89,0,9.015143758,12.984706,,484,22,168.6025899,12.984706,,,,,
0,8,-0.001,2,89,0,16.33503937,-8.3351494,,64,8,69.47471552,-8.3351494,,,,,
0,9,0.040,0,89,0,20.46695565,-11.466986,,81,9,131.4917679,-11.466986,,,,,
3,37,0.019,1,89,0,18.45353688,18.546393,,1369,37,343.9686933,18.546393,,,,,
1,0,0.003,3,90,0,12.43020313,-12.430353,,0,0,154.5136757,-12.430353,,,,,
0,15,0.003,2,89,0,16.0723425,-1.0724525,,225,15,1.150154365,-1.0724525,,,,,
3,33,0.006,1,90,0,19.451785,13.548145,,1089,33,183.5522329,13.548145,,,,,
3,10,-0.001,2,90,0,16.38757875,-6.3876887,,100,10,40.80256693,-6.3876887,,,,,
3,0,0.060,3,90,0,8.174513767,-8.1746638,,0,0,66.82512824,-8.1746638,,,,,
1,29,0.055,2,90,0,12.13188938,16.868001,,841,29,284.5294577,16.868001,,,,,
0,21,0.012,1,90,0,18.97893059,2.0209994,,441,21,4.084438575,2.0209994,,,,,
3,12,0.024,3,90,0,10.85402184,1.1458281,,144,12,1.312922035,1.1458281,,,,,
0,30,0.065,1,90,0,14.93339873,15.066531,,900,30,227.0003564,15.066531,,,,,
3,39,0.018,1,90,0,18.50607622,20.493854,,1521,39,419.9980518,20.493854,,,,,
3,11,0.011,3,90,0,11.85227001,-0.85242,,121,11,0.726619856,-0.85242,,,,,
3,20,0.013,2,90,0,15.33679125,4.6630987,,400,20,21.74448949,4.6630987,,,,,
0,0,0.019,3,90,0,11.27433688,-11.274487,,0,0,127.1140571,-11.274487,,,,,
3,33,0.047,1,90,0,16.35196186,16.647968,,1089,33,277.1548385,16.647968,,,,,
0,25,-0.002,1,88,0,20.02971812,4.9702119,,625,25,24.70300633,4.9702119,,,,,
3,13,0.006,0,90,0,22.98884563,-9.9888756,,169,13,99.77763575,-9.9888756,,,,,
3,5,0.049,3,90,0,8.962604341,-3.9627544,,25,5,15.70342243,-3.9627544,,,,,
