regression of strut rate vs. distance to hens and time from sunrise,,,,,,,,,,,,,,,,,
malaria vs. no malaria - 1990. birds of unknown malaria status not included,,,,,,,,,,,,,,,,,
page down to see breeder vs. non-breeder,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,,,,,,struts,,resids,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,values,resids,,,,,,,squared,struts,squared,resids
---------,---------,---------,---------,---------,---------,---------,---------,,,Regression Output:,,,,---------,---------,---------,---------
1,4,0.029,3,90,0,11.21784791,-7.2178279,,R Squared,,,0.076490445,,16,4,52.09703959,-7.2178279
1,11,0.033,3,90,0,11.16188334,-0.16186333,,No. of Observations,,,252,,121,11,0.026199738,-0.16186333
3,1,0.019,3,90,0,11.34843195,-10.348412,,Degrees of Freedom,,,249,,1,1,107.0896309,-10.348412
1,32,0.015,2,90,0,14.59882396,17.401196,,,,,,,1024,32,302.8016222,17.401196
3,0,0.028,3,90,0,11.22717535,-11.227155,,X Coefficient(s),,-13.431484,-3.1850952,,0,0,126.0490094,-11.227155
3,13,0.044,3,90,0,11.02197188,1.9780481,,Std Err of Coef.,,40.151715,0.70285448,,169,13,3.912674286,1.9780481
3,32,0.035,1,90,0,17.51342848,14.486592,,,,,,,1024,32,209.8613478,14.486592
3,21,0.057,1,90,0,17.2149507,3.7850693,,,,,,,441,21,14.32674961,3.7850693
3,2,0.011,3,90,0,11.46036111,-9.4603411,,,,,,,4,2,89.49805373,-9.4603411
0,5,0.038,1,90,0,17.46679133,-12.466771,,,,,,,25,5,155.4203792,-12.466771
1,36,0.033,2,90,0,14.34698334,21.653037,,,,,,,1296,36,468.8540113,21.653037
1,27,0.013,2,90,0,14.62680625,12.373214,,,,,,,729,27,153.0964247,12.373214
1,4,0.025,0,90,0,20.8291125,-16.829093,,,,,,,16,4,283.2183712,-16.829093
1,0,0.013,0,90,0,20.98767883,-20.987659,,,,,,,0,0,440.4818303,-20.987659
1,28,0.028,2,90,0,14.42160277,13.578417,,,,,,,784,28,184.3734082,13.578417
1,0,-0.011,3,90,0,11.75883889,-11.758819,,,,,,,0,0,138.2698243,-11.758819
1,22,0.011,3,90,0,11.46036111,10.539659,,,,,,,484,22,111.0844118,10.539659
1,47,0.023,1,90,0,17.67199479,29.328025,,,,,,,2209,47,860.1330504,29.328025
3,0,0.056,3,90,0,10.86340555,-10.863386,,,,,,,0,0,118.0131554,-10.863386
3,27,0.040,3,90,0,11.07793646,15.922084,,,,,,,729,27,253.5127589,15.922084
1,9,0.020,3,90,0,11.33910451,-2.3390845,,,,,,,81,9,5.471316298,-2.3390845
1,0,-0.001,3,90,0,11.61892743,-11.618907,,,,,,,0,0,134.9989999,-11.618907
3,33,0.016,1,90,0,17.7652691,15.234751,,,,,,,1089,33,232.097638,15.234751
3,43,0.016,1,90,0,17.7652691,25.234751,,,,,,,1849,43,636.792658,25.234751
3,28,-0.008,1,90,0,18.09172917,9.9082908,,,,,,,784,28,98.17422658,9.9082908
1,11,-0.007,1,90,0,18.0730743,-7.0730543,,,,,,,121,11,50.02809713,-7.0730543
1,10,0.049,2,90,0,14.14177986,-4.1417599,,,,,,,100,10,17.15417507,-4.1417599
0,23,0.040,3,90,0,11.07793646,11.922084,,,,,,,529,23,142.1360869,11.922084
0,1,0.052,3,90,0,10.91004271,-9.9100227,,,,,,,1,1,98.20854991,-9.9100227
1,19,0.060,1,90,0,17.16831354,1.8317065,,,,,,,361,19,3.355148702,1.8317065
1,1,0.042,3,90,0,11.04995416,-10.049934,,,,,,,1,1,101.0011734,-10.049934
3,8,0.040,3,90,0,11.07793646,-3.0779165,,,,,,,64,8,9.473569981,-3.0779165
0,0,-0.002,3,90,0,11.63758229,-11.637562,,,,,,,0,0,135.4328493,-11.637562
0,22,0.000,2,90,0,14.7947,7.20532,,,,,,,484,22,51.9166363,7.20532
0,16,0.064,3,90,0,10.75147639,5.2485436,,,,,,,256,16,27.54720992,5.2485436
0,0,0.054,3,90,0,10.88206041,-10.88204,,,,,,,0,0,118.4187946,-10.88204
0,0,0.060,3,90,0,10.80744098,-10.807421,,,,,,,0,0,116.8003487,-10.807421
0,6,0.052,3,90,0,10.91004271,-4.9100227,,,,,,,36,6,24.10832291,-4.9100227
3,16,0.002,2,90,0,14.76671771,1.2333023,,,,,,,256,16,1.521034563,1.2333023
1,19,0.027,1,90,0,17.61603021,1.3839898,,,,,,,361,19,1.915427767,1.3839898
0,0,0.015,3,90,0,11.41372396,-11.413704,,,,,,,0,0,130.272639,-11.413704
0,0,-0.003,0,90,0,21.20220972,-21.20219,,,,,,,0,0,449.5328608,-21.20219
1,20,0.031,1,90,0,17.56939305,2.4306269,,,,,,,400,20,5.907947127,2.4306269
0,20,0.062,3,90,0,10.77945867,9.2205613,,,,,,,400,20,85.01875069,9.2205613
0,0,0.016,0,90,0,20.9503691,-20.950349,,,,,,,0,0,438.9171232,-20.950349
3,16,0.001,2,90,0,14.77604514,1.2239749,,,,,,,256,16,1.498114556,1.2239749
0,8,0.044,0,90,0,20.57727188,-12.577252,,,,,,,64,8,158.1872679,-12.577252
0,34,0.017,3,90,0,11.37641424,22.623606,,,,,,,1156,34,511.8275484,22.623606
0,23,0.006,3,90,0,11.53498055,11.465039,,,,,,,529,23,131.4471193,11.465039
0,16,0.035,3,90,0,11.14322848,4.8567915,,,,,,,256,16,23.58842367,4.8567915
0,10,0.060,3,90,0,10.80744098,-0.80742097,,,,,,,100,10,0.651928623,-0.80742097
0,34,-0.011,1,90,0,18.12903889,15.870981,,,,,,,1156,34,251.8880379,15.870981
0,4,0.053,3,90,0,10.90071527,-6.9006953,,,,,,,16,4,47.61959562,-6.9006953
1,27,0.006,2,90,0,14.72008055,12.279939,,,,,,,729,27,150.7969018,12.279939
0,12,0.015,3,90,0,11.41372396,0.58629604,,,,,,,144,12,0.343743047,0.58629604
1,0,0.043,0,90,0,20.5865993,-20.586579,,,,,,,0,0,423.8072349,-20.586579
3,0,-0.001,3,90,0,11.61892743,-11.618907,,,,,,,0,0,134.9989999,-11.618907
0,31,0.006,1,90,0,17.90518055,13.094839,,,,,,,961,31,171.4748084,13.094839
1,0,0.015,3,90,0,11.41372396,-11.413704,,,,,,,0,0,130.272639,-11.413704
0,0,0.028,0,90,0,20.78247535,-20.782455,,,,,,,0,0,431.9104358,-20.782455
0,0,-0.009,2,90,0,14.9159566,-14.915937,,,,,,,0,0,222.4851766,-14.915937
1,14,0.006,1,90,0,17.89585313,-3.8958331,,,,,,,196,14,15.17751554,-3.8958331
3,2,0.031,3,90,0,11.19919305,-9.1991731,,,,,,,4,2,84.62478572,-9.1991731
3,23,0.049,1,90,0,17.31755242,5.6824676,,,,,,,529,23,32.29043803,5.6824676
1,0,-0.008,3,90,0,11.71220174,-11.712182,,,,,,,0,0,137.1752072,-11.712182
3,27,0.005,3,90,0,11.54430799,15.455712,,,,,,,729,27,238.8790334,15.455712
1,0,-0.003,3,90,0,11.65623715,-11.656217,,,,,,,0,0,135.8673948,-11.656217
3,9,-0.008,3,90,0,11.72152917,-2.7215092,,,,,,,81,9,7.406612326,-2.7215092
1,17,-0.006,1,90,0,18.06374688,-1.0637269,,,,,,,289,17,1.131514918,-1.0637269
3,35,0.049,1,90,0,17.31755242,17.682468,,,,,,,1225,35,312.6696746,17.682468
3,29,0.022,2,90,0,14.50554965,14.49447,,,,,,,841,29,210.0896606,14.49447
1,20,0.028,3,90,0,11.23650277,8.7635172,,,,,,,400,20,76.79923371,8.7635172
