"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,, ,,,,,,,
"year = all, no malaria vs. malaria, males of unknown malarial status not included",,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,struts,,resids,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,struts,resids,,squared,struts,squared,resids,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,Regression Output:,,
0,34,0.017,3,90,0,10.88891494,23.110965,,1156,34,534.1167032,23.110965,,,,,
0,29,0.006,2,90,0,15.43974938,13.560171,,841,29,183.8782375,13.560171,,,,,
0,0,0.042,3,90,0,8.747495804,-8.7476158,,0,0,76.52078218,-8.7476158,,,,,
0,3,0.014,0,89,0,21.91053193,-18.910532,,9,3,357.6082205,-18.910532,,,,,
0,16,0.035,3,90,0,9.359329881,6.6405501,,256,16,44.09690563,6.6405501,,,,,
0,30,-0.003,2,89,0,16.29631701,13.703603,,900,30,187.7887352,13.703603,,,,,
0,23,-0.006,3,90,0,12.90796723,10.091913,,529,23,101.846708,10.091913,,,,,
0,16,-0.001,1,90,0,19.6234834,-3.6235234,,256,16,13.12992183,-3.6235234,,,,,
0,21,0.012,1,90,0,18.52218211,2.4777778,,441,21,6.139382826,2.4777778,,,,,
0,9,0.035,1,90,0,16.50312988,-7.5031699,,81,9,56.29755855,-7.5031699,,,,,
0,5,0.038,1,90,0,16.19721289,-11.197253,,25,5,125.3784747,-11.197253,,,,,
0,0,0.006,2,90,0,15.50093277,-15.501013,,0,0,240.281404,-15.501013,,,,,
0,2,0.024,3,90,0,10.33826432,-8.3383843,,4,2,69.52865273,-8.3383843,,,,,
0,6,0.018,3,90,0,10.82773149,-4.8278515,,36,6,23.30815011,-4.8278515,,,,,
0,0,-0.003,0,90,0,23.37893361,-23.378934,,0,0,546.574555,-23.378934,,,,,
0,0,0.016,3,89,0,11.01128176,-11.011402,,0,0,121.250974,-11.011402,,,,,
0,0,0.015,3,89,0,11.13364857,-11.133769,,0,0,123.9608121,-11.133769,,,,,
0,0,0.053,3,89,0,7.707378006,-7.707498,,0,0,59.40552542,-7.707498,,,,,
0,8,0.015,3,89,0,11.13364857,-3.1337685,,64,8,9.820505012,-3.1337685,,,,,
0,7,0.008,1,89,0,18.82809917,-11.828139,,49,7,139.9048722,-11.828139,,,,,
0,18,-0.002,1,89,0,19.74585021,-1.7458902,,324,18,3.04813259,-1.7458902,,,,,
0,1,0.023,3,89,0,10.39944768,-9.3995677,,1,1,88.35187295,-9.3995677,,,,,
0,3,0.019,3,89,0,10.70536476,-7.7054847,,9,3,59.37449446,-7.7054847,,,,,
0,14,0.000,3,89,0,12.4185,1.58138,,196,14,2.500762704,1.58138,,,,,
0,10,0.060,3,90,0,7.156727381,2.8431526,,100,10,8.083516707,2.8431526,,,,,
0,13,0.015,3,89,1,11.13364857,1.8662315,,169,13,3.482820012,1.8662315,,,,,
0,8,-0.010,0,89,0,24.05195107,-16.051951,,64,8,257.6651309,-16.051951,,,,,
0,33,0.010,0,89,0,22.21644893,10.783551,,1089,33,116.2849722,10.783551,,,,,
0,23,0.033,3,89,1,9.481696696,13.518183,,529,23,182.7412716,13.518183,,,,,
0,15,0.003,2,89,0,15.74566639,-0.74574639,,225,15,0.556137678,-0.74574639,,,,,
0,6,-0.010,0,89,0,23.99076764,-17.990768,,36,6,323.6677332,-17.990768,,,,,
0,22,0.003,2,89,0,15.74566639,6.2542536,,484,22,39.11568809,6.2542536,,,,,
0,0,0.019,3,89,0,10.70536476,-10.705485,,0,0,114.6074091,-10.705485,,,,,
0,24,0.024,0,89,1,21.05396432,2.9460357,,576,24,8.679126346,2.9460357,,,,,
