LEK ,LEK,,    ,,LEFT TAG,LEFT TAG,RIGHT TAG,RIGHT TAG,,MORPHOLOGY,,,,,,,,,,,,HEMATOMAS,,LICE,,,COMMENTS,,,FECAL SAMPLES,,,,BLOOD SAMPLES-HEMATOCRIT,,,,,,,,,,,,,,,,,,,
NUMBER,NAME,breed,DATE,TIME,COLOR,NUMBER,COLOR,NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,WEIGHT (G),TOTAL,TAIL,WING,KEEL,TARSUS,TOE,COMB ,BILL,BILL,COMB,AIR SAC,COMBS,AIR SACS,BACK OF,NUMBER ,NUMBER ON,DIARRHEA,,,,,,,,,PLASM,,,,,TOTAL,#DAYS LEK,# DAYS,PROPORTION OF,,,PLASM,,,,,,
,,,,,,,,,AGE,WITH BAG,LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH (mm),LENGTH,LENGTH,DEPTH,COLOR,COLOR,,,HEAD,ON COMBS,AIR SACS,,,,MITES,SPORES,COCCIDIA,ANY OTHER,,TRYPS,,P,L,H,PCV (mm),VOLUME (mm),OBSERVED,ON LEK,DAYS ON LEK,,,,,,,,,
________________,______________________________,_,_,_,____________________________________________________________________,,,,,,______________________________________________________________,,,,,___________________________________________________________________,,,,,_____________________________________________________________________,,,,,,_____________________________________________,,,_____________,__________,_,_,_,_,_,_,_,_,_,___________________,_________________________,,________________,_,_,_,_,_,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON BREEDING MALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Broken Wing,0, 7 Apr 87,,,,green,311,adult,3350,730,331,314,152,75,61,25.15,36.9,22.75,yellow olive,bistre yellow,-,+,-,,,,,"bad sore, left wing",-,+,-,,,-,0,,,,8.5,16,,,,388,0,0,,,,,,
6,Broken Wing,0,14 Apr 87,4:45,blue,217,green,312,adult,3150,,,,,,,,,,,,-,++,-,0,0,,left sac covered hematomas,,-,+,-,,,-,0,,,,10,24.5,7,5,0.714285714,392,0.66666667,0,,,,,,
6,Broken Wing,0, 7 Apr 87,,blue,217,green,312,adult,3500,748,285,311,120,76,74,26.8,36.9,21.05,yellow olive,bistre yellow,-,++,-,,,,,,-,+,-,,,-,1,,,,12,23.5,,,,393,0.14285714,1,,,,,,
6,Broken Wing,0, 7 Apr 87,,orange, 17,green,313,adult,3400,820,332,306,141,72,70,23.6,39.95,22.05,yellow olive,bistre yellow,-,-,-,,,,,,-,+,-,,,-,0,,,,8,13.5,,,,394,0,0,,,,,,
6,Broken Wing,0, 9 Apr 87,4:05,green,315,green,314,adult,3350,788,317,325,146,72,76,25.9,39.95,22.55,yellow olive,bistre yellow,+,-,-,0,0,,,,-,+,-,,,-,0,,,,9.5,18,7,2,0.285714286,398,0.73333333,0,,,,,,
8,Mud Springs,0,11 Apr 87,4:20,green,312,green,316,adult,3200,650,309,316,126,67,61,26.1,37.6,23.8,greenish yellow,bistre yellow,-,-,-,0,0,,,,,,,,,-,0,+?,,,8,13.5,7,1,0.142857143,4,0,0,,,,,,
1,Long Lake,0, 2 Apr 87, ,orange, 14,green,322,adult,2900,696,294,307,145,65,72,23.5,37.6,23.4,xxxxx,xxxx,-,+,-,-,-,,fiesty,,-,+,-,,,-,0,,,,,,,,,401,0.61111111,0,,,,,,
7,Sybille Springs,0, 1 Apr 87,,red,119,green,323,adult,2850,687,230,315,110,64,69,25.3,38.8,26.1,apple green,bright yellow,-,+,-,,,,,,-,+,-,,,-,0,,,,18,32.5,,,,404,0.05,0,,,,,,
1,Long Lake,0,19 Mar 87,,blue,213,green,324,adult,3250,826,355,318,141,73,65,22,36.8,24.1,yellowish/green,xxxx,+,+,++,+,-,,"growth,rt tarsus, deformed ft",,+,+,-,,,-,0,+?,,,,,,,,405,0.5,0,,,,,,
1,Long Lake,0,18 Apr 87,4:40,white,419,green,325,adult,3100,,,,,,,,,,,,,+,,,6,,,,+,+,-,,,-,0,,,+,9,22,,,,407,0.05,0,,,,,,
1,Long Lake,0,19 Mar 87,,white,419,green,325,adult,3300,733,288,310,123,63,69,22.3,37.4,21.9,green,bistre-yellow,+,+,+,-,+,,nice guy,,++,+,-,,,-,0,,,+,,,19,12,0.631578947,408,0.15,0,,,,,,
8,Mud Springs,0,12 Apr 87,,purple,593,green,349,adult,3500,790,351,310,140,69,66,25.15,41,25.6,yellow olive,bistre yellow,-,-,-,,,,,,,,,,,-,0,,,,7.5,10.5,,,,411,0,0,,,,,,
2,North Lek,0,19 Apr 87,7:30,white,481,green,388,juv,2700,715,234,287,131,69,69,24.5,38.5,21.4,green,yellow,+,+,-,0,0,,,,-,+,-,,,-,1,,,,8.5,19,,,,414,0.2,1,,,,,,
5,Cordingly,0,16 Apr 87,4:40,green,396,green,392,adult,3000,,,,,,,,,,,,,,,,9,,,,-,+,-,,,-,0,,,,10,26,,,,415,0.2,0,,,,,,
5,Cordingly,0, 8 Apr 87,3:30,green,396,green,392,adult,3000,810,320,325,133,71,73,22.4,38.5,22.1,green,yellow,-,+,-,0,7,,,,-,+,-,,,-,1,,,,5.5,10,3,2,0.666666667,416,0,1,,,,,,
5,Cordingly,0,19 Apr 87,0:15,green,396,green,392,adult,2900,,,,,,,,,,,,,,,,93,,,,-,+,-,,,-,0,,,,11,21,,,,418,0.71428571,0,,,,,,
1,Long Lake,0,10 Apr 87,7:30,purple,562,green,393,adult,2950,690,240,312,131,71,72,19.5,39.1,21.5,yellow/green,yellow,+,+,-,0,0,yes,,,-,+,-,,,-,0,+?,,+,9,13.5,14,2,0.142857143,421,0.16666667,0,,,,,,
4,South Fetterman,0,12 Apr 87,5:00,green,395,green,394,adult,3100,675,239,306,133,69,70,23.5,38.5,21.8,yellow/green,greyish yellow,+,++,-,0,0,,,,-,+,-,,,-,1,,,,11,15,,,,442,0,1,,,,,,
2,North Lek,0, 4 Apr 87,,purple,573,green,398,adult,3400,751,329,309,150,72,65,27.36,39.96,20.88,yellow/green,bright yellow,-,+,-,,,,,,-,+,-,,,-,1,,+,,4,22,15,11,0.733333333,479,0,1,,,,,,
