1990 strut frequency data,,,,,,,,,,,,,
,,,,,,,,,,,,,
MALARIA:,,,BREED,,DIST. TO HENS,,,LICE:,,,,,
with mal = 1,,,breed = 1,,0 = no hens on lek,,,no lice = 0,,,,,
without mal = 0,,,no breed = 0,,1 = 0 to 5 m,,,lice present = 1,,,,,
,,,,,2 = 5 to 10 m,,,,,,,,
,,,,,3 = > 10 m,,,,,,,,
,,,,,4 = unknown,,,,,,,,
,,,,,,STRUTS/,TIME,,TIME TO,DIST TO,,,
YEAR,LEK,L TAG,R TAG,AGE,DATE,5 MIN,STRUT,SUNRISE,SUNRISE,HENS,BREED,MALARIA,LICE
---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------,---------
90,North,G302,G301,adult,Mar 25,5,0.24375,0.25,0.00625,3,,,
90,North,O1384,Y1251,adult,Apr 07,27,0.279166667,0.278472222,-0.000694444,1,,,
90,North,O9,W462,adult,Apr 23,20,0.254861111,0.261111111,0.00625,3,,,
90,North,O9,W462,adult,Mar 25,6,0.254861111,0.25,-0.004861111,3,,,
90,North,R102,R101,adult,Mar 23,11,0.271527778,0.250694444,-0.020833333,3,,,
90,North,R102,R101,adult,Apr 07,0,0.298611111,0.278472222,-0.020138889,3,,,
90,North,R1752,B1624,adult,Apr 25,3,0.25625,0.256944444,0.000694444,0,,,
90,North,R1752,B1624,adult,Apr 27,0,0.25625,0.254861111,-0.001388889,0,,,
90,North,R1752,B1624,adult,Mar 25,21,0.28125,0.25,-0.03125,0,,,
90,North,R1752,B1624,adult,Apr 12,26,0.293055556,0.270833333,-0.022222222,1,,,
90,North,R1752,B1624,adult,May 07,39,0.244444444,0.245138889,0.000694444,1,,,
90,North,R1752,B1624,adult,Apr 22,21,0.253472222,0.263888889,0.010416667,1,,,
90,North,R1752,B1624,adult,Mar 30,29,0.260416667,0.247916667,-0.0125,2,,,
90,North,R1752,B1624,adult,May 13,36,0.242361111,0.239583333,-0.002777778,2,,,
90,North,R1752,B1624,adult,Apr 23,13,0.269444444,0.261111111,-0.008333333,3,,,
90,North,R1752,B1624,adult,Apr 11,14,0.308333333,0.273611111,-0.034722222,3,,,
90,North,R1752,B1624,adult,Apr 07,24,0.290972222,0.278472222,-0.0125,3,,,
90,North,R1752,B1624,adult,Apr 18,22,0.273611111,0.265277778,-0.008333333,3,,,
90,North,R1752,B1624,adult,Apr 05,0,0.316666667,0.278472222,-0.038194444,3,,,
90,North,R1752,B1624,adult,May 02,6,0.295833333,0.248611111,-0.047222222,3,,,
90,North,R1752,B1624,adult,Apr 04,15,0.3125,0.279166667,-0.033333333,3,,,
90,North,R1754,Y1271,adult,Apr 11,6,0.306944444,0.273611111,-0.033333333,3,,,
90,North,R1754,Y1271,adult,Apr 07,3,0.286111111,0.278472222,-0.007638889,3,,,
90,North,R181,W480,adult,Mar 30,13,0.254166667,0.247916667,-0.00625,3,,,
90,North,W1476,O1380,juven,Apr 27,22,0.26875,0.254861111,-0.013888889,0,,,
90,North,W1476,O1380,juven,Apr 22,26,0.30625,0.263888889,-0.042361111,0,,,
90,North,W1476,O1380,juven,Apr 22,19,0.310416667,0.263888889,-0.046527778,0,,,
90,North,W1476,O1380,juven,Apr 25,4,0.263194444,0.256944444,-0.00625,0,,,
90,North,W1476,O1380,juven,Apr 12,32,0.306944444,0.270833333,-0.036111111,2,,,
90,North,W1476,O1380,juven,May 07,25,0.2625,0.245138889,-0.017361111,3,,,
90,North,W1476,O1380,juven,Apr 18,29,0.286805556,0.265277778,-0.021527778,3,,,
90,North,W1476,O1380,juven,Apr 15,34,0.270833333,0.267361111,-0.003472222,3,,,
90,North,W1476,O1380,juven,May 02,22,0.276388889,0.248611111,-0.027777778,3,,,
90,North,W1476,O1380,juven,Apr 14,12,0.277777778,0.26875,-0.009027778,3,,,
90,North,W481,G388,adult,Apr 18,0,0.305555556,0.265277778,-0.040277778,3,,,
90,North,W660,Y1113,adult,Mar 28,6,0.288888889,0.249305556,-0.039583333,0,,,
90,North,W660,Y1113,adult,Apr 27,0,0.282638889,0.254861111,-0.027777778,0,,,
90,North,W660,Y1113,adult,Apr 07,39,0.274305556,0.278472222,0.004166667,1,,,
90,North,W660,Y1113,adult,Apr 16,33,0.299305556,0.265972222,-0.033333333,1,,,
90,North,W660,Y1113,adult,Apr 05,35,0.30625,0.278472222,-0.027777778,1,,,
90,North,W660,Y1113,adult,Apr 15,31,0.275694444,0.267361111,-0.008333333,1,,,
90,North,W660,Y1113,adult,Apr 14,30,0.265972222,0.26875,0.002777778,1,,,
90,North,W660,Y1113,adult,Apr 04,39,0.2875,0.279166667,-0.008333333,1,,,
90,North,W660,Y1113,adult,May 07,29,0.265972222,0.245138889,-0.020833333,1,,,
90,North,W660,Y1113,adult,Apr 18,25,0.283333333,0.265277778,-0.018055556,2,,,
90,North,W660,Y1113,adult,Apr 12,13,0.311111111,0.270833333,-0.040277778,3,,,
90,North,W660,Y1113,adult,Mar 30,20,0.248611111,0.247916667,-0.000694444,3,,,
90,North,W660,Y1113,adult,May 02,22,0.272222222,0.248611111,-0.023611111,3,,,
90,North,W660,Y1113,adult,Apr 23,6,0.253472222,0.261111111,0.007638889,3,,,
90,North,W660,Y1113,adult,Mar 23,12,0.257638889,0.250694444,-0.006944444,3,,,
90,North,W660,Y1113,adult,Mar 25,9,0.251388889,0.25,-0.001388889,3,,,
90,North,WB1630,W1418,adult,Apr 18,10,0.311805556,0.265277778,-0.046527778,3,,,
90,North,WB1630,W1418,adult,May 07,35,0.2875,0.245138889,-0.042361111,3,,,
90,North,WB1630,W1418,adult,May 02,20,0.309722222,0.248611111,-0.061111111,3,,,
90,North,WG1503,W1408,adult,May 02,5,0.257638889,0.248611111,-0.009027778,3,,,
90,North,WG1503,W1408,adult,Apr 23,0,0.275694444,0.261111111,-0.014583333,3,,,
90,North,WO1372,O1373,adult,Apr 15,20,0.284027778,0.267361111,-0.016666667,1,,,
90,North,WO1372,O1373,adult,Apr 18,0,0.264583333,0.265277778,0.000694444,3,,,
90,North,WO1389,W1444,adult,May 07,36,0.279166667,0.245138889,-0.034027778,3,,,
90,North,WO1389,W1444,adult,May 02,0,0.300694444,0.248611111,-0.052083333,3,,,
90,North,WO1389,W1444,adult,Apr 18,0,0.302777778,0.265277778,-0.0375,3,,,
90,North,WR1757,R1760,adult,Apr 22,19,0.304166667,0.263888889,-0.040277778,0,,,
90,North,WR1757,R1760,adult,Apr 25,14,0.277777778,0.256944444,-0.020833333,0,,,
90,North,WR1757,R1760,adult,Apr 27,12,0.26875,0.254861111,-0.013888889,0,,,
90,North,WR1757,R1760,adult,Apr 23,25,0.261111111,0.261111111,0,2,,,
90,North,WR1757,R1760,adult,Apr 12,29,0.309027778,0.270833333,-0.038194444,2,,,
90,North,WR1757,R1760,adult,May 02,26,0.26875,0.248611111,-0.020138889,2,,,
90,North,WR1757,R1760,adult,Apr 15,22,0.264583333,0.267361111,0.002777778,3,,,
90,North,WR1757,R1760,adult,May 13,8,0.253472222,0.239583333,-0.013888889,3,,,
90,North,WR1757,R1760,adult,Apr 10,21,0.279166667,0.275,-0.004166667,3,,,
90,North,WR1757,R1760,adult,Apr 18,21,0.290277778,0.265277778,-0.025,3,,,
90,North,WR1757,R1760,adult,May 07,25,0.273611111,0.245138889,-0.028472222,3,,,
90,North,wy,w,,Apr 22,18,0.311805556,0.263888889,-0.047916667,0,,,
90,North,wy,w,,Apr 23,11,0.275694444,0.261111111,-0.014583333,3,,,
90,North,WY1239,Y1263,adult,Apr 27,0,0.25625,0.254861111,-0.001388889,0,,,
90,North,WY1239,Y1263,adult,Apr 25,0,0.26875,0.256944444,-0.011805556,0,,,
90,North,WY1239,Y1263,adult,Apr 25,8,0.29375,0.256944444,-0.036805556,0,,,
90,North,WY1239,Y1263,adult,Apr 11,19,0.315277778,0.273611111,-0.041666667,1,,,
90,North,WY1239,Y1263,adult,May 07,22,0.261805556,0.245138889,-0.016666667,2,,,
90,North,WY1239,Y1263,adult,Apr 12,23,0.302777778,0.270833333,-0.031944444,2,,,
90,North,WY1239,Y1263,adult,Apr 23,0,0.248611111,0.261111111,0.0125,3,,,
90,North,WY1239,Y1263,adult,Apr 22,6,0.29375,0.263888889,-0.029861111,3,,,
90,North,WY1239,Y1263,adult,Apr 10,24,0.2875,0.275,-0.0125,3,,,
90,North,WY1239,Y1263,adult,Apr 18,12,0.266666667,0.265277778,-0.001388889,3,,,
90,North,WY1239,Y1263,adult,May 02,16,0.282638889,0.248611111,-0.034027778,3,,,
90,North,WY1239,Y1263,adult,Apr 15,1,0.305555556,0.267361111,-0.038194444,3,,,
90,North,WY1239,Y1263,adult,Apr 14,0,0.260416667,0.26875,0.008333333,3,,,
