"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
year = all,,,,,,,,,,,,,,,,,,,
lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,, ,predicted,,,struts,,resids,,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,lice,struts,resids,,squared,struts,squared,resids,,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,,,,
0,22.583333,-0.005266204,1.8333333,88,0,0,19.922587,2.6607465,,510.0069294,22.583333,7.079571937,2.6607465,,,,,,
0,38,0.013888889,1,88,0,0,26.531057,11.468943,,1444,38,131.5366535,11.468943,,,,,,
1,31,0.004513889,2,88,1,0,18.845126,12.154874,,961,31,147.740962,12.154874,,,,,,
1,10.5,0.005208333,3,87,0,0,11.339876,-0.83987646,,110.25,10.5,0.705392468,-0.83987646,,,,,,
0,20.5,0.007986111,2,87,0,0,18.90743,1.5925701,,420.25,20.5,2.536279523,1.5925701,,,,,,
0,21.4,0.01875,1.2,87,1,0,25.114741,-3.7147412,,457.96,21.4,13.79930218,-3.7147412,,,,,,
1,33,-0.011805556,1,87,0,0,26.070005,6.9299946,,1089,33,48.02482516,6.9299946,,,,,,
1,14,0.021180556,2,87,0,0,19.144186,-5.1441863,,196,14,26.46265269,-5.1441863,,,,,,
0,16,0.0125,1,87,0,0,26.506135,-10.506135,,256,16,110.3788726,-10.506135,,,,,,
0,30,-0.0125,3,87,0,0,11.022125,18.977875,,900,30,360.1597395,18.977875,,,,,,
0,21,0.008333333,1,87,0,0,26.43137,-5.4313703,,441,21,29.49978334,-5.4313703,,,,,,
0,37,0.019444444,1,87,0,0,26.630744,10.369256,,1369,37,107.52147,10.369256,,,,,,
0,22.75,0.032638889,2.5,87,0,0,15.590935,7.1590645,,517.5625,22.75,51.25220452,7.1590645,,,,,,
