,,,,,,ave.,,,,,,,,,,AVE,PREDICTED,,,,,TIME,,,,,,,,,,,AND DIFFERENCE FROM SUNRISE,,,,,,,,,
 ,,,TAG NUMBERS,,STRUTS,STRUTS,,,,,,POOLED,AVG,,,,VALUES,,,,,FROM,DISTANCE,VALUES,,,, , ,,,,,Regression Output:,,,,,,,,
PLASM,LEK NAME,,RIGHT,LEFT,/5 MIN,BY BIRD,SUNRISE,TIME,SUNRISE,TO HENS,,RESIDS,RESIDS,,,,FROM REGR,RESIDS,,,,,,PREGRESS,,,, ,,, ,,Constant,,,26.9561,,,,,,
1,LONG LAKE,,214,O16,9,,06:12,05:55,-0.012,0,,-16.47,,,,,27.958,-18.96,,,,,,25.47,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,214,O16,32,,06:22,06:20,-0.001,1,,11.79,,,,,20.454,11.55,,,,,,20.21,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,214,O16,6,,06:30,06:31,0.001,0,,-17.98,,,,,26.897,-20.90,,,,,,23.98,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,214,O16,7,,06:12,05:50,-0.015,0,,-18.88,,,,,28.253,-21.25,,,,,,25.88,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,214,O16,6,,06:12,06:40,0.019,3,,-3.69,,,,,5.445,0.55,,,,,,9.69,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,214,16,35,,06:18,05:50,-0.019,3,,20.69,,,,,19.89,15.11,15.11,,,,,14.31,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,214,O16,25,,06:08,06:14,0.004,1,,5.45,,,,,19.982,5.02,,,,,,19.55,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,214,O16,28,18.50,06:25,07:20,0.038,0,,8.48,-1.33,,,,23.713,4.29,,,,,,19.52,,,,,,,,,,,,,,,,,,
1,MULE CREEK JNCT,,227,228,33,,06:33,06:12,-0.015,0,,7.20,,,,,23.92,9.08,,,,,,25.80,,,,,,,,,,,,,,,,,,
1,MULE CREEK JNCT,,227,228,28,,06:32,06:33,0.001,0,,4.02,,,,,21.65,6.35,1.26,,,,,23.98,,,,,,,,,,,,,,,,,,
1,MULE CREEK JNCT,,227,228,22,27.67,06:32,06:14,-0.013,0,,-3.55,2.55,,,,23.61,-1.61,,,,,,25.55,,,,,,,,,,,,,,,,,,
1,SOUTH FETTERMAN,,263,B266,15,15.00,06:30,06:18,-0.008,0,,-10.06,-10.06,,,,27.664,-12.66,,,,,,25.06,,,,,,,,,,,,,,,,,,
1,CORDINGLY,,264,265,0,,06:00,06:00,0.000,3,,-12.00,,,,,17.01,-17.01,,,,,,12.00,,,,,,,,,,,,,,,,,,
1,CORDINGLY,,264,265,22,,06:27,07:17,0.035,2,,10.11,,,,,13.45,8.55,,,,,,11.89,,,,,,,,,,,,,,,,,,
1,CORDINGLY,,264,265,34,,06:30,06:06,-0.017,2,,16.00,,,,,21.06,12.94,,,,,,18.00,,,,,,,,,,,,,,,,,,
1,CORDINGLY,,264,265,30,21.50,06:27,06:23,-0.003,2,,13.65,6.94,,,,19.00,11.00,3.87,,,,,16.35,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,299,W417,1,20.01,06:07,06:35,0.019,3,,-8.69,,,,,5.445,-4.45,,,,,,9.69,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,299,W417,0,0.50,06:07,06:07,0.000,3,,-12.00,-10.34,,,,7.096,-7.10,,,,,,12.00,,,,,,,,,,,,,,,,,,
1,BROKEN WING,,307,W448,28,28.00,06:26,06:24,-0.001,0,,3.77,3.77,,,,27.074,0.93,,,,,,24.23,,,,,,,,,,,,,,,,,,
1,MULE CREEK JNCT,,361,333,33,,06:32,06:33,0.001,0,,9.02,,,,,21.65,11.35,,,,,,23.98,,,,,,,,,,,,,,,,,,
1,MULE CREEK JNCT,,361,333,30,,06:33,06:53,0.014,1,,11.61,,,,,18.12,11.88,,,,,,18.39,,,,,,,,,,,,,,,,,,
1,MULE CREEK JNCT,,361,333,4,,06:08,06:41,0.023,2,,-9.30,,,,,15.20,-11.20,,,,,,13.30,,,,,,,,,,,,,,,,,,
1,MULE CREEK JNCT,,361,333,0,,06:33,06:21,-0.008,2,,-17.01,,,,,19.83,-19.83,,,,,,17.01,,,,,,,,,,,,,,,,,,
1,MULE CREEK JNCT,,361,333,36,20.60,06:32,06:14,-0.013,0,,10.45,0.95,,,,23.61,12.39,0.92,,,,,25.55,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,381,,25,,06:35,06:56,0.015,0,,2.67,,,,,19.59,5.41,,,,,,22.33,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,381,,13,19.00,06:38,06:00,-0.026,2,,-6.16,-1.75,,,,22.50,-9.50,-2.05,,,,,19.16,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,387,73,16,16.00,06:08,05:56,-0.008,2,,-1.01,-1.01,,,,19.83,-3.83,-3.83,,,,,17.01,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,393,P562,0,,06:23,06:49,0.018,2,,-13.87,,,,,12.183,-12.18,,,,,,13.87,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,393,P562,10,5.00,06:12,06:54,0.029,3,,1.47,-6.20,,,,4.620,5.38,,,,,,8.53,,,,,,,,,,,,,,,,,,
1,BROKEN WING,,414,B294,0,0.00,06:30,07:27,0.040,3,,-7.29,-7.29,,,,3.735,-3.74,,,,,,7.29,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,482,390,10,,06:50,06:30,-0.014,0,,-15.72,,,,,23.81,-13.81,,,,,,25.72,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,482,390,17,,06:35,07:00,0.017,0,,-5.00,,,,,19.18,-2.18,,,,,,22.00,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,482,390,0,,06:52,07:27,0.024,3,,-9.11,,,,,13.41,-13.41,,,,,,9.11,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,482,390,0,,06:50,07:09,0.013,0,,-22.50,,,,,19.80,-19.80,,,,,,22.50,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,482,390,36,,06:40,06:16,-0.017,1,,13.97,,,,,22.64,13.36,-3.22,,,,,22.03,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,482,390,22,,05:57,06:22,0.017,0,,0.00,,,,,19.18,2.82,,,,,,22.00,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,482,390,6,13.00,06:52,07:19,0.019,3,,-3.77,-6.02,,,,14.23,-8.23,,,,,,9.77,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,543,426,34,,06:23,06:47,0.017,2,,19.96,,,,,16.12,17.88,,,,,,14.04,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,543,426,7,,06:26,06:52,0.018,3,,-2.85,,,,,14.34,-7.34,,,,,,9.85,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,543,426,12,,06:16,07:32,0.053,3,,6.28,,,,,9.19,2.81,,,,,,5.72,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,543,426,37,,06:26,07:03,0.026,1,,20.01,,,,,16.37,20.63,0.44,,,,,16.99,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,543,426,2,,06:20,07:04,0.031,3,,-6.36,,,,,12.48,-10.48,,,,,,8.36,,,,,,,,,,,,,,,,,,
1,NORTH LEK,,543,426,7,16.50,06:06,05:44,-0.015,0,,-18.88,3.03,,,,24.02,-17.02,,,,,,25.88,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,565,92,23,23.00,06:47,07:13,0.018,2,,9.13,9.13,,,,15.92,7.08,7.08,,,,,13.87,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,566,B274,17,17.00,06:25,06:19,-0.004,0,,-7.56,-7.56,,,,27.310,-10.31,,,,,,24.56,,,,,,,,,,,,,,,,,,
1,CORDINGLY,,567,P575,11,11.00,06:35,06:44,0.006,1,,-8.30,-8.30,,,,19.805,-8.81,,,,,,19.30,,,,,,,,,,,,,,,,,,
1,WINDMILL,DAM,571,B271,25,,06:11,06:08,-0.002,2,,8.73,,,,,13.893,11.11,,,,,,16.27,,,,,,,,,,,,,,,,,,
1,WINDMILL,DAM,571,B271,30,27.50,06:11,05:53,-0.013,2,,12.49,10.61,,,,14.777,15.22,,,,,,17.51,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,591,G343,33,33.00,06:43,06:02,-0.028,0,,5.55,5.55,,,,29.373,3.63,,,,,,27.45,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,598,O23,39,,06:15,07:10,0.038,0,,19.48,,,,,23.713,15.29,,,,,,19.52,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,598,O23,0,,06:07,06:17,0.007,3,,-11.17,,,,,6.506,-6.51,,,,,,11.17,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,598,O23,44,,06:15,06:57,0.029,0,,23.40,,,,,24.480,19.52,,,,,,20.60,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,598,O23,0,,06:07,06:07,0.000,3,,-12.00,,,,,7.096,-7.10,,,,,,12.00,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,598,O23,29,,06:15,06:50,0.024,0,,7.83,,,,,24.892,4.11,,,,,,21.17,,,,,,,,,,,,,,,,,,
1,SYBILLE SPRINGS,,598,O23,33,24.17,06:37,07:00,0.016,0,,10.83,6.39,,,,25.600,7.40,,,,,,22.17,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,640,955,0,0.00,05:55,06:33,0.026,0,,-20.93,-20.93,,,,17.84,-17.84,-17.84,,,,,20.93,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,721,1063,26,26.00,06:10,06:16,0.004,1,,6.45,6.45,,,,19.56,6.44,6.44,,,,,19.55,,,,,,,,,,,,,,,,,,
1,RED POST,,952,1179,27,27.00,06:32,06:12,-0.014,2,,9.33,9.33,,,,20.65,6.35,6.35,,,,,17.67,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,986,627,1,,05:58,06:01,0.002,0,,-22.82,,,,,21.45,-20.45,,,,,,23.82,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,986,627,38,,05:55,05:49,-0.004,1,,17.46,,,,,20.79,17.21,5.19,,,,,20.54,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,986,627,35,,06:10,06:28,0.013,1,,16.44,,,,,18.32,16.68,,,,,,18.56,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,986,627,22,,05:55,05:37,-0.013,0,,-3.55,,,,,23.61,-1.61,,,,,,25.55,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,986,627,20,,06:00,06:02,0.001,0,,-3.90,,,,,21.55,-1.55,,,,,,23.90,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,986,627,15,,05:58,05:41,-0.012,0,,-10.47,,,,,23.50,-8.50,,,,,,25.47,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,986,627,35,23.71,06:00,05:45,-0.010,1,,13.72,0.98,,,,21.72,13.28,,,,,,21.28,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,1051,996,15,15.00,06:08,06:44,0.025,2,,1.95,1.95,,,,14.89,0.11,0.11,,,,,13.05,,,,,,,,,,,,,,,,,,
1,MULE CREEK JNCT,,1135,1106,43,43.00,06:08,06:34,0.018,1,,25.10,25.10,,,,17.50,25.50,25.50,,,,,17.90,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,1165,645,23,,05:55,05:49,-0.004,1,,2.46,,,,,20.79,2.21,,,,,,20.54,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,1165,645,0,,05:58,06:01,0.002,0,,-23.82,,,,,21.45,-21.45,-9.62,,,,,23.82,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,1165,645,19,14.00,05:58,05:35,-0.016,0,,-6.97,-9.44,,,,24.12,-5.12,,,,,,25.97,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,1182,860,42,,06:00,05:26,-0.024,3,,27.19,,,,,20.51,21.49,,,,,,14.81,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,1182,860,35,,05:55,05:49,-0.004,1,,14.46,,,,,20.79,14.21,,,,,,20.54,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,1182,860,11,,06:00,06:02,0.001,0,,-12.90,,,,,21.55,-10.55,,,,,,23.90,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,1182,860,22,,05:55,05:37,-0.013,0,,-3.55,,,,,23.61,-1.61,,,,,,25.55,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,1182,860,34,,05:58,05:35,-0.016,0,,8.03,,,,,24.12,9.88,1.94,,,,,25.97,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,1182,860,43,,06:32,06:24,-0.006,1,,22.30,,,,,21.00,22.00,,,,,,20.70,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,1182,860,0,26.71,05:58,06:01,0.002,0,,-23.82,4.53,,,,21.45,-21.45,,,,,,23.82,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,963,1155,22,,06:55,06:41,-0.010,2,,4.82,,,,,20.03,1.97,-9.74,,,,,17.18,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,963,1155,36,,06:32,06:18,-0.010,1,,14.80,,,,,21.61,14.39,,,,,,21.20,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,963,1155,38,,06:34,07:13,0.027,1,,21.18,,,,,16.16,21.84,,,,,,16.82,,,,,,,,,,,,,,,,,,
1,MUD SPRINGS,,963,1155,36,33.00,06:32,06:43,0.008,1,,16.87,14.42,,,,19.04,16.96,,,,,,19.13,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,172,,30,,06:00,05:50,-0.007,0,,5.11,,,,,22.78,7.22,,,,,,24.89,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,172,,18,,06:27,06:52,0.017,0,,-4.00,,,,,19.18,-1.18,1.62,,,,,22.00,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,172,,15,,06:38,06:36,-0.001,0,,-9.23,,,,,21.96,-6.96,,,,,,24.23,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,172,,0,,05:55,05:37,-0.013,3,,-13.49,,,,,18.86,-18.86,,,,,,13.49,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,172,,32,,06:12,06:02,-0.007,0,,7.11,,,,,22.78,9.22,,,,,,24.89,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,172,,31,21.00,06:23,06:31,0.006,0,,7.60,-1.15,,,,20.93,10.07,,,,,,23.40,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,72,,30,,06:20,06:22,0.001,0,,6.10,,,,,21.55,8.45,,,,,,23.90,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,72,,25,,06:05,06:06,0.001,0,,1.02,,,,,21.65,3.35,,,,,,23.98,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,72,,21,,06:08,06:14,0.004,0,,-2.57,,,,,21.14,-0.14,3.67,,,,,23.57,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,72,,42,,06:23,06:25,0.001,0,,18.10,,,,,21.55,20.45,,,,,,23.90,,,,,,,,,,,,,,,,,,
1,LONG LAKE,,72,,0,23.60,06:23,06:51,0.019,2,,-13.71,1.79,,,,15.71,-15.71,,,,,,13.71,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PLASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AVG RESIDS,,18.46,,,,,,,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,36.00,,,,,,COUNT,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10.43,,,,,,STD,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.74,,,,,,SE,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21.86,,,,,,CI,2.71,-3.39,,,15.05,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
