DATA FILE TO COMPARE STRUTTING FREQUENCY WITH DATE,,,,,,,,,
,,,,,,,,,
MALARIA,,,BREEDING STATUS,,,,,,
0=NOT INFECTED,,,1=BREEDER,,,,,,
1=INFECTED,,,0=NON-BREEDER,,,,,,
3=UNKNOWN,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BREED,MALARIA,DATE,/5 MIN,RESIDS,,REGRESSION ON ACTUAL DATA,,,BREEDERS
0,0,416,32,15.900534,,,,,
0,0,421,0,-20.532991,,,,,
0,0,409,35,15.249868,,,,,
0,0,411,20,3.7940768,,,,,
0,0,410,0,-8.365781,,,,,
0,0,430,0,-17.696318,,,,,
0,0,430,0,-12.464368,,,,,
0,0,401,1,-7.898065,,,,,
0,0,416,23,-1.2213176,,,,,
0,0,413,33,11.067504,,,,,
0,0,417,17,-1.5635399,,,,,
0,0,424,21,-3.0616324,,,,,
0,0,417,28,7.6643558,,,,,
0,0,424,24,0.20450958,,,,,
0,0,416,41,18.907818,,,,,
0,0,420,0,-11.186886,,,,,
0,0,424,27,3.9497072,,,,,
0,0,415,12,-3.513954,,,,,
0,0,418,32,13.75583,,,,,
0,0,420,0,-12.570825,,,,,
0,0,419,23,0.37553444,,,,,
0,0,511,16,-8.7003733,,,,,
0,0,505,11,-11.997064,,,,,
0,0,513,0,-23.689034,,,,,
0,0,505,18,-6.008404,,,,,
0,0,512,3,-20.316435,,,,,
0,0,505,8,-14.518009,,,,,
0,0,425,1,-12.491275,,,,,
0,0,417,16,3.2162616,,,,,
0,0,429,14,-6.160392,,,,,
0,0,505,0,-24.061632,,,,,
0,0,425,35,10.086713,,,,,
0,0,505,0,-21.346984,,,,,
0,0,419,33,14.063861,,,,,
0,0,403,14,2.7066569,,,,,
0,0,418,28,10.181658,,,,,
0,0,417,2,-13.354269,,,,,
0,0,413,0,-13.422479,,,,,
0,0,416,0,-17.802775,,,,,
0,0,408,0,-19.217848,,,,,
0,0,329,0,-11.932084,,,,,
0,0,424,1,-11.144998,,,,,
0,0,416,6,-13.734565,,,,,
0,0,417,10,-11.453441,,,,,
0,0,403,17,4.6953172,,,,,
0,0,401,0,-15.354269,,,,,
0,0,403,26,15.398626,,,,,
0,0,414,65,40.725454,,,,,
0,0,429,0,-10.06909,,,,,
0,0,424,9,-5.6999609,,,,,
0,0,401,2,-11.065447,,,,,
0,0,408,2,-12.609071,,,,,
0,0,411,27,10.581163,,,,,
0,0,420,28,11.634392,,,,,
0,0,425,19,3.9651017,,,,,
0,0,428,31,10.307324,,,,,
0,0,404,2,-13.513954,,,,,
0,0,404,0,-13.704188,,,,,
0,0,329,6,-5.6127135,,,,,
0,0,426,0,-17.126373,,,,,
0,0,326,14,2.0146876,,,,,
0,0,503,3,-12.886553,,,,,
0,1,409,38,17.557899,,,,,
0,0,403,30,16.25815,,,,,
0,0,424,20,7.4291752,,,,,
0,0,422,23,11.174373,,,,,
0,0,410,22,9.2006946,,,,,
0,0,509,17,2.7790947,,,,,
0,0,420,0,-10.441689,,,,,
0,0,414,4,-12.259152,,,,,
0,0,409,7,-9.4344038,,,,,
0,0,416,29,11.288115,,,,,
0,0,424,30,19.132484,,,,,
0,0,401,0,-12.479935,,,,,
0,0,405,2,-18.335644,,,,,
0,0,416,32,15.048879,,,,,
0,0,402,15,-8.8487188,,,,,
0,0,415,17,0.26179278,,,,,
0,0,401,9,-15.540688,,,,,
0,0,417,27,11.432818,,,,,
0,0,422,1,-22.529348,,,,,
0,0,417,16,-2.5635399,,,,,
0,0,415,1,-13.768756,,,,,
0,0,403,29,16.375947,,,,,
0,0,411,27,11.273132,,,,,
0,0,401,14,-11.339114,,,,,
0,0,415,27,2.0867131,,,,,
0,0,409,7,-16.742262,,,,,
0,0,419,32,7.5125403,,,,,
0,0,325,13,-2.6736392,,,,,
0,0,418,32,8.52388,,,,,
0,0,401,17,-3.160392,,,,,
0,0,409,17,2.1780153,,,,,
0,0,413,32,12.957404,,,,,
0,0,401,11,-11.14541,,,,,
0,0,424,36,20.752188,,,,,
0,0,409,31,7.6303368,,,,,
0,0,416,0,-20.388873,,,,,
0,0,416,36,11.139942,,,,,
0,0,410,8,-0.8448366,,,,,
0,0,424,10,-0.33523188,,,,,
0,0,424,25,1.3109664,,,,,
0,0,424,23,-0.79549042,,,,,
0,0,416,38,18.10575,,,,,
0,0,416,4,-13.696318,,,,,
0,0,405,20,8.1743728,,,,,
0,0,417,27,10.048879,,,,,
0,0,407,7,-17.114861,,,,,
0,0,403,9,-1.8675159,,,,,
0,0,325,17,-5.7309224,,,,,
0,0,409,32,13.261208,,,,,
