DATA TO COMPARE STRUTTING FREQUENCY AND DATE,,,,,,,,,
,,,,,,,,,
MALARIA,,,,,,,,,
0= NOT INFECTED,,,,,,,,,
1= INFECTED,,,,,,,,,
3= UNKNOWN,,,,,,,,,
,,,,,,,,,
MALARIA,DATE,/5 MIN,RESIDS,,,,,,
---------,---------,---------,---------,,REGRESSION WITH DATA,,,NON-INFECT, 
0,507,26,4.1207321,,,,,,
0,508,0,-12.41114,,,,,,
0,512,3,-21.434231,,,,,,
0,504,11,-0.61271354,,,,,,
0,430,0,-16.418837,,,,,,
0,411,43,23.904176,,,,,,
0,409,0,-10.015861,,,,,,
0,403,17,9.9117007,,,,,,
0,430,17,-5.943836,,,,,,
0,323,8,-15.15675,,,,,,
0,507,8,-16.274546,,,,,,
0,507,27,4.6949049,,,,,,
0,507,12,-11.209978,,,,,,
0,329,12,-8.8679283,,,,,,
0,321,24,2.3336457,,,,,,
0,414,23,12.824453,,,,,,
0,415,37,18.170318,,,,,,
0,413,31,15.204337,,,,,,
0,420,5,-17.46478,,,,,,
0,502,0,-12.836967,,,,,,
0,513,28,15.535632,,,,,,
0,418,14,-5.7345648,,,,,,
0,417,0,-9.5368058,,,,,,
0,418,21,2.0106328,,,,,,
0,423,9,-8.2328299,,,,,,
0,424,25,14.079256,,,,,,
0,417,34,22.6002,,,,,,
0,430,0,-21.932496,,,,,,
0,510,30,13.581163,,,,,,
0,510,23,10.695317,,,,,,
0,417,4,-4.6851514,,,,,,
0,506,4,-8.3046828,,,,,,
0,515,0,-15.886553,,,,,,
0,430,3,-18.346984,,,,,,
0,506,9,-7.5252936,,,,,,
0,417,0,-11.612714,,,,,,
0,424,16,-3.9474784,,,,,,
0,430,0,-21.293755,,,,,,
0,503,0,-17.004349,,,,,,
0,422,4,-9.4912747,,,,,,
0,403,17,6.6115397,,,,,,
0,504,21,1.371892,,,,,,
0,508,6,-5.3465715,,,,,,
0,504,30,13.421478,,,,,,
0,410,0,-13.757417,,,,,,
0,430,3,-19.411552,,,,,,
0,430,4,-18.943836,,,,,,
0,430,6,-18.221318,,,,,,
0,405,0,-8.1528674,,,,,,
0,507,13,1.3872865,,,,,,
0,420,6,-14.921157,,,,,,
0,418,19,6.6420888,,,,,,
0,430,4,-15.696903,,,,,,
0,424,9,-0.74971944,,,,,,
0,510,9,-1.8142875,,,,,,
0,416,31,11.531577,,,,,,
0,515,0,-12.783738,,,,,,
0,508,0,-23.689034,,,,,,
0,430,6,-7.1031088,,,,,,
0,430,0,-22.251867,,,,,,
0,427,0,-11.985312,,,,,,
0,409,20,-0.17595903,,,,,,
0,503,32,12.318664,,,,,,
0,418,34,9.8319108,,,,,,
0,425,29,6.4287628,,,,,,
0,512,27,15.067916,,,,,,
0,428,0,-10.707831,,,,,,
0,408,17,-4.2405271,,,,,,
0,513,2,-20.305095,,,,,,
0,420,33,16.953762,,,,,,
0,417,0,-15.833324,,,,,,
0,415,32,7.3528551,,,,,,
0,425,0,-16.578522,,,,,,
0,505,4,-18.624466,,,,,,
0,413,0,-10.494917,,,,,,
0,416,22,3.5961453,,,,,,
0,426,33,9.52388,,,,,,
0,417,22,2.5315772,,,,,,
0,405,20,-1.0652749,,,,,,
0,402,12,-9.6663543,,,,,,
0,502,13,1.4937433,,,,,,
0,416,6,-8.6622995,,,,,,
0,505,31,9.5621263,,,,,,
0,507,1,-10.240115,,,,,,
0,409,0,-11.346572,,,,,,
0,401,9,-2.1336579,,,,,,
0,417,27,11.432818,,,,,,
0,405,9,-13.997064,,,,,,
0,422,34,12.333646,,,,,,
0,413,0,-8.631923,,,,,,
0,420,12,2.5164226,,,,,,
0,403,31,14.048879,,,,,,
0,402,18,5.9082308,,,,,,
0,504,26,6.7977192,,,,,,
0,418,8,-3.8256272,,,,,,
0,405,5,-6.1336579,,,,,,
0,415,38,20.926855,,,,,,
0,502,2,-9.3997999,,,,,,
0,430,0,-22.518009,,,,,,
0,506,13,2.8776817,,,,,,
0,504,10,-1.4530283,,,,,,
0,503,0,-13.848306,,,,,,
