DATA TO COMPARE STRUTTING FREQUENCY AND DATE,,,,,,,,,
,,,,,,,,,
MALARIA,,,,,,,,,
0= NOT INFECTED,,,,,,,,,
1= INFECTED,,,,,,,,,
3= UNKNOWN,,,,,,,,,
,,,,,,,,,
MALARIA,DATE,/5 MIN,RESIDS,,,,,,
---------,---------,---------,---------,,REGRESSION WITH DATA,,,NON-INFECT, 
0,415,37,17.371892,,,,,,
0,416,29,18.026027,,,,,,
0,415,39,13.820571,,,,,,
0,508,6,-11.23283,,,,,,
0,418,4,-6.2820035,,,,,,
0,322,0,-13.209566,,,,,,
0,322,14,1.4824036,,,,,,
0,428,0,-24.381003,,,,,,
0,428,3,-12.407497,,,,,,
0,507,12,0.38728646,,,,,,
0,503,36,12.630337,,,,,,
0,508,8,-3.0804295,,,,,,
0,416,0,-11.240115,,,,,,
0,507,18,-1.89425,,,,,,
0,418,3,-8.4530283,,,,,,
0,429,0,-13.156337,,,,,,
0,405,4,-18.571237,,,,,,
0,416,25,9.8586449,,,,,,
0,508,30,17.322718,,,,,,
0,507,19,2.2617928,,,,,,
0,504,26,7.5961453,,,,,,
0,418,19,7.8131137,,,,,,
0,419,40,20.797719,,,,,,
0,508,15,-1.0994664,,,,,,
0,508,0,-12.517596,,,,,,
0,507,0,-11.240115,,,,,,
0,416,11,1.303509,,,,,,
0,510,0,-16.472065,,,,,,
0,508,0,-11.612714,,,,,,
0,507,14,1.26949,,,,,,
0,504,11,0.45185451,,,,,,
0,418,17,6.6115397,,,,,,
0,418,0,-10.175547,,,,,,
0,507,6,-6.73051,,,,,,
0,508,8,-3.6127135,,,,,,
0,504,22,5.9005336,,,,,,
0,504,5,-10.513954,,,,,,
0,418,4,-7.8256272,,,,,,
0,510,21,1.2122068,,,,,,
0,418,28,8.5848056,,,,,,
0,504,0,-12.517596,,,,,,
0,502,28,8.2654352,,,,,,
0,427,0,-11.985312,,,,,,
0,424,30,19.132484,,,,,,
0,505,22,5.68762,,,,,,
0,409,7,-9.4344038,,,,,,
0,415,37,18.968744,,,,,,
0,501,3,-8.2401147,,,,,,
0,430,0,-12.890195,,,,,,
0,417,33,9.1512812,,,,,,
0,502,36,16.957404,,,,,,
0,408,35,16.11709,,,,,,
0,324,16,4.4405149,,,,,,
0,406,16,4.5469717,,,,,,
0,415,3,-10.438046,,,,,,
0,419,8,-7.9397812,,,,,,
0,415,2,-11.118676,,,,,,
0,407,27,8.8622873,,,,,,
0,501,2,-10.091769,,,,,,
0,418,12,0.38728646,,,,,,
0,414,0,-12.198226,,,,,,
0,425,0,-22.038953,,,,,,
0,423,0,-12.890195,,,,,,
0,401,13,-10.582577,,,,,,
0,417,18,2.8586449,,,,,,
0,404,13,-8.2405271,,,,,,
0,410,16,-3.8410216,,,,,,
0,403,11,-3.4493859,,,,,,
0,509,39,14.831911,,,,,,
0,502,44,27.77851,,,,,,
0,403,11,-4.780096,,,,,,
0,403,14,1.26949,,,,,,
0,329,4,-12.259152,,,,,,
0,401,22,11.292169,,,,,,
0,415,34,11.375534,,,,,,
0,406,21,6.4973857,,,,,,
0,406,4,-7.1868863,,,,,,
0,416,30,7.8013617,,,,,,
0,413,36,13.269078,,,,,,
0,401,10,-5.513954,,,,,,
0,401,20,10.782565,,,,,,
0,401,24,12.121144,,,,,,
0,419,42,18.257738,,,,,,
0,422,6,-14.175959,,,,,,
0,509,10,0.037366944,,,,,,
0,415,1,-7.7383798,,,,,,
0,502,16,5.9309101,,,,,,
0,410,40,15.725454,,,,,,
0,426,35,13.812701,,,,,,
0,410,27,4.8545901,,,,,,
0,418,39,15.151281,,,,,,
0,420,0,-10.441689,,,,,,
0,425,8,-12.122731,,,,,,
0,411,19,-2.5066691,,,,,,
0,404,8,-14.624466,,,,,,
0,416,0,-10.441689,,,,,,
0,507,22,6.3795892,,,,,,
0,504,8,-8.3656084,,,,,,
0,425,7,-5.4111396,,,,,,
0,410,32,8.4174232,,,,,,
0,329,3,-8.932084,,,,,,
0,430,5,-6.8256272,,,,,,
0,516,33,8.991596,,,,,,
0,409,8,-8.9511208,,,,,,
0,417,2,-12.183244,,,,,,
0,429,3,-9.73051,,,,,,
0,407,3,-7.4416887,,,,,,
0,502,29,13.166676,,,,,,
0,417,38,14.364195,,,,,,
0,501,3,-12.673639,,,,,,
0,427,0,-15.780096,,,,,,
0,415,35,15.744491,,,,,,
0,418,16,8.1665031,,,,,,
0,407,0,-9.6432626,,,,,,
0,412,23,10.413608,,,,,,
0,507,0,-8.5786946,,,,,,
0,411,6,-2.7383798,,,,,,
0,416,39,20.276775,,,,,,
0,415,23,13.303509,,,,,,
0,415,18,-3.0808419,,,,,,
0,405,30,15.10922,,,,,,
0,507,23,9.8436628,,,,,,
0,425,0,-11.293343,,,,,,
0,507,10,-10.921157,,,,,,
0,420,36,13.588448,,,,,,
0,401,13,-9.9970644,,,,,,
0,329,11,-11.46478,,,,,,
0,511,8,-15.848719,,,,,,
0,420,33,14.596145,,,,,,
0,416,37,17.10575,,,,,,
0,512,0,-23.47612,,,,,,
0,328,14,0.84366278,,,,,,
0,405,4,-18.837379,,,,,,
0,416,31,10.839608,,,,,,
0,408,43,17.767343,,,,,,
0,419,34,14.531577,,,,,,
0,412,37,14.269078,,,,,,
0,329,2,-20.14541,,,,,,
0,327,4,-18.46478,,,,,,
0,419,16,-7.3696632,,,,,,
0,415,38,16.508898,,,,,,
0,329,9,-15.168089,,,,,,
0,429,35,20.93878,,,,,,
0,417,34,14.691262,,,,,,
0,509,10,-0.28200347,,,,,,
0,325,18,-3.6663543,,,,,,
0,411,43,21.919158,,,,,,
0,416,34,15.223546,,,,,,
0,504,0,-24.647145,,,,,,
0,417,1,-8.8029478,,,,,,
0,419,36,16.797719,,,,,,
0,323,0,-10.335232,,,,,,
0,327,4,-19.901947,,,,,,
0,402,11,-0.82562715,,,,,,
0,410,35,10.19317,,,,,,
0,410,31,9.7750399,,,,,,
0,415,29,14.071558,,,,,,
0,325,4,-16.479762,,,,,,
0,413,42,22.638034,,,,,,
0,509,0,-24.168089,,,,,,
0,415,38,18.744491,,,,,,
0,417,18,0.075200903,,,,,,
0,407,22,2.0525216,,,,,,
0,429,35,10.19317,,,,,,
0,419,32,9.322306,,,,,,
0,419,18,-4.677694,,,,,,
0,416,2,-8.8142875,,,,,,
0,412,20,1.8622873,,,,,,
0,511,0,-24.008404,,,,,,
0,509,36,16.691262,,,,,,
0,417,33,12.291757,,,,,,
0,512,39,14.086713,,,,,,
0,411,37,13.20451,,,,,,
0,412,0,-10.122318,,,,,,
0,418,30,7.3755344,,,,,,
0,509,13,-7.442101,,,,,,
0,412,16,-1.4834049,,,,,,
0,422,8,-7.9397812,,,,,,
0,420,41,21.42512,,,,,,
0,409,21,-1.8373792,,,,,,
0,411,33,8.5125403,,,,,,
0,416,14,-1.5671824,,,,,,
0,417,36,11.672226,,,,,,
0,409,31,7.790022,,,,,,
0,412,35,11.20451,,,,,,
0,417,35,9.7141143,,,,,,
0,402,9,-15.593916,,,,,,
0,410,35,13.828268,,,,,,
0,418,35,12.109392,,,,,,
0,323,5,-16.080842,,,,,,
0,416,39,13.767343,,,,,,
0,327,16,-6.1454099,,,,,,
0,410,34,9.8319108,,,,,,
0,408,40,14.927028,,,,,,
0,405,38,15.641676,,,,,,
0,509,16,-6.4647803,,,,,,
0,410,36,17.276775,,,,,,
0,414,38,21.672053,,,,,,
0,505,31,10.78638,,,,,,
0,419,22,1.6799228,,,,,,
0,417,15,2.7485456,,,,,,
0,420,30,9.4670092,,,,,,
0,503,5,-11.365608,,,,,,
0,414,4,-12.259152,,,,,,
0,428,33,9.257738,,,,,,
0,417,17,-1.5635399,,,,,,
0,416,23,-1.2213176,,,,,,
0,417,28,7.6643558,,,,,,
0,424,21,-3.0616324,,,,,,
0,416,41,18.907818,,,,,,
0,413,33,11.067504,,,,,,
0,420,0,-11.186886,,,,,,
0,401,1,-7.898065,,,,,,
0,430,0,-12.464368,,,,,,
0,424,24,0.20450958,,,,,,
0,410,0,-8.365781,,,,,,
0,511,16,-8.7003733,,,,,,
0,420,0,-12.570825,,,,,,
0,513,0,-23.689034,,,,,,
0,505,11,-11.997064,,,,,,
0,411,20,3.7940768,,,,,,
0,419,23,0.37553444,,,,,,
0,424,27,3.9497072,,,,,,
0,418,32,13.75583,,,,,,
0,415,12,-3.513954,,,,,,
0,430,0,-17.696318,,,,,,
0,512,3,-20.316435,,,,,,
0,421,0,-12.198226,,,,,,
0,407,26,9.4747064,,,,,,
0,415,32,10.86593,,,,,,
0,415,26,3.5352197,,,,,,
0,401,0,-15.513954,,,,,,
0,408,11,-2.4912747,,,,,,
0,412,32,9.4819913,,,,,,
0,413,26,11.603843,,,,,,
0,417,40,25.657071,,,,,,
0,407,24,-0.86005847,,,,,,
0,505,8,-14.518009,,,,,,
0,406,41,14.968917,,,,,,
0,327,11,-12.103521,,,,,,
0,421,0,-20.532991,,,,,,
0,416,32,15.900534,,,,,,
0,409,35,15.249868,,,,,,
0,417,7,-7.1832439,,,,,,
0,418,12,-6.5635399,,,,,,
0,402,0,-22.46478,,,,,,
0,417,11,-4.4607256,,,,,,
0,505,18,-6.008404,,,,,,
0,428,13,-3.0994664,,,,,,
0,425,19,3.9651017,,,,,,
0,411,27,10.581163,,,,,,
0,404,2,-13.513954,,,,,,
0,428,31,10.307324,,,,,,
0,329,6,-5.6127135,,,,,,
0,420,28,11.634392,,,,,,
0,426,0,-17.126373,,,,,,
0,408,2,-12.609071,,,,,,
0,401,2,-11.065447,,,,,,
0,404,0,-13.704188,,,,,,
0,429,0,-10.06909,,,,,,
0,422,23,11.174373,,,,,,
0,403,30,16.25815,,,,,,
0,509,17,2.7790947,,,,,,
0,410,22,9.2006946,,,,,,
0,414,65,40.725454,,,,,,
0,424,20,7.4291752,,,,,,
0,326,14,2.0146876,,,,,,
0,404,5,-10.354269,,,,,,
0,503,3,-12.886553,,,,,,
0,424,9,-5.6999609,,,,,,
0,417,35,13.972387,,,,,,
0,505,0,-21.346984,,,,,,
0,505,0,-24.061632,,,,,,
0,403,14,2.7066569,,,,,,
0,419,33,14.063861,,,,,,
0,417,2,-13.354269,,,,,,
0,425,35,10.086713,,,,,,
0,413,0,-13.422479,,,,,,
0,429,14,-6.160392,,,,,,
0,417,16,3.2162616,,,,,,
0,418,28,10.181658,,,,,,
0,425,1,-12.491275,,,,,,
0,417,10,-11.453441,,,,,,
0,424,1,-11.144998,,,,,,
0,401,0,-15.354269,,,,,,
0,403,17,4.6953172,,,,,,
0,403,26,15.398626,,,,,,
0,416,6,-13.734565,,,,,,
0,416,0,-17.802775,,,,,,
0,329,0,-11.932084,,,,,,
0,408,0,-19.217848,,,,,,
0,416,43,24.383232,,,,,,
0,405,10,-2.6240532,,,,,,
0,417,45,26.170318,,,,,,
0,407,5,-11.966688,,,,,,
0,418,0,-16.578522,,,,,,
0,416,41,23.234886,,,,,,
0,403,5,-10.99301,,,,,,
0,421,39,15.577108,,,,,,
0,415,40,20.371892,,,,,,
0,403,1,-12.491275,,,,,,
0,410,15,3.7598853,,,,,,
0,410,0,-8.365781,,,,,,
0,502,20,12.006818,,,,,,
0,411,31,8.6949049,,,,,,
0,417,2,-11.438046,,,,,,
0,422,10,-4.3961575,,,,,,
0,405,25,5.0525216,,,,,,
0,329,14,-7.3469839,,,,,,
0,419,13,-10.263206,,,,,,
0,426,21,5.7521881,,,,,,
0,402,12,-12.593916,,,,,,
0,406,31,7.1512812,,,,,,
0,416,32,10.227189,,,,,,
0,414,32,7.8319108,,,,,,
0,416,16,-4.9588181,,,,,,
0,409,16,-4.5485578,,,,,,
0,415,36,11.618997,,,,,,
0,411,31,6.2996267,,,,,,
0,415,32,8.52388,,,,,,
0,426,26,1.0867131,,,,,,
0,414,20,-3.7954904,,,,,,
0,502,5,-6.9853124,,,,,,
0,429,0,-15.726868,,,,,,
0,423,0,-10.814288,,,,,,
0,418,10,1.8471326,,,,,,
0,414,4,-20.381003,,,,,,
0,507,35,25.463194,,,,,,
0,418,35,13.333646,,,,,,
0,325,6,-6.0917692,,,,,,
0,416,12,-10.571237,,,,,,
0,403,32,12.584806,,,,,,
0,329,2,-19.293755,,,,,,
0,325,14,-8.6244656,,,,,,
0,428,0,-12.357911,,,,,,
0,410,23,6.1021076,,,,,,
0,503,23,-0.79549042,,,,,,
0,415,28,3.4593119,,,,,,
0,413,39,20.010633,,,,,,
0,407,32,14.873627,,,,,,
0,510,34,13.254096,,,,,,
0,403,37,16.147639,,,,,,
0,401,14,-6.160392,,,,,,
0,401,13,-3.31238,,,,,,
0,428,1,-9.7078307,,,,,,
0,418,20,3.3150212,,,,,,
0,426,34,9.9383676,,,,,,
0,402,3,-20.848719,,,,,,
0,402,21,-0.66635431,,,,,,
0,405,27,5.6153547,,,,,,
0,417,8,-8.3656084,,,,,,
0,329,17,-7.0616324,,,,,,
0,410,29,14.459724,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,425,32,7.991596,,REGRESSION WITH DATA,,,INFECTED,
1,419,36,15.360552,,,,,,
1,426,21,-2.1567496,,,Regression Output:,,,
1,428,25,1.5771084,,Constant,,,45.965786,
1,503,31,11.904176,,Std Err of Y Est,,,13.323837,
1,420,30,6.6303368,,R Squared,,,0.043146485,
1,408,0,-11.947651,,No. of Observations,,,271,
1,414,22,4.9424224,,Degrees of Freedom,,,269,
1,519,43,22.679923,,,,,,
1,413,13,4.2616202,,X Coefficient(s),,-0.063206871,,
1,424,20,9.3986261,,Std Err of Coef.,,0.018148393,,
1,506,0,-13.688621,,,,,,
1,502,28,17.558311,,,,,,
1,409,15,-8.5825768,,,,,,
1,419,36,16.691262,,,,,,
1,418,38,20.181658,,,,,,
1,502,1,-21.14541,,REGRESSION WITH RESIDUALS,,,INFECTED,
1,510,17,-3.3733056,,,,,,
1,421,31,7.9497072,,,Regression Output:,,,
1,418,42,18.630337,,Constant,,,28.603433,
1,420,0,-12.464368,,Std Err of Y Est,,,12.683026,
1,506,26,7.9155157,,R Squared,,,0.047643613,
1,505,0,-10.920744,,No. of Observations,,,271,
1,429,30,5.991596,,Degrees of Freedom,,,269,
1,506,19,2.5811632,,,,,,
1,416,5,-12.765114,,X Coefficient(s),,-0.063373906,,
1,507,36,15.413781,,Std Err of Coef.,,0.017275544,,
1,410,27,9.9800838,,,,,,
1,512,0,-23.316435,,,,,,
1,415,18,-4.1454099,,,,,,
1,507,18,-6.5939165,,,,,,
1,410,26,8.0219725,,,,,,
1,428,0,-12.996652,,,,,,
1,428,17,-1.5103115,,,,,,
1,507,15,-4.8410216,,,,,,
1,430,0,-23.263206,,,,,,
1,518,1,-20.453441,,,,,,
1,502,14,1.3227184,,,,,,
1,424,0,-8.7916082,,,,,,
1,418,0,-14.821985,,,,,,
1,508,0,-11.506257,,,,,,
1,405,28,8.9574044,,,,,,
1,505,11,-12.369663,,,,,,
1,512,37,16.78638,,,,,,
1,506,34,15.223546,,,,,,
1,506,40,19.360552,,,,,,
1,506,34,13.839608,,,,,,
1,418,11,0.026027292,,,,,,
1,506,0,-9.0045218,,,,,,
1,504,0,-22.730922,,,,,,
1,505,42,27.459724,,,,,,
1,513,35,14.78638,,,,,,
1,513,22,-2.4342312,,,,,,
1,428,34,9.2996267,,,,,,
1,415,37,19.075201,,,,,,
1,503,1,-14.833324,,,,,,
1,421,0,-12.198226,,,,,,
1,512,20,1.2235465,,,,,,
1,503,0,-13.491275,,,,,,
1,403,5,-10.354269,,,,,,
1,404,18,-6.5406881,,,,,,
1,416,34,23.398626,,,,,,
1,406,19,2.8473052,,,,,,
1,427,0,-12.091769,,,,,,
1,410,35,12.641676,,,,,,
1,513,6,-16.624466,,,,,,
1,417,32,11.999293,,,,,,
