"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,,,
"year = 1989, no malaria vs. malaria, males of unknown malarial status not included",,,,,,,,,,,,,,,,,,,
page down to see breeder vs. non-breeder file and lice vs. no lice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,struts/,time,dist,,,predicted,,,,,,,,strut,,resids,,,
malaria,five min,sunrise,to hens,year,breed,values,resids,,,,,,,squared,strut,squared,resids,,
---------,---------,---------,---------,---------,---------,---------,---------,,,,,,,--------,--------,--------,--------,,
0,25,0.02,1,89,0,17.973486,7.0265135,,,,,,,625,25,49.371892,7.0265135,,
0,16,0.05,1,89,0,18.591405,-2.5914054,,,,,,,256,16,6.7153818,-2.5914054,,
0,28,0.01,1,89,0,17.752801,10.247199,,,,,,,784,28,105.00508,10.247199,,
0,12,0.04,3,89,0,12.103764,-0.1037636,,,,,,,144,12,0.010766886,-0.1037636,,
0,22,0.05,3,89,0,12.236175,9.7638252,,,,,,,484,22,95.332283,9.7638252,,
0,35,0.01,1,89,1,17.899925,17.100075,,,,,,,1225,35,292.41257,17.100075,,
0,26,0.03,1,89,0,18.282446,7.7175541,,,,,,,676,26,59.560641,7.7175541,,
0,44,0.05,1,89,1,18.635542,25.364458,,,,,,,1936,44,643.35571,25.364458,,
0,10,0.02,3,89,0,11.544694,-1.5446941,,,,,,,100,10,2.38608,-1.5446941,,
0,36,0.01,1,89,0,17.811651,18.188349,,,,,,,1296,36,330.81605,18.188349,,
0,12,0.03,0,89,1,21.548335,-9.5483354,,,,,,,144,12,91.170708,-9.5483354,,
0,23,0.03,3,89,0,11.927215,11.072785,,,,,,,529,23,122.60656,11.072785,,
0,2,0.02,0,89,0,21.312938,-19.312938,,,,,,,4,2,372.98956,-19.312938,,
0,0,0.02,3,89,0,11.559406,-11.559406,,,,,,,0,0,133.61988,-11.559406,,
0,35,0.01,0,89,0,21.136389,13.863611,,,,,,,1225,35,192.1997,13.863611,,
0,1,0.00,3,89,0,11.294584,-10.294584,,,,,,,1,1,105.97846,-10.294584,,
0,14,0.05,2,89,0,15.502064,-1.5020642,,,,,,,196,14,2.2561969,-1.5020642,,
0,11,0.00,3,89,0,11.309296,-0.30929648,,,,,,,121,11,0.095664312,-0.30929648,,
0,2,0.02,3,89,0,11.574119,-9.5741189,,,,,,,4,2,91.663752,-9.5741189,,
0,18,0.00,0,89,0,20.915704,-2.9157041,,,,,,,324,18,8.5013305,-2.9157041,,
0,35,0.02,1,89,0,18.091185,16.908815,,,,,,,1225,35,285.90801,16.908815,,
0,6,0.01,3,89,0,11.485845,-5.4858447,,,,,,,36,6,30.094492,-5.4858447,,
0,0,0.05,3,89,0,12.20675,-12.20675,,,,,,,0,0,149.00475,-12.20675,,
0,24,0.02,1,89,0,18.017624,5.9823764,,,,,,,576,24,35.788828,5.9823764,,
0,6,0.00,3,89,0,11.20631,-5.20631,,,,,,,36,6,27.105664,-5.20631,,
0,26,0.01,1,89,0,17.811651,8.1883494,,,,,,,676,26,67.049066,8.1883494,,
0,17,0.03,3,89,0,11.735955,5.2640452,,,,,,,289,17,27.710172,5.2640452,,
0,5,0.00,3,89,0,11.265159,-6.2651594,,,,,,,25,5,39.252223,-6.2651594,,
0,12,0.03,3,89,0,11.883078,0.11692171,,,,,,,144,12,0.013670686,0.11692171,,
0,10,0.03,0,89,1,21.533623,-11.533623,,,,,,,100,10,133.02446,-11.533623,,
0,21,0.00,3,89,0,11.309296,9.6907035,,,,,,,441,21,93.909735,9.6907035,,
0,4,0.01,0,89,0,20.974554,-16.974554,,,,,,,16,4,288.13547,-16.974554,,
0,6,0.00,2,89,0,14.457487,-8.4574871,,,,,,,36,6,71.529087,-8.4574871,,
0,19,-0.01,3,89,0,11.044474,7.9555259,,,,,,,361,19,63.290392,7.9555259,,
0,0,0.00,3,89,0,11.265159,-11.265159,,,,,,,0,0,126.90382,-11.265159,,
0,0,-0.01,3,89,1,11.073899,-11.073899,,,,,,,0,0,122.63123,-11.073899,,
0,17,0.01,0,89,0,20.974554,-3.9745535,,,,,,,289,17,15.797076,-3.9745535,,
0,43,0.01,1,89,1,17.841075,25.158925,,,,,,,1849,43,632.97149,25.158925,,
0,14,0.01,1,89,1,17.826363,-3.826363,,,,,,,196,14,14.641053,-3.826363,,
0,33,0.05,1,89,1,18.591405,14.408595,,,,,,,1089,33,207.6076,14.408595,,
0,11,0.03,3,89,0,11.809517,-0.80951652,,,,,,,121,11,0.655317,-0.80951652,,
0,4,0.01,3,89,0,11.45642,-7.45642,,,,,,,16,4,55.5982,-7.45642,,
0,5,0.01,0,89,0,21.106965,-16.106965,,,,,,,25,5,259.43431,-16.106965,,
0,27,0.01,2,89,0,14.707597,12.292403,,,,,,,729,27,151.10317,12.292403,,
0,32,0.03,1,89,0,18.150035,13.849965,,,,,,,1024,32,191.82154,13.849965,,
0,7,0.03,3,89,1,11.941928,-4.9419277,,,,,,,49,7,24.422649,-4.9419277,,
0,0,0.04,3,89,1,11.95664,-11.95664,,,,,,,0,0,142.96124,-11.95664,,
0,37,0.01,1,89,1,17.914637,19.085363,,,,,,,1369,37,364.25108,19.085363,,
0,34,0.03,1,89,1,18.164747,15.835253,,,,,,,1156,34,250.75523,15.835253,,
0,29,0.02,3,89,0,11.691818,17.308182,,,,,,,841,29,299.57317,17.308182,,
0,48,0.01,1,89,1,17.811651,30.188349,,,,,,,2304,48,911.33644,30.188349,,
0,3,0.02,3,89,0,11.529982,-8.5299818,,,,,,,9,3,72.760589,-8.5299818,,
0,4,0.03,3,89,0,11.927215,-7.9272154,,,,,,,16,4,62.840743,-7.9272154,,
0,0,0.05,3,89,0,12.339161,-12.339161,,,,,,,0,0,152.2549,-12.339161,,
0,8,0.01,3,89,0,11.515269,-3.5152694,,,,,,,64,8,12.357119,-3.5152694,,
0,7,0.01,1,89,0,17.796938,-10.796938,,,,,,,49,7,116.57388,-10.796938,,
0,18,0.00,1,89,0,17.576253,0.42374706,,,,,,,324,18,0.17956157,0.42374706,,
0,1,0.02,3,89,0,11.691818,-10.691818,,,,,,,1,1,114.31497,-10.691818,,
0,3,0.02,3,89,0,11.618256,-8.6182559,,,,,,,9,3,74.274335,-8.6182559,,
0,14,0.00,3,89,0,11.20631,2.79369,,,,,,,196,14,7.8047038,2.79369,,
0,0,0.02,3,89,0,11.544694,-11.544694,,,,,,,0,0,133.27996,-11.544694,,
0,13,0.01,3,89,1,11.515269,1.4847306,,,,,,,169,13,2.2044248,1.4847306,,
0,0,0.01,3,89,0,11.515269,-11.515269,,,,,,,0,0,132.60143,-11.515269,,
0,33,0.01,0,89,0,21.048115,11.951885,,,,,,,1089,33,142.84755,11.951885,,
0,23,0.03,3,89,1,11.912503,11.087497,,,,,,,529,23,122.93259,11.087497,,
0,15,0.00,2,89,0,14.472199,0.52780058,,,,,,,225,15,0.27857346,0.52780058,,
0,6,-0.01,0,89,0,20.621457,-14.621457,,,,,,,36,6,213.78701,-14.621457,,
0,22,0.00,2,89,0,14.472199,7.5278006,,,,,,,484,22,56.667782,7.5278006,,
0,0,0.02,3,89,0,11.618256,-11.618256,,,,,,,0,0,134.98387,-11.618256,,
0,24,0.02,0,89,1,21.32765,2.67235,,,,,,,576,24,7.1414543,2.67235,,
0,8,-0.01,0,89,0,20.606745,-12.606745,,,,,,,64,8,158.93001,-12.606745,,
0,30,0.00,2,89,0,14.339788,15.660212,,,,,,,900,30,245.24223,15.660212,,
0,3,0.01,0,89,0,21.121677,-18.121677,,,,,,,9,3,328.39518,-18.121677,,
,,,,,,,,,,,,,sums,54745,2199,20566.893,-123.97697,,
,,,,,,,,,,,,,squares,,4835601,,15370.288,,
,,,,,,,,,,,,,averages,,14.467105,,-0.81563793,,
,,,,,,,,,,,,,,154,,,,,
,,,,,,,,,,,,,,,,,,,
1,19,-0.03,1,89,0,16.958334,2.0416659,,,,,,,361,19,4.1683998,2.0416659,,
1,0,0.00,3,89,1,11.279872,-11.279872,,,,,,,0,0,127.23551,-11.279872,,
1,5,0.00,0,89,0,20.753868,-15.753868,,,,,,,25,5,248.18436,-15.753868,,
1,29,0.04,1,89,0,18.517844,10.482156,,,,,,,841,29,109.8756,10.482156,,
1,30,0.04,1,89,0,18.561981,11.438019,,,,,,,900,30,130.82829,11.438019,,
1,16,0.04,2,89,0,15.310804,0.6891964,,,,,,,256,16,0.47499167,0.6891964,,
1,39,0.00,2,89,0,14.339788,24.660212,,,,,,,1521,39,608.12604,24.660212,,
1,28,0.01,1,89,1,17.855788,10.144212,,,,,,,784,28,102.90504,10.144212,,
1,7,0.03,0,89,0,21.415924,-14.415924,,,,,,,49,7,207.81887,-14.415924,,
1,26,0.02,1,89,1,18.12061,7.87939,,,,,,,676,26,62.084786,7.87939,,
1,40,-0.01,1,89,1,17.414417,22.585583,,,,,,,1600,40,510.10856,22.585583,,
1,38,0.01,1,89,0,17.855788,20.144212,,,,,,,1444,38,405.78929,20.144212,,
1,28,0.03,3,89,1,11.838941,16.161059,,,,,,,784,28,261.17982,16.161059,,
1,0,0.01,0,89,1,21.033403,-21.033403,,,,,,,0,0,442.40404,-21.033403,,
1,39,0.01,1,89,0,17.855788,21.144212,,,,,,,1521,39,447.07772,21.144212,,
1,40,0.02,1,89,0,18.091185,21.908815,,,,,,,1600,40,479.99616,21.908815,,
1,5,0.00,1,89,0,17.605678,-12.605678,,,,,,,25,5,158.90311,-12.605678,,
1,0,0.03,3,89,0,11.927215,-11.927215,,,,,,,0,0,142.25847,-11.927215,,
1,0,0.05,0,89,0,21.783733,-21.783733,,,,,,,0,0,474.53102,-21.783733,,
1,28,0.03,1,89,0,18.179459,9.8205405,,,,,,,784,28,96.443017,9.8205405,,
1,19,0.01,3,89,0,11.324009,7.6759912,,,,,,,361,19,58.92084,7.6759912,,
1,30,0.02,1,89,0,18.105898,11.894102,,,,,,,900,30,141.46967,11.894102,,
1,0,0.02,3,89,1,11.70653,-11.70653,,,,,,,0,0,137.04285,-11.70653,,
1,9,0.01,0,89,0,21.018691,-12.018691,,,,,,,81,9,144.44892,-12.018691,,
1,36,-0.01,1,89,1,17.429129,18.570871,,,,,,,1296,36,344.87723,18.570871,,
1,26,-0.01,1,89,0,17.473266,8.5267335,,,,,,,676,26,72.705185,8.5267335,,
1,8,0.07,3,89,0,12.618696,-4.618696,,,,,,,64,8,21.332353,-4.618696,,
1,15,0.00,1,89,1,17.635102,-2.6351024,,,,,,,225,15,6.9437644,-2.6351024,,
1,10,0.02,0,89,0,21.268801,-11.268801,,,,,,,100,10,126.98587,-11.268801,,
1,0,0.00,0,89,1,20.886279,-20.886279,,,,,,,0,0,436.23667,-20.886279,,
1,26,0.03,1,89,0,18.238309,7.7616911,,,,,,,676,26,60.243849,7.7616911,,
1,0,0.00,3,89,0,11.147461,-11.147461,,,,,,,0,0,124.26588,-11.147461,,
1,31,0.01,1,89,0,17.8705,13.1295,,,,,,,961,31,172.38377,13.1295,,
1,38,0.00,1,89,0,17.693952,20.306048,,,,,,,1444,38,412.33559,20.306048,,
1,32,0.03,1,89,0,18.150035,13.849965,,,,,,,1024,32,191.82154,13.849965,,
1,0,0.01,0,89,0,20.974554,-20.974554,,,,,,,0,0,439.9319,-20.974554,,
1,24,0.01,2,89,0,14.692885,9.3071153,,,,,,,576,24,86.622395,9.3071153,,
1,11,0.02,0,89,0,21.254088,-10.254088,,,,,,,121,11,105.14633,-10.254088,,
1,19,0.00,3,89,0,11.20631,7.79369,,,,,,,361,19,60.741604,7.79369,,
1,31,0.01,1,89,1,17.841075,13.158925,,,,,,,961,31,173.1573,13.158925,,
1,27,0.04,1,89,1,18.414857,8.5851429,,,,,,,729,27,73.704678,8.5851429,,
1,11,0.02,3,89,1,11.691818,-0.69181769,,,,,,,121,11,0.47861171,-0.69181769,,
1,14,0.00,3,89,1,11.221022,2.7789776,,,,,,,196,14,7.7227168,2.7789776,,
1,19,0.00,2,89,1,14.383925,4.6160747,,,,,,,361,19,21.308146,4.6160747,,
1,37,0.00,1,89,1,17.532116,19.467884,,,,,,,1369,37,378.99851,19.467884,,
1,10,0.03,3,89,0,11.912503,-1.912503,,,,,,,100,10,3.6576677,-1.912503,,
1,13,0.05,3,89,1,12.309737,0.69026344,,,,,,,169,13,0.47646361,0.69026344,,
1,34,0.01,2,89,0,14.66346,19.33654,,,,,,,1156,34,373.90178,19.33654,,
1,34,0.01,1,89,1,17.929349,16.070651,,,,,,,1156,34,258.26581,16.070651,,
1,0,0.01,3,89,0,11.515269,-11.515269,,,,,,,0,0,132.60143,-11.515269,,
