,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
65,05-05-1988,4:30,6:00,MUD SPRINGS,Johnson,,calm,<5,No,No,,Bright moon,clear,,,5:24,30,8,north center,5:26,5:31,R,Y,42,3,,-,Unmarked,,,1,Night vision scope (dif male than w?). W/O copulation during strut count. R/Y - destroyed an UM male at 5:59 right after mating. W/B fight same male as R/Y fought with (tie) - but W/B provoked another fight. Mate - G on right loss. Hen: W. W/G - fight with UM male - tie. 
,,,,,,,,,,,,,,,,5:45,35,,east center,5:31,5:36,W443,,31,1,,"chased 1 male off, 1 cop",W443,Orange,,2,
,,,,,,,,,,,,,,,,5:54,0,0,something spooked the other center,5:45,5:50,W,B986,35,1,,tie w/ UM male,R,Y,,1,
,,,,,,,,,,,,,,,,6:15,17,0,north center,5:50,5:55,W,G1085,13,,,-,,,,,
,,,,,,,,,,,,,,,,6:24,4,0,everyone spooked - flew away,5:50,5:55,B,R892,0,,,-,,,,,
,,,,,,,,,,,,,,,,6:30,1,0,he's just roosting away from the lek,5:56,5:58,G1064,B,0,,flew away,-,,,,,
,,,,,,,,,,,,,,,,6:40,9,,east - saw male with only one air sac,6:02,6:07,R,Y,11,,,standoff w/ UM male (2min of time),,,,,
,,,,,,,,,,,,,,,,6:48,10,0,,6:02,6:07,W,B,20,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,6:09,6:14,W,G,11,,,feeding,,,,,
,,,,,,,,,,,,,,,,,,,,6:16,6:21,W443,,4,,,"chased a male away,  then he got chased from the lek, he flew away",,,,,
,,,,,,,,,,,,,,,,,,,,6:18,6:23,W,G,8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:40,6:45,W632,R876,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
"66,67",12-05-1988,5:05,6:12,MUD SPRINGS,Johnson,,calm,0,No,No,,,Clear,,,5:15,87,5,Both centers. ,5:35,5:40,W,Y,19,0,no hens,Standoff w/ UM,R,Y,,2,"5:54 - R/Y and W/Y in a standoff. Birds feeding mostly, very little strutting by anyone - only one male strutting. 5:45 - W/Y won fight with an UM male. Lots of fighting. Birds are preening a lot, everyone is starting to look awfully rough. "
,,,,,,,,,,,,,,,,6:07,29,0,North center,5:35,5:40,R,Y,34,0,no hens,,,,,,
,,,,,,,,,,,,,,,,6:21,11,0,"North center. All flushed at once at 6:21 - the remaining marked males are R/R, R/Y, W/B, W/G, W/Y. ",5:40,5:45,W,G,3,0,no hens,In a standoff for 1st 3 min of count,,,,,
,,,,,,,,,,,,,,,,6:28,2,0,North center. All others flushed - R/R still on lek. ,5:41,5:46,W,B,15,0,no hens,,,,,,
,,,,,,,,,,,,,,,,6:30,1,0,,6:01,6:06,W,G,3,0,no hens,preening,,,,,
,,,,,,,,,,,,,,,,6:38,43,0,East center,6:01,6:06,W,B,1,0,no hens,preening,,,,,
,,,,,,,,,,,,,,,,7:01,1,0,"East center. Everyone flushed, except for 1 bird",6:01,6:06,W,Y,0,0,no hens,preening,,,,,
,,,,,,,,,,,,,,,,,,,,6:01,6:06,R,Y,0,0,no hens,preening,,,,,
,,,,,,,,,,,,,,,,,,,,6:08,6:13,W443,,0,0,,fighting - nobody is strutting,,,,,
