binder pdf scan page,,,,,,,,,Weight (bird + bag) g,Weight (bag) g,Bird Weight g,Total Length mm,Tail Length mm,Num Tail Feathers ,Wing Length mm,Keel Length mm,Tarsus Length mm,Toe Length mm,Bill Length mm,Bill Depth mm,Comb Length mm,Comb Color,num Lice on Comb,Air Sac Color,num Lice on Air Sac,Lice on Back of Head (+/-),,,,,,,,WYGF Leg Band #,Cut Feathers,Collect,Labelled,Hematoma Group #,Hematomas Applied,,,,,,,Comments,
,Date,Time Start,Time End,Lek,Observer,Age,Sex,Capture Technique,,,,,,,,,,,,,,,,,,, Hematomas Air Sacs ,Hematomas Combs,hematomas comb comments,Color Left Wing,Color Right Wing,Numbers Left Wing,Numbers right wing,,,,,,,samples collected Blood ,samples collected Fecal,samples collected Ectoparasites,Existing Injuries,Handling Injury, Stresses While Handling (describe),,Head length mm
30,1988-04-07,10:04,,LONG LAKE ,,ADULT,FEMALE,,,,1.6,579,219,,281,110,61,55,36.55,20.45,18,,,,,-,,,,Blue,Orange,283,26,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,77.35
31,1988-04-07,10:15,,LONG LAKE ,,ADULT,FEMALE,,,,1.75,545,208,,268,122,55,55,33.65,17.15,16.6,,,,,-,,,,Blue,Red,293,147,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,72.05
32,1988-04-07,10:25,,LONG LAKE ,,ADULT,FEMALE,,,,1.65,583,215,,275,117,60,57,34.8,19.45,16.78,,,,,,,,,Purple,White,511,454,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,No blood data,76.34
33,1988-04-07,10:40,,LONG LAKE ,,ADULT,FEMALE,,,,1.4,556,209,,275,118,57,54,32,17.13,17.33,,,,,-,,,,Purple,Orange,586,16,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,No blood data,72.96
34,1988-04-07,10:55,,LONG LAKE ,,JUVENILE,FEMALE,,,,1.5,551,222,,269,116,64,56,35.4,20.1,17.4,,,,,-,,+,,Purple,Green,594,363,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,No blood data,75.45
35,1988-04-07,11:09,,LONG LAKE ,,JUVENILE,FEMALE,,,,1.55,560,193,,281,113,59,58,33.7,19.35,17.9,,,,,,,,,Purple,Purple,514,582,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,,74.95
36,1988-04-07,11:20,,LONG LAKE ,,ADULT,FEMALE,,,,1.525,537,208,,263,120,59,57,32.95,17.6,17.25,,,,,-,,-,,Purple,Blue,512,278,,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,,,,No blood data,73.05
37,1988-04-07,8:51,,LONG LAKE ,,ADULT,FEMALE,,2.08652,,,532,182,14,226.5,92,49,56,33.52,18.58,,,,,,,,,,Blue,White,255,439,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,70.03
38,1988-04-07,9:16,,LONG LAKE ,,ADULT,FEMALE,,2.04117,,,564,210,12,227,89,49,33.42,17.22,,,,0,,0,-,-,+,,Blue,Green,254,368,,FALSE,FALSE,FALSE,,,TRUE,FALSE,FALSE,"Tail feathers very worn, right wing banged up",,,,68.54
39,1988-04-07,7:15,,LONG LAKE ,,ADULT,FEMALE,,2.04117,,,622,220,,277,107,58,31.24,20.8,,,,,,,-,,,,Yellow,Orange,,65,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
40,1988-04-07,7:45,,LONG LAKE ,,ADULT,FEMALE,,1.99581,,,563,182,,272,100,57,60,32.5,17.5,,,,,,-,,,,Yellow,Green,,380,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
41,1988-04-07,8:00,,LONG LAKE ,,ADULT,FEMALE ,,1.90509,,,559,190,,272,104,57,58,32.3,17.2,,,,,,-,,,,Yellow,Purple,,539,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
42,1988-04-07,9:00,,LONG LAKE ,,ADULT,FEMALE ,,1.99581,,,583,181,,262,100,59,54,32.6,19.3,,,,,,-,,,,Yellow,Blue,,246,,TRUE,TRUE,TRUE,,,FALSE,FALSE,FALSE,,,,,
43,1988-04-06,9:00,,LONG LAKE ,,ADULT,FEMALE ,,,,1.85,415,,,260,110,60,61,32.28,17.67,,,,,,-,,,,Yellow,White,,436,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
44,1988-04-06,9:58,,LONG LAKE ,,,FEMALE ,,,,1.6,220,165,,257,120,57,55,34.3,16.75,,,,,,,,,,Red,Blue,175,240,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
45,1988-04-06,10:19,,LONG LAKE ,,ADULT,FEMALE ,,,,1.65,525,182,,255,110,57,56,32.5,16,,,,,,,,,,Red,Purple,170,541,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
46,1988-04-06,10:39,,LONG LAKE ,,ADULT,FEMALE,,,,1.8,565,195,,258,110,60,59,33,17.69,,,,,,,,,,Red,Orange,169,68,,TRUE,TRUE,TRUE,,,TRUE,FALSE,TRUE,,,,,
47,1988-04-06,10:58,,LONG LAKE ,,,FEMALE,,,,1.6,505,181,,260,110,60,58,31.5,17.5,,,,,,,,,,Red,White,168,431,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
48,1988-04-06,11:20,,LONG LAKE ,,ADULT,FEMALE,,,,1.7,390,,,255,115,58,53,31.24,16.65,,,,,,,,,,Red,Green,166,382,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
49,1988-04-06,11:36,,LONG LAKE ,,ADULT,FEMALE,,,,1.8,510,180,,255,120,575,55,31.75,17.5,,,,,,,,,,Red,Yellow,165,,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,No blood data,
50,1988-04-09,3:30,,LONG LAKE ,,ADULT,FEMALE,Nightlighted,,,1.9,547,186,,262,98,60,59,33.1,20.2,,,,,,,,,,Green,Yellow,379,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,No blood data,
51,1988-04-09,3:50,,LONG LAKE ,,ADULT,FEMALE,,,,1.75,552,169,,262,101,55,57,30.7,19,,,,,,,,,,Blue,Yellow,242,,,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,,,,No blood data,
52,1988-04-16,8:20,,LONG LAKE ,,JUVENILE,FEMALE,,,,1.51,583,190,,258,107,60,61,31.1,18.6,,,,,,,,,,Orange,Blue,60,229,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
53,1988-04-16,8:00,,LONG LAKE ,,ADULT,FEMALE,,,,1.4,388,,,240,100,60,61,33.4,18.8,,,,,,,,,,Orange,Purple,58,531,,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,
54,1988-04-16,9:12,,LONG LAKE ,,JUVENILE,FEMALE,,,,1.7,564,200,,257,104,60,57,33.9,18.85,,,,,,,,,,Orange,Green,39,370,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,
55,1988-04-16,10:50,,LONG LAKE ,,,FEMALE ,,,,1.5,590,173,,263,104,60,60,32.4,18.4,,,,,,,,,,White,Yellow,437,,,TRUE,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,No blood data,
