,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,5:32,0,0,,,,,,,,,,,,,,
25,08-05-1988,5:17,5:55,VIEWPOINT,White/Burton,Cannon net,10 to 15,70,-,-,,Snow overnight + high winds - cannon net,Covered by snow,,,5:22,21,2,,,,,,,,,,unmarked,,,2,Lots of activity - 2? female solicited several males (including R/B) + no response because males kept fighting + chasing each other off. 5:46 - wind has really picked up. R/B - interrupted copulation!! Female solicited again - UM male twice - interrupted by 3 other males - including R/B 
,,,,,,,,,,,,,,,,5:35,20,3,R/B present + strutting at females,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:52,19,1,R/B fighting later after males - R/R present,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:50,19,0,Strutting stopped - all females gone,,,,,,,,,,,,,
26,10-05-1988,5:00,,VIEWPOINT,Johnson/White/Swanson,Cannon net,10  to 20,40 (less than 5% over lek),-,-,,,Clear,,,5:20,18,2,,5:40,5:45,R,G,26,1,,-,Unmarked,,,1,
,,,,,,,,,,,,,,,,,,,,5:40,5:45,R,B,39,1,,-,Unmarked,,,1,
27,14-05-1988,5:26,5:54,VIEWPOINT,White,,5 to 10,20,-,-,,,,,,5:30,7,0,"No strutting, 3 juv, small squabbles between adults + juvenile",,,,,,,,,,,,,As female draw in ~ 15 birds flew to W. Hens flew at 5:28. 1 adult male terrorize 2 juveniles + 1 ? adult so bad they flew away. No marked birds. 6:37 all birds flew. 
,,,,,,,,,,,,,,,,5:38,0,0,THIS IS STUPID,,,,,,,,,,,,,
28,15-05-1988,5:22,5:48,VIEWPT,White,,0 to 5,0,-,-,,,,,,5:25,16,2,,,,R,R,0,0,,Who cares ?? No hens around ?? No strutting,,,,,5:29 - 1 hen flew E - cannot find 2nd one. Y/O tail wagging + clucking w/UM male - wing beating + grabbing by neck - standoff. Nobody strutting after hen left. R/B chased off by UM male. 
,,,,,,,,,,,,,,,,5:36,9,0,"Most ""resting""",,,R,B,0,0,,Who cares ?? No hens around ?? No strutting,,,,,
,,,,,,,,,,,,,,,,5:51,3,0,Bye,,,Y,O,0,0,,Who cares ?? No hens around ?? No strutting,,,,,
