"left_tag_code","left_tag_colour","left_tag_number","right_tag_code","right_tag_colour","right_tag_number","year","month","day","lek_name","age","struts_5_min","time_strut","sunrise","time_to_sunrise","dist_to_hens","breed","malaria","lice"
"G1593","green","1593","R1710","red","1710","1990",5,"07","north","adult","20","0.270138889","0.245138889","-0.025","2","no","yes","no"
"G1593","green","1593","R1710","red","1710","1990",4,"12","north","adult","0","0.3125","0.270833333","-0.041666667","3","no","yes","no"
"G1593","green","1593","R1710","red","1710","1990",4,"10","north","adult","28","0.282638889","0.275","-0.007638889","2","no","yes","no"
"G1593","green","1593","R1710","red","1710","1990",5,"02","north","adult","2","0.261111111","0.248611111","-0.0125","3","no","yes","no"
"G1593","green","1593","R1710","red","1710","1990",4,"18","north","adult","8","0.301388889","0.265277778","-0.036111111","3","no","yes","no"
"G1593","green","1593","R1710","red","1710","1990",4,"07","north","adult","36","0.273611111","0.278472222","0.004861111","1","no","yes","no"
"G302","green","302","G301","green","301","1990",3,"25","north","adult","5","0.24375","0.25","0.00625","3","no","NA","NA"
"O13","orange","13","B298","blue","298","1990",5,"02","mud_springs","adult","0","0.277777778","0.248611111","-0.029166667","3","no","NA","NA"
"O1355","orange","1355","W1402","white","1402","1990",5,"03","sybille_springs","adult","0","0.246527778","0.247916667","0.001388889","3","no","NA","no"
"O1355","orange","1355","W1402","white","1402","1990",4,"16","sybille_springs","adult","8","0.281944444","0.265972222","-0.015972222","3","no","NA","no"
"O1355","orange","1355","W1402","white","1402","1990",4,"15","sybille_springs","adult","0","0.284027778","0.267361111","-0.016666667","3","no","NA","no"
"O1384","orange","1384","Y1251","yellow","1251","1990",4,"07","north","adult","27","0.279166667","0.278472222","-0.000694444","1","no","no","no"
"O9","orange","9","W462","white","462","1990",4,"23","north","adult","20","0.254861111","0.261111111","0.00625","3","no","NA","NA"
"O9","orange","9","W462","white","462","1990",3,"25","north","adult","6","0.254861111","0.25","-0.004861111","3","no","NA","NA"
"R102","red","102","R101","red","101","1990",3,"23","north","adult","11","0.271527778","0.250694444","-0.020833333","3","no","NA","NA"
"R102","red","102","R101","red","101","1990",4,"07","north","adult","0","0.298611111","0.278472222","-0.020138889","3","no","NA","NA"
"R1704","red","1704","Y1256","yellow","1256","1990",4,"30","sybille_springs","adult","0","0.270833333","0.254166667","-0.016666667","0","no","no","no"
"R1704","red","1704","Y1256","yellow","1256","1990",4,"12","sybille_springs","adult","31","0.28125","0.270833333","-0.010416667","1","no","no","no"
"R1704","red","1704","Y1256","yellow","1256","1990",4,"11","sybille_springs","adult","27","0.299305556","0.273611111","-0.025694444","1","no","no","no"
"R1704","red","1704","Y1256","yellow","1256","1990",4,"15","sybille_springs","adult","26","0.304166667","0.267361111","-0.036805556","1","no","no","no"
"R1704","red","1704","Y1256","yellow","1256","1990",4,"13","sybille_springs","adult","29","0.259027778","0.270833333","0.011805556","2","no","no","no"
"R1704","red","1704","Y1256","yellow","1256","1990",4,"18","sybille_springs","adult","4","0.28125","0.265277778","-0.015972222","3","no","no","no"
"R1704","red","1704","Y1256","yellow","1256","1990",4,"22","sybille_springs","adult","32","0.266666667","0.263888889","-0.002777778","2","no","no","no"
"R1704","red","1704","Y1256","yellow","1256","1990",5,"03","sybille_springs","adult","0","0.25625","0.247916667","-0.008333333","0","no","no","no"
"R1707","red","1707","O1354","orange","1354","1990",4,"05","sybille_springs","adult","43","0.271527778","0.278472222","0.006944444","1","no","NA","NA"
"R1711","red","1711","B1625","blue","1625","1990",3,"27","sybille_springs","adult","8","0.24375","0.25","0.00625","0","no",NA,NA
"R1725","red","1725","W1446","white","1446","1990",3,"27","sybille_springs","adult","16","0.263194444","0.25","-0.013194444","0","no","NA","NA"
"R1725","red","1725","W1446","white","1446","1990",4,"05","sybille_springs","adult","33","0.271527778","0.278472222","0.006944444","1","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",4,"12","north","adult","26","0.293055556","0.270833333","-0.022222222","1","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",5,"07","north","adult","39","0.244444444","0.245138889","0.000694444","1","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",4,"25","north","adult","3","0.25625","0.256944444","0.000694444","0","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",3,"25","north","adult","21","0.28125","0.25","-0.03125","0","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",5,"13","north","adult","36","0.242361111","0.239583333","-0.002777778","2","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",4,"23","north","adult","13","0.269444444","0.261111111","-0.008333333","3","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",4,"22","north","adult","21","0.253472222","0.263888889","0.010416667","1","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",3,"30","north","adult","29","0.260416667","0.247916667","-0.0125","2","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",4,"18","north","adult","22","0.273611111","0.265277778","-0.008333333","3","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",4,"05","north","adult","0","0.316666667","0.278472222","-0.038194444","3","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",4,"11","north","adult","14","0.308333333","0.273611111","-0.034722222","3","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",4,"07","north","adult","24","0.290972222","0.278472222","-0.0125","3","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",4,"04","north","adult","15","0.3125","0.279166667","-0.033333333","3","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",5,"02","north","adult","6","0.295833333","0.248611111","-0.047222222","3","no","NA","NA"
"R1752","red","1752","B1624","blue","1624","1990",4,"27","north","adult","0","0.25625","0.254861111","-0.001388889","0","no","NA","NA"
"R1754","red","1754","Y1271","yellow","1271","1990",4,"07","north","adult","3","0.286111111","0.278472222","-0.007638889","3","no","no","no"
"R1754","red","1754","Y1271","yellow","1271","1990",4,"11","north","adult","6","0.306944444","0.273611111","-0.033333333","3","no","no","no"
"R181","red","181","W480","white","480","1990",3,"30","north","adult","13","0.254166667","0.247916667","-0.00625","3","no","NA","NA"
"R899","red","899","G1065","green","1065","1990",4,"24","mud_springs","adult","0","0.267361111","0.259027778","-0.008333333","3","no","NA","NA"
"W1405","white","1405","G1595","green","1595","1990",4,"30","sybille_springs","adult","6","0.25","0.254166667","0.004166667","0","yes","NA","NA"
"W1405","white","1405","G1595","green","1595","1990",5,"15","sybille_springs","adult","19","0.279166667","0.239583333","-0.039583333","1","yes","NA","NA"
"W1405","white","1405","G1595","green","1595","1990",5,"15","sybille_springs","adult","30","0.248611111","0.239583333","-0.009027778","1","no","NA","NA"
"W1422","white","1422","WR1742",NA,"1742","1990",5,"15","sybille_springs","adult","0","0.242361111","0.239583333","-0.002777778","3","no","no","no"
"W1442","white","1442","B1609","blue","1609","1990",4,"16","sybille_springs","adult","29","0.274305556","0.265972222","-0.008333333","2","no","NA","NA"
"W1442","white","1442","B1609","blue","1609","1990",4,"13","sybille_springs","adult","34","0.266666667","0.270833333","0.004166667","1","no","NA","NA"
"W1442","white","1442","B1609","blue","1609","1990",4,"13","sybille_springs","adult","23","0.303472222","0.270833333","-0.032638889","1","no","NA","NA"
"W1476","white","1476","O1380","orange","1380","1990",4,"27","north","juv","22","0.26875","0.254861111","-0.013888889","0","no",NA,NA
"W1476","white","1476","O1380","orange","1380","1990",4,"22","north","juv","26","0.30625","0.263888889","-0.042361111","0","no",NA,NA
"W1476","white","1476","O1380","orange","1380","1990",4,"22","north","juv","19","0.310416667","0.263888889","-0.046527778","0","no",NA,NA
"W1476","white","1476","O1380","orange","1380","1990",4,"25","north","juv","4","0.263194444","0.256944444","-0.00625","0","no",NA,NA
"W1476","white","1476","O1380","orange","1380","1990",4,"18","north","juv","29","0.286805556","0.265277778","-0.021527778","3","no",NA,NA
"W1476","white","1476","O1380","orange","1380","1990",4,"15","north","juv","34","0.270833333","0.267361111","-0.003472222","3","no",NA,NA
"W1476","white","1476","O1380","orange","1380","1990",5,"07","north","juv","25","0.2625","0.245138889","-0.017361111","3","no",NA,NA
"W1476","white","1476","O1380","orange","1380","1990",4,"14","north","juv","12","0.277777778","0.26875","-0.009027778","3","no",NA,NA
"W1476","white","1476","O1380","orange","1380","1990",5,"02","north","juv","22","0.276388889","0.248611111","-0.027777778","3","no",NA,NA
"W1476","white","1476","O1380","orange","1380","1990",4,"12","north","juv","32","0.306944444","0.270833333","-0.036111111","2","no",NA,NA
"W481","white","481","G388","green","388","1990",4,"18","north","adult","0","0.305555556","0.265277778","-0.040277778","3","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",4,"27","north","adult","0","0.282638889","0.254861111","-0.027777778","0","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",4,"07","north","adult","39","0.274305556","0.278472222","0.004166667","1","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",3,"28","north","adult","6","0.288888889","0.249305556","-0.039583333","0","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",4,"15","north","adult","31","0.275694444","0.267361111","-0.008333333","1","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",4,"14","north","adult","30","0.265972222","0.26875","0.002777778","1","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",4,"16","north","adult","33","0.299305556","0.265972222","-0.033333333","1","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",4,"05","north","adult","35","0.30625","0.278472222","-0.027777778","1","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",4,"18","north","adult","25","0.283333333","0.265277778","-0.018055556","2","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",4,"12","north","adult","13","0.311111111","0.270833333","-0.040277778","3","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",4,"04","north","adult","39","0.2875","0.279166667","-0.008333333","1","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",5,"07","north","adult","29","0.265972222","0.245138889","-0.020833333","1","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",4,"23","north","adult","6","0.253472222","0.261111111","0.007638889","3","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",3,"23","north","adult","12","0.257638889","0.250694444","-0.006944444","3","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",3,"25","north","adult","9","0.251388889","0.25","-0.001388889","3","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",3,"30","north","adult","20","0.248611111","0.247916667","-0.000694444","3","no","NA","NA"
"W660","white","660","Y1113","yellow","1113","1990",5,"02","north","adult","22","0.272222222","0.248611111","-0.023611111","3","no","NA","NA"
"WB1605",NA,"1605","WG1583",NA,"1583","1990",4,"23","mud_springs","adult","30","0.298611111","0.261111111","-0.0375","0","no",NA,NA
"WB1610",NA,"1610","W1433","white","1433","1990",5,"10","mud_springs","adult","25","0.263888889","0.243055556","-0.020833333","3","no","no","no"
"WB1626",NA,"1626","W1407","white","1407","1990",4,"30","sybille_springs","adult","14","0.297222222","0.254166667","-0.043055556","0","no","no","no"
"WB1626",NA,"1626","W1407","white","1407","1990",5,"15","sybille_springs","adult","0","0.248611111","0.239583333","-0.009027778","3","no","no","no"
"WB1630",NA,"1630","W1418","white","1418","1990",5,"02","north","adult","20","0.309722222","0.248611111","-0.061111111","3","no","no","yes"
"WB1630",NA,"1630","W1418","white","1418","1990",4,"18","north","adult","10","0.311805556","0.265277778","-0.046527778","3","no","no","yes"
"WB1630",NA,"1630","W1418","white","1418","1990",5,"07","north","adult","35","0.2875","0.245138889","-0.042361111","3","no","no","yes"
"WB1668",NA,"1668","R1727","red","1727","1990",5,"10","sybille_springs","adult","17","0.197222222","0.243055556","0.045833333","1","no","yes","no"
"WB1668",NA,"1668","R1727","red","1727","1990",4,"17","sybille_springs","adult","20","0.258333333","0.265972222","0.007638889","2","no","yes","no"
"WB1668",NA,"1668","R1727","red","1727","1990",4,"22","sybille_springs","adult","29","0.254166667","0.263888889","0.009722222","1","no","yes","no"
"WB1668",NA,"1668","R1727","red","1727","1990",4,"30","sybille_springs","adult","0","0.267361111","0.254166667","-0.013194444","0","no","yes","no"
"WB1668",NA,"1668","R1727","red","1727","1990",5,"15","sybille_springs","adult","0","0.244444444","0.239583333","-0.004861111","3","no","yes","no"
"WB1668",NA,"1668","R1727","red","1727","1990",5,"13","sybille_springs","adult","26","0.263194444","0.239583333","-0.023611111","3","no","yes","no"
"WB1668",NA,"1668","R1727","red","1727","1990",4,"24","sybille_springs","adult","14","0.25625","0.259027778","0.002777778","1","no","yes","no"
"WB1668",NA,"1668","R1727","red","1727","1990",4,"16","sybille_springs","adult","13","0.266666667","0.265972222","-0.000694444","2","no","yes","no"
"WB1668",NA,"1668","R1727","red","1727","1990",5,"06","sybille_springs","adult","0","0.261111111","0.245833333","-0.015277778","3","no","yes","no"
"WG1503",NA,"1503","W1408","white","1408","1990",5,"02","north","adult","5","0.257638889","0.248611111","-0.009027778","3","no","no","no"
"WG1503",NA,"1503","W1408","white","1408","1990",4,"23","north","adult","0","0.275694444","0.261111111","-0.014583333","3","no","no","no"
"WG1511",NA,"1511","O1306","orange","1306","1990",4,"28","mud_springs","adult","16","0.250694444","0.254861111","0.004166667","2","no","no","yes"
"WG1514",NA,"1514","W1480","white","1480","1990",4,"17","sybille_springs","adult","34","0.270138889","0.265972222","-0.004166667","3","no","no","no"
"WG1514",NA,"1514","W1480","white","1480","1990",4,"30","sybille_springs","adult","4","0.253472222","0.254166667","0.000694444","0","no","no","no"
"WG1514",NA,"1514","W1480","white","1480","1990",5,"10","sybille_springs","adult","23","0.250694444","0.243055556","-0.007638889","3","no","no","no"
"WG1552",NA,"1552","Y1252","yellow","1252","1990",5,"06","mud_springs","adult","0","0.265972222","0.245833333","-0.020138889","3","no","NA","NA"
"WG1552",NA,"1552","Y1252","yellow","1252","1990",5,"06","mud_springs","adult","1","0.290277778","0.245833333","-0.044444444","3","no","NA","NA"
"WG1552",NA,"1552","Y1252","yellow","1252","1990",4,"24","mud_springs","adult","0","0.271527778","0.259027778","-0.0125","3","no","NA","NA"
"WG1561",NA,"1561","Y1281","yellow","1281","1990",4,"17","sybille_springs","adult","4","0.305555556","0.265972222","-0.039583333","3","no","no","no"
"WG1573",NA,"1573","R1761","red","1761","1990",5,"08","sybille_springs","adult","0","0.236111111","0.244444444","0.008333333","3","no","no","no"
"WG1597",NA,"1597","WB1608",NA,"1608","1990",4,"19","mud_springs","adult","32","0.286805556","0.264583333","-0.022222222","1","yes","NA","NA"
"WG1597",NA,"1597","WB1608",NA,"1608","1990",4,"19","mud_springs","adult","38","0.280555556","0.264583333","-0.015972222","1","yes","NA","NA"
"WG1597",NA,"1597","WB1608",NA,"1608","1990",4,"22","mud_springs","adult","30","0.277083333","0.263888889","-0.013194444","1","yes","NA","NA"
"WO1304",NA,"1304","B1615","blue","1615","1990",4,"23","mud_springs","adult","3","0.275","0.261111111","-0.013888889","3","no","no","no"
"WO1304",NA,"1304","B1615","blue","1615","1990",4,"24","mud_springs","adult","9","0.288888889","0.259027778","-0.029861111","3","no","no","no"
"WO1304",NA,"1304","B1615","blue","1615","1990",5,"08","mud_springs","adult","6","0.263888889","0.244444444","-0.019444444","3","no","no","no"
"WO1304",NA,"1304","B1615","blue","1615","1990",4,"28","mud_springs","adult","0","0.277083333","0.254861111","-0.022222222","3","no","no","no"
"WO1305",NA,"1305","Y1285","yellow","1285","1990",4,"18","sybille_springs","adult","14","0.254166667","0.265277778","0.011111111","2","no","no","yes"
"WO1305",NA,"1305","Y1285","yellow","1285","1990",5,"15","sybille_springs","adult","0","0.248611111","0.239583333","-0.009027778","3","no","no","yes"
"WO1317",NA,"1317","R1764","red","1764","1990",5,"06","mud_springs","adult","4","0.252083333","0.245833333","-0.00625","3","no","NA","NA"
"WO1319",NA,"1319","W1414","white","1414","1990",4,"30","sybille_springs","adult","0","0.268055556","0.254166667","-0.013888889","0","no","no","no"
