,binder_pdf_scan_page,year,month,day,time_start,time_end,age,sex,lek_name,observer,capture_technique,left_tag_color,left_tag_number,left_tag_code,right_tag_color,right_tag_number,right_tag_code,wygf_leg_band,dominance,weight_bird_and_bag_kg,weight_bag_kg,weight_bird_kg,total_length_mm,tail_length_mm,num_tail_feathers,head_length_mm,wing_length_mm,bill_length_mm,bill_depth_mm,keel_length_mm,comb_length_mm,tarsus_length_mm,toe_length_mm,air_sac_color,comb_color,lice_back_of_head,num_lice_on_comb,num_lice_on_air_sac_left,num_lice_on_air_sac_right,total_num_lice_on_air_sacs,lice_ID_ifpresent,hematomas_combs,num_hematomas_on_comb_left,num_hematomas_on_comb_right,total_num_hematomas_on_combs,hematomas_comb_comments,hematomas_air_sacs,num_hematomas_on_air_sac_left,num_hematomas_on_air_sac_right,total_num_hematomas_on_air_sacs,hematomas_air_sacs_comments,hematoma_group,hematomas_applied,cut_feathers,collect,labelled,samples_collected_blood,blood_smear,blood_tryps,blood_malaria,blood_leuco,blood_haema,samples_collected_fecal,fecal_samples_mites,fecal_samples_spores,fecal_samples_coccidia,fecal_samples_comments,samples_collected_ectoparasites,samples_collected_cecal,hematocrit_cells_1,hematocrit_cells_2,hematocrit_plasma_1,hematocrit_plasma_2,hematocrit_total_1,hematocrit_total_2,slide_number,box_number,existing_injuries,handling_injury,stresses_while_handling_describe,comments
381,4,1989,3,23,1:41,2:08,adult,male,long_lake,White,spotlight,blue,949,B949,red,900,R900,NA,NA,3.4,0.4,3,775,400,16,NA,305,39.55,22.45,172,27.4,72,66,yellow,olive yellow,no,0,0,0,0,NA,NA,NA,NA,NA,NA,no,0,0,0,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,14,15,10,8,24,23,15+16,NA,None,None,Minimal,NA
382,5,1989,3,30,2:34,2:48,juven,male,long_lake,White/Brokaw,spotlight,orange,792,O792,yellow,1110,Y1110,NA,NA,2.8,0.4,2.4,660,278,20,NA,305,39.85,21.5,110,24.45,68,70,yellow,olive yellow,yes,6,4,0,4,NA,NA,NA,NA,NA,Lots - 15 - 20 (lice on hematoma),NA,NA,NA,NA,Lots - 15 - 20,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,13,21,11,14,24,35,NA,NA,no,no,Minimal,"Lice on back of head, lots of feather loss. Lost feathers on left leg - looks mangy - lots of lice."
383,6,1989,3,30,4:50,NA,adult,male,long_lake,White/Brokaw,spotlight,green,1084,G1084,red,883,R883,NA,NA,3.3,0.3,3,720,322,20,NA,322,39.95,23.3,147,26.05,64,68,bistre yellow,olive yellow,no,0,0,0,0,NA,no,0,0,0,NA,no,0,0,0,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,15,17,11,10,26,27,25+26,NA,Bruise on right air sac,no,NA,NA
384,7,1989,3,30,3:23,3:39,adult,male,long_lake,White/Brokaw,spotlight,yellow,1116,Y1116,yellow,1118,Y1118,NA,NA,3.6,NA,NA,802,369,17,NA,347,40.9,23.4,146,27,67,77,bistre yellow,olive yellow,no,0,NA,NA,NA,NA,yes,1,0,1,NA,yes,4,0,4,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,no,NA,NA,NA,NA,no,no,15,14,15,14,30,28,23+24,NA,no,no,Moderate,Tail feathers curved up
385,8,1989,3,30,4:31,4:49,adult,male,long_lake,White/Brokaw,spotlight,yellow,1117,Y1117,white,659,W659,NA,NA,3.1,0.3,2.8,718,360,12,NA,328,41.7,22.65,149,25.5,67,68,bistre yellow,olive yellow,no,0,0,0,0,NA,yes,12,0,12,NA,yes,22,0,22,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,no,NA,NA,NA,NA,no,no,15,9,16,12,31,21,31+32,NA,no,no,NA,NA
386,9,1989,3,30,2:52,3:07,adult,male,long_lake,White/Brokaw,spotlight,blue,948,B948,yellow,1142,Y1142,NA,NA,3.1,0.3,2.8,700,305,13,NA,339,37.8,20.6,164,23.8,64,69,chrome yellow,olive yellow,no,0,0,0,0,NA,NA,NA,NA,NA,NA,yes,0,4,4,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,15,14,14,13,29,27,29+30,NA,no,no,Minimal,NA
387,10,1989,3,30,2:10,2:29,adult,male,long_lake,White/Brokaw,spotlight,orange,738,O738,red,848,R848,NA,NA,3.3,0.4,2.9,705,305,18,NA,315,41.9,23.75,157,27.75,68,62,bistre yellow,bistre yellow,no,0,0,0,0,NA,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,16,11,12,8,28,19,33+34,NA,no,no,Moderate - resp,Beautiful large combs
388,11,1989,3,30,3:10,3:22,juven,male,long_lake,White/Brokaw,spotlight,blue,950,B950,white,658,W658,NA,NA,3,0.3,2.7,721,305,17,NA,332,40.7,21.8,150,24.55,62,60,yellow,bistre yellow,no,0,0,0,0,NA,no,0,0,0,NA,no,0,0,0,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Small cut on ball of left air sac -  scabbing over,no,NA,RECAP 89
389,12,1989,4,1,4:05,4:23,adult,male,long_lake,White/Hutchinson,spotlight,blue,1601,B1601,blue,1602,B1602,NA,NA,3.35,0.3,3.05,742,333,20,NA,325,40.25,23,159,26.55,65,68,bistre yellow,olive yellow,no,0,0,0,0,NA,yes,0,3,3,NA,yes,0,5,5,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,no,10,11,12,12,22,23,63+64,NA,no,no,Moderate,"Slide # 2 ? 9.7 x 147; 9.8 x 140.8, #1 - 7.8 x 172.4; 172.5 x 9.97"
390,13,1989,4,1,3:19,3:40,adult,male,long_lake,White/Huchinson,spotlight,yellow,NA,Y,green,381,G381,NA,NA,3.2,0.3,2.9,766,331,19,NA,329,37.6,21.5,154,26.9,64,71,yellow,yellow olive,no,0,0,0,0,NA,no,0,0,0,NA,no,0,0,0,NA,NA,NA,yes,yes,yes,yes,NA,NA,no,NA,NA,yes,NA,NA,NA,NA,no,no,3,3,4,9,7,12,NA,NA,None,no,Moderate - breathing,Beautiful bird!
