,binder_pdf_scan_page,year,month,day,time_start,time_end,age,sex,lek_name,observer,capture_technique,left_tag_color,left_tag_number,left_tag_code,right_tag_color,right_tag_number,right_tag_code,wygf_leg_band,dominance,weight_bird_and_bag_kg,weight_bag_kg,weight_bird_kg,total_length_mm,tail_length_mm,num_tail_feathers,head_length_mm,wing_length_mm,bill_length_mm,bill_depth_mm,keel_length_mm,comb_length_mm,tarsus_length_mm,toe_length_mm,air_sac_color,comb_color,lice_back_of_head,num_lice_on_comb,num_lice_on_air_sac_left,num_lice_on_air_sac_right,total_num_lice_on_air_sacs,lice_ID_ifpresent,hematomas_combs,num_hematomas_on_comb_left,num_hematomas_on_comb_right,total_num_hematomas_on_combs,hematomas_comb_comments,hematomas_air_sacs,num_hematomas_on_air_sac_left,num_hematomas_on_air_sac_right,total_num_hematomas_on_air_sacs,hematomas_air_sacs_comments,hematoma_group,hematomas_applied,cut_feathers,collect,labelled,samples_collected_blood,blood_smear,blood_tryps,blood_malaria,blood_leuco,blood_haema,samples_collected_fecal,fecal_samples_mites,fecal_samples_spores,fecal_samples_coccidia,fecal_samples_comments,samples_collected_ectoparasites,samples_collected_cecal,hematocrit_cells_1,hematocrit_cells_2,hematocrit_plasma_1,hematocrit_plasma_2,hematocrit_total_1,hematocrit_total_2,slide_number,box_number,existing_injuries,handling_injury,stresses_while_handling_describe,comments
145,4,1988,4,13,9:45,NA,adult,male,cordingly,NA,NA,orange,NA,O,purple,556,P556,NA,NA,NA,NA,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RECAPTURE
146,5,1988,4,14,12:25,NA,adult,male,cordingly,NA,NA,blue,265,B265,blue,264,B264,NA,NA,NA,NA,3.05,750,304,18,NA,324,39.55,22.6,141,20.35,70,65,bistre yellow,olive yellow,no,0,NA,NA,5,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RECAPTURE
147,6,1988,4,14,1:00,NA,adult,male,cordingly,NA,NA,orange,NA,O,purple,NA,P,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RECAPTURE
148,7,1988,4,15,0:15,NA,adult,male,cordingly,NA,NA,orange,66,O66,purple,NA,P,NA,NA,NA,NA,3.62874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,8,1988,4,6,11:25,NA,adult,female,cordingly,NA,nightlighting,green,351,G351,green,372,G372,NA,NA,NA,NA,1.55,557,209,NA,67.65,261,28.88,18.9,104,16.4,59,56,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,9,1988,4,11,7:20,NA,adult,female,cordingly,NA,NA,orange,53,O53,orange,54,O54,NA,NA,NA,NA,1.7,534,205,NA,NA,268,34.88,19.6,96,NA,59,61,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,10,1988,4,11,7:35,NA,juven,female,cordingly,NA,NA,purple,529,P529,purple,526,P526,NA,NA,NA,NA,1.7,536,200,NA,NA,256,32.9,18.35,103,NA,52,54,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,11,1988,4,15,0:48,NA,adult,female,cordingly,NA,NA,orange,69,O69,purple,557,P557,NA,NA,NA,NA,2.63084,550,105,NA,NA,272,33,18.35,138,NA,56,55,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,1,1988,4,18,5:00,NA,adult,male,red_post,NA,NA,green,1029,G1029,green,1032,G1032,NA,NA,NA,NA,3.05,675,305,18,NA,304,38.5,21.65,169,30.55,65,70,bistre yellow,yellow olive,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scratches from fights on left air sac
154,3,1988,4,19,1:16,NA,adult,male,red_post,NA,NA,green,1036,G1036,orange,733,O733,NA,NA,NA,NA,3.1,690,305,14,NA,305,40,22,135,27.2,68,67.5,bistre yellow (exc cond.),olive yellow,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
155,4,1988,4,19,1:38,NA,adult,male,red_post,NA,NA,green,1039,G1039,blue,968,B968,NA,NA,NA,NA,3.2,705,282.5,17,NA,297.5,37.8,19.5,145,26.9,65,70,olive yellow,olive yellow,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cut or scratch no hematomas from lice (however there is some reddishness to the skin),NA,NA,NA
156,5,1988,4,19,2:02,NA,adult,male,red_post,NA,NA,yellow,1179,Y1179,blue,952,B952,NA,NA,NA,NA,3.3,720,295,20,NA,292,39,21.5,140,26.25,70,72.5,bistre yellow,olive yellow,no,NA,NA,NA,1,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
157,1,1988,3,30,6:22,NA,adult,male,long_lake,NA,NA,orange,74,O74,orange,75,O75,NA,NA,NA,NA,3.3,798,313,15,NA,312,40.6,23.4,138,26.4,69,74,olive yellow,olive yellow,no,0,NA,NA,0,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,2,1988,3,30,7:00,NA,adult,male,long_lake,NA,NA,orange,73,O73,green,387,G387,NA,NA,NA,NA,3.35,795,299,18,NA,314,39.8,21.5,130,24.5,62,67,bistre yellow,green yellow,no,0,NA,NA,0,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,3,1988,3,30,6:55,NA,adult,male,long_lake,NA,NA,purple,577,P577,blue,286,B286,NA,NA,NA,NA,2.95,715,277,15,NA,319,38.8,23.5,132,24.5,62,70,olive yellow,olive yellow,yes,0,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,4,1988,3,30,6:28,NA,adult,male,long_lake,NA,NA,green,375,G375,blue,281,B281,NA,NA,NA,NA,2.76,736,274,16,NA,312,38.5,23.7,144,25.2,70,68,bistre yellow,bistre yellow,yes,0,NA,NA,0,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,5,1988,4,5,22:25,NA,adult,male,long_lake,NA,NA,green,303,G303,orange,5,O5,NA,NA,NA,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RECAP
162,6,1988,4,6,9:45,NA,adult,male,long_lake,NA,NA,yellow,NA,Y,orange,72,O72,NA,NA,NA,NA,3.2,673.1,311.15,NA,NA,336.55,39.6,17.5,155.575,24.5,76.2,82.55,olive yellow,bistre yellow,no,0,NA,NA,13,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,7,1988,4,7,6:40,NA,adult,male,long_lake,NA,NA,yellow,NA,Y,red,172,R172,NA,NA,NA,NA,3.49266,725,296,17,NA,316,40.6,22.9,139,25,69,73,green yellow,olive yellow,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,8,1988,4,7,7:00,NA,adult,male,long_lake,NA,NA,orange,92,O92,purple,565,P565,NA,NA,NA,NA,3.49266,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,greenish yellow,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RECAP 87
165,9,1988,4,7,8:15,NA,NA,male,long_lake,NA,NA,yellow,NA,Y,green,321,G321,NA,NA,NA,NA,3.40194,785,331,17,NA,319,35.8,16.7,135,24.6,70,69,olive yellow,olive yellow,no,0,NA,NA,0,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,10,1988,4,7,8:35,NA,adult,male,long_lake,NA,NA,yellow,NA,Y,blue,247,B247,NA,NA,NA,NA,3.4473,775,301,18,NA,323,37.4,22.1,136,23.9,69,68,bistre yellow,olive yellow,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,11,1988,4,8,11:10,NA,adult,male,long_lake,Ken Koeppen,NA,green,355,G355,green,328,G328,NA,NA,NA,NA,3,756,330,19,NA,309,37.15,21.68,146,22,69,65,bistre yellow,olive yellow,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,12,1988,4,8,11:50,NA,juven,male,long_lake,NA,NA,red,150,R150,white,471,W471,NA,NA,NA,NA,2.8,694,246,18,NA,308,41.6,22.4,138,20.7,70,69,bistre yellow,yellow olive,no,0,NA,NA,0,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,13,1988,4,8,11:35,NA,adult,male,long_lake,NA,NA,white,470,W470,orange,31,O31,NA,NA,NA,NA,3.3,750,342,19,NA,319,40.3,21.9,134,25.66,65,56,bistre yellow,olive yellow,yes,0,NA,NA,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,14,1988,4,9,11:48,NA,adult,male,long_lake,NA,NA,white,438,W438,blue,248,B248,NA,NA,NA,NA,3.3,675,201,13,NA,375,33.1,18.55,135,30.25,70,63,bistre yellow,bistre yellow,no,0,NA,NA,NA,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lice on air sac, but no number indicated, so replaced with NA"
171,16,1988,4,9,4:10,NA,adult,male,long_lake,NA,NA,green,355,G355,green,328,G328,NA,NA,NA,NA,3.3,745,223,20,NA,311,37.6,22.1,132,21.2,72,71,olive yellow,olive yellow,NA,0,NA,NA,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,no,no,no,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RECAP
172,17,1988,4,9,4:20,NA,adult,male,long_lake,NA,NA,green,378,G378,yellow,NA,Y,NA,NA,NA,NA,3.3,730,276,18,NA,312,32,22.7,134,22.5,71,71,bistre yellow,dull yellow green,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,18,1988,4,11,NA,NA,adult,male,long_lake,NA,NA,yellow,1163,Y1163,red,865,R865,NA,NA,NA,NA,3,625,250,NA,NA,290,39.5,20.5,135,27,70,67.5,bistre yellow,bistre yellow,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,20,1988,4,16,8:49,NA,adult,male,long_lake,NA,NA,red,193,R193,purple,563,P563,NA,NA,NA,NA,2.95,710,320,20,NA,300,39.1,20,145,26.2,70,65,bistre yellow,olive yellow,no,0,NA,NA,0,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,no,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Couldn't take blood because of sores under wings,NA,NA,RECAP 87
175,21,1988,4,16,9:26,NA,NA,male,long_lake,NA,NA,red,859,R859,yellow,1171,Y1171,NA,NA,NA,NA,2.95,700,315,11,77.5,310,39.9,21,152.5,26.5,67.6,65,bistre yellow,yellow olive,no,0,NA,NA,0,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,22,1988,4,20,4:02,NA,adult,male,long_lake,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,3.515341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very bloody, maybe airsac puntured?? did not process. Maybe internal (?). Air sac bleeding from right chest, could not find wound, but covered with blood and not very responsive.",NA,NA,NA
177,23,1988,4,20,4:22,NA,juven,male,long_lake,NA,NA,blue,996,B996,green,1051,G1051,NA,NA,NA,NA,3.33,657,270,18,NA,291,38.2,20.5,160,27.1,65,65,bistre yellow,greenish yellow,no,0,NA,NA,0,NA,yes,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middle tail feathers mising,NA,NA,NA
178,24,1988,4,7,9:04,NA,adult,female,long_lake,NA,NA,green,374,G374,blue,287,B287,NA,NA,NA,NA,2.17,543,204,NA,69.5,264,34.05,19.6,106,17.98,63,52,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,25,1988,4,7,8:50,NA,adult,female,long_lake,NA,NA,green,356,G356,purple,579,P579,NA,NA,NA,NA,1.5,545,206,NA,NA,276,33.7,18.82,104,17.08,58,53,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
180,26,1988,4,7,9:18,NA,adult,female,long_lake,NA,NA,green,360,G360,orange,11,O11,NA,NA,NA,NA,1.995,571,208,NA,NA,285,32.8,21.4,105,19,62,53,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,27,1988,4,7,9:34,NA,adult,female,long_lake,NA,NA,green,362,G362,red,134,R134,NA,NA,NA,NA,1.905,531,191,NA,69.5,276,31.75,18.9,113,16.65,60,52,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
182,28,1988,4,5,22:00,NA,juven,male,long_lake,NA,NA,orange,67,O67,purple,536,P536,NA,NA,NA,NA,2.85,648,227,13,NA,297,38.5,20.8,137,19.2,69,70,chrome yellow,yellow olive,no,0,NA,NA,6,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DIED.,NA,I screwed up.
183,29,1988,4,7,9:49,NA,adult,female,long_lake,NA,NA,green,373,G373,white,468,W468,NA,NA,NA,NA,1.5,551,219,NA,72.75,271,32.8,18.2,113,15.05,57,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
184,30,1988,4,7,10:04,NA,adult,female,long_lake,NA,NA,blue,283,B283,orange,26,O26,NA,NA,NA,NA,1.6,579,219,NA,77.35,281,36.55,20.45,110,18,61,55,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,31,1988,4,7,10:15,NA,adult,female,long_lake,NA,NA,blue,293,B293,red,147,R147,NA,NA,NA,NA,1.75,545,208,NA,72.05,268,33.65,17.15,122,16.6,55,55,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,32,1988,4,7,10:25,NA,adult,female,long_lake,NA,NA,purple,511,P511,white,454,W454,NA,NA,NA,NA,1.65,583,215,NA,76.34,275,34.8,19.45,117,16.78,60,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
187,33,1988,4,7,10:40,NA,adult,female,long_lake,NA,NA,purple,586,P586,orange,16,O16,NA,NA,NA,NA,1.4,556,209,NA,72.96,275,32,17.13,118,17.33,57,54,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
188,34,1988,4,7,10:55,NA,juven,female,long_lake,NA,NA,purple,594,P594,green,363,G363,NA,NA,NA,NA,1.5,551,222,NA,75.45,269,35.4,20.1,116,17.4,64,56,NA,NA,no,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
189,35,1988,4,7,11:09,NA,juven,female,long_lake,NA,NA,purple,514,P514,purple,582,P582,NA,NA,NA,NA,1.55,560,193,NA,74.95,281,33.7,19.35,113,17.9,59,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,36,1988,4,7,11:20,NA,adult,female,long_lake,NA,NA,purple,512,P512,blue,278,B278,NA,NA,NA,NA,1.525,537,208,NA,73.05,263,32.95,17.6,120,17.25,59,57,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
191,43,1988,4,6,9:00,NA,adult,female,long_lake,NA,NA,yellow,NA,Y,white,436,W436,NA,NA,NA,NA,1.85,415,NA,NA,NA,260,32.28,17.67,110,NA,60,61,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,44,1988,4,6,9:58,NA,NA,female,long_lake,NA,NA,red,175,R175,blue,240,B240,NA,NA,NA,NA,1.6,220,165,NA,NA,257,34.3,16.75,120,NA,57,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,45,1988,4,6,10:19,NA,adult,female,long_lake,NA,NA,red,170,R170,purple,541,P541,NA,NA,NA,NA,1.65,525,182,NA,NA,255,32.5,16,110,NA,57,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,46,1988,4,6,10:39,NA,adult,female,long_lake,NA,NA,red,169,R169,orange,68,O68,NA,NA,NA,NA,1.8,565,195,NA,NA,258,33,17.69,110,NA,60,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,47,1988,4,6,10:58,NA,NA,female,long_lake,NA,NA,red,168,R168,white,431,W431,NA,NA,NA,NA,1.6,505,181,NA,NA,260,31.5,17.5,110,NA,60,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,48,1988,4,6,11:20,NA,adult,female,long_lake,NA,NA,red,166,R166,green,382,G382,NA,NA,NA,NA,1.7,390,NA,NA,NA,255,31.24,16.65,115,NA,58,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,49,1988,4,6,11:36,NA,adult,female,long_lake,NA,NA,red,165,R165,yellow,NA,Y,NA,NA,NA,NA,1.8,510,180,NA,NA,255,31.75,17.5,120,NA,57.5,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
198,50,1988,4,9,3:30,NA,adult,female,long_lake,NA,nightlighted,green,379,G379,yellow,NA,Y,NA,NA,NA,NA,1.9,547,186,NA,NA,262,33.1,20.2,98,NA,60,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
199,51,1988,4,9,3:50,NA,adult,female,long_lake,NA,NA,blue,242,B242,yellow,NA,Y,NA,NA,NA,NA,1.75,552,169,NA,NA,262,30.7,19,101,NA,55,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No blood data
