"source","binder_pdf_page_number","year","month","day","arrival_time","observer","lek_name","trapping_activity","wind_mph","cloud_cover_percent_comments","snowing_status","raining_status","temp_f","other_weather_conditions","lek_ground_condition","predator_disturbance_type","predator_disturbance_time","type","left_tag_color","left_tag_number","left_tag_code","right_tag_color","right_tag_number","right_tag_code","age","observation_time","sunrise_time","time_start","time_end","num_of_struts","struts_5_min","distance_to_hens_category","distance_to_hens_notes","fights","num_of_copulations","breed","malaria","lice","other_fights_and_comments"
"binder, floppy","58","1990",3,23,"5:43","White","north","none","2 (picked upto around 20mph end of observation)","100","no",NA,"~20",NA,"snow cover - snow, high winds overnight ",NA,NA,"strut","white","660","W660","yellow","1113","Y1113","adult",NA,"6:01","6:11","6:16",12,12,"3",NA,"fighting with UM male",NA,"no",NA,NA,"Left 6:51, MCJ 0709 - no birds."
"binder, floppy","58","1990",3,23,"5:43","White","north","none","2 (picked upto around 20mph end of observation)","100","no",NA,"~20",NA,"snow cover - snow, high winds overnight ",NA,NA,"strut","blue","285","B285","blue","279","B279","adult",NA,"6:01","6:22","6:27",27,27,"3",NA,"missing about 1/4 tail feathers",NA,"no","yes",NA,"Left 6:51, MCJ 0709 - no birds."
"binder, floppy","58","1990",3,23,"5:43","White","north","none","2 (picked upto around 20mph end of observation)","100","no",NA,"~20",NA,"snow cover - snow, high winds overnight ",NA,NA,"strut","red","102","R102","red","101","R101","adult",NA,"6:01","6:31","6:36",11,11,"3",NA,NA,NA,"no",NA,NA,"Left 6:51, MCJ 0709 - no birds."
"binder, floppy","59","1990",3,25,"5:39","White","north","none","0 to 5","0",NA,NA,"~25",NA,"light snow cover",NA,NA,"strut","green","302","G302","green","301","G301","adult",NA,"6:00","5:51","5:56",5,5,"3",NA,"Hen walked by at about 10m",NA,"no",NA,NA,"6: ? - 11 hens flew S over lek. May have been in sagebrush to N. - Didn't land S. Left 7:03. WY - 1/2 R tail feathers missing (14 tail feathers)."
"binder, floppy","59","1990",3,25,"5:39","White","north","none","0 to 5","0",NA,NA,"~25",NA,"light snow cover",NA,NA,"strut","orange","9","O9","white","462","W462","adult",NA,"6:00","6:07","6:12",6,6,"3",NA,NA,NA,"no",NA,NA,"6: ? - 11 hens flew S over lek. May have been in sagebrush to N. - Didn't land S. Left 7:03. WY - 1/2 R tail feathers missing (14 tail feathers)."
"binder, floppy","59","1990",3,25,"5:39","White","north","none","0 to 5","0",NA,NA,"~25",NA,"light snow cover",NA,NA,"strut","white","660","W660","yellow","1113","Y1113","adult",NA,"6:00","6:02","6:07",NA,9,"3",NA,"Fight w/ O/W +standoff",NA,"no",NA,NA,"6: ? - 11 hens flew S over lek. May have been in sagebrush to N. - Didn't land S. Left 7:03. WY - 1/2 R tail feathers missing (14 tail feathers)."
"binder, floppy","59","1990",3,25,"5:39","White","north","none","0 to 5","0",NA,NA,"~25",NA,"light snow cover",NA,NA,"strut","blue","285","B285","blue","279","B279","adult",NA,"6:00","6:24","6:29",13,13,"0",NA,"Fight w/ UM - standoff",NA,"no","yes",NA,"6: ? - 11 hens flew S over lek. May have been in sagebrush to N. - Didn't land S. Left 7:03. WY - 1/2 R tail feathers missing (14 tail feathers)."
"binder, floppy","59","1990",3,25,"5:39","White","north","none","0 to 5","0",NA,NA,"~25",NA,"light snow cover",NA,NA,"strut","red","1752","R1752","blue","1624","B1624","adult",NA,"6:00","6:45","6:50",21,21,"0",NA,"Fight w/ UM - standoff",NA,"no",NA,NA,"6: ? - 11 hens flew S over lek. May have been in sagebrush to N. - Didn't land S. Left 7:03. WY - 1/2 R tail feathers missing (14 tail feathers)."
"binder, floppy","60","1990",3,28,"6:00","White","north","none","10 to 15 (gust to 25)","100","no",NA,"~15","Rain changing to snow after, (?) by strong winds.  ","snow cover",NA,NA,"strut","blue","285","B285","blue","279","B279","adult",NA,"6:00","6:16","6:21",16,16,"2",NA,NA,NA,"no","yes",NA,"Except for B/B not a lot of strutting only a few moments of activity. Left 7:20"
"binder","60","1990",3,28,"6:00","White","north","none","10 to 15 (gust to 25)","100","no",NA,"~15","Rain changing to snow after, (?) by strong winds.  ","snow cover",NA,NA,"strut","green",NA,NA,"blue",NA,NA,NA,NA,"6:00",NA,NA,NA,NA,NA,NA,"Did not strut",NA,NA,NA,NA,"Except for B/B not a lot of strutting only a few moments of activity. Left 7:20"
"binder","60","1990",3,28,"6:00","White","north","none","10 to 15 (gust to 25)","100","no",NA,"~15","Rain changing to snow after, (?) by strong winds.  ","snow cover",NA,NA,"strut","red",NA,NA,NA,NA,NA,NA,NA,"6:00","6:40","6:45",0,0,"3",NA,"With UM male - standoff",NA,NA,NA,NA,"Except for B/B not a lot of strutting only a few moments of activity. Left 7:20"
"binder, floppy","60","1990",3,28,"6:00","White","north","none","10 to 15 (gust to 25)","100","no",NA,"~15","Rain changing to snow after, (?) by strong winds.  ","snow cover",NA,NA,"strut","white","660","W660","yellow","1113","Y1113","adult",NA,"6:00","6:56","7:01",6,6,"0",NA,"With UM male - standoff",NA,"no",NA,NA,"Except for B/B not a lot of strutting only a few moments of activity. Left 7:20"
"binder, floppy","60","1990",3,28,"6:00","White","north","none","10 to 15 (gust to 25)","100","no",NA,"~15","Rain changing to snow after, (?) by strong winds.  ","snow cover",NA,NA,"strut","green","1560","G1560","blue","1620","B1620","adult",NA,"6:00","7:05","7:10",0,0,"0",NA,"Startled before began (?)",NA,"no","yes",NA,"Except for B/B not a lot of strutting only a few moments of activity. Left 7:20"
"binder, floppy","61","1990",3,30,"5:45","White/Frieson","north","none","0 to 5","100","no","no","~25",NA,"snow particles",NA,NA,"strut","white","660","W660","yellow","1113","Y1113","adult",NA,"5:49","5:58","6:03",20,20,"3",NA,"w/ UM - standoff",NA,"no",NA,NA,NA
"binder, floppy","61","1990",3,30,"5:45","White/Frieson","north","none","0 to 5","100","no","no","~25",NA,"snow particles",NA,NA,"strut","green","1560","G1560","blue","1620","B1620","adult",NA,"5:49","6:06","6:11",6,6,"3",NA,NA,NA,"no","yes",NA,NA
"binder, floppy","61","1990",3,30,"5:45","White/Frieson","north","none","0 to 5","100","no","no","~25",NA,"snow particles",NA,NA,"strut","red","181","R181","white","480","W480","adult",NA,"5:49","6:06","6:11",13,13,"3",NA,"w/ UM - standoff",NA,"no",NA,NA,NA
"binder, floppy","61","1990",3,30,"5:45","White/Frieson","north","none","0 to 5","100","no","no","~25",NA,"snow particles",NA,NA,"strut","red","1752","R1752","blue","1624","B1624","adult",NA,"5:49","6:15","6:20",29,29,"2",NA,"w/ OY to W of lek",NA,"no",NA,NA,NA
"binder, floppy","61","1990",3,30,"5:45","White/Frieson","north","none","0 to 5","100","no","no","~25",NA,"snow particles",NA,NA,"strut","blue","285","B285","blue","279","B279","adult",NA,"5:49","6:31","6:36",12,12,"3",NA,NA,NA,"no","yes",NA,NA
