,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS,,,,,,,,,,
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:25,21,39,Females walking away from lek,6:27,6:32,Red,Blue,11,,,fight - chased by BR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:55,22,31,,6:27,6:32,White,Green,6,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:15,23,26,B/R ran unmarked male off. 7 birds flew in and landed about 100 yards from lek (not included in count). ,6:41,6:46,Orange,Blue,22,3,,far edge of lek,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:25,23,24,,6:48,6:53,Red,Red,15,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:40,18,10,,6:49,6:54,Green,Blue,15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:56,7:01,Orange,Green,32,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:09,7:14,Blue,Purple,33,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:25,7:30,Green,White,29,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:30,7:35,Orange,Green,11,,,,,,,,,,,,,,,,,,
31,1987-04-16,5:43,,MUD SPRINGS ,Lacey/Heard,,0 -5,<10%,N,N,,,Clear,Eagle,5:59,5:45,,,"Too dark to count, Males strutting vigorously",6:17,6:22,Green,Orange,36,1,,,,,,,"3 males w/ hens clustered, all unmarked. 2 centers. 6:43 - fight - standoff B/R and G/W. G/W walked off. ",,,,,,,,,,
,,,,,,,,,,,,,,,,5:55,16,8,Hard to see hens ,6:29,6:34,Blue,Purple,23,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5:59,0,0,Eagle in - everyone left!!,6:35,6:40,White,Green,20,,Hen landed next to him,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:04,2,,came back in ,6:41,6:46,Red,Blue,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:06,21,,400 yrds from LEK postion ,6:49,6:54,Red,,0,,"At edge of lek by himself, limping, walking away",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:11,25,30,,6:54,6:59,Purple,Blue,22,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:20,,,Hens moving away. 5 females left.,7:09,7:14,Blue,Purple,41,1-1,,helped chase another male away,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:23,24,26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6:47,24,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:02,17,13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:16,13,9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:26,8,0,,,,,,,,,,,,,,,,,,,,,,,,
32,1987-04-18,6:45,,MUD SPRINGS,Lacey/Johnson,,5 -10 ,30%,N,N,,,Clear,,,7:02,21,12,,7:07,7:12,Green,White,22,,,,,,,,"had gone to Long lake MSB still there from nightlighting so we came here. G/W is in the mating center, but did not get any copulations, he seems to be in the thick of things. ",,,,,,,,,,
,,,,,,,,,,,,,,,,7:10,,,Hens left,7:14,7:19,Blue,Purple,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:15,16,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:19,10,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:28,7,4,Females and males started to walk away from LEK ,,,,,,,,,,,,,,,,,,,,,,,
33,1987-04-24,5:30,,MUD SPRINGS,MSB,,0,20%,N,N,,,,,,5:40,56,12,,,,,,,,,,Unmarked,,5:57,1,"6:20 copulation: vigorous shaking by female after. 6:10 - three soliciations, 1 female pecked at another that was soliciting. 6:24 soliciation. ",,,,,,,,,,
,,,,,,,,,,,,,,,,6:52,50,~17,"7 females at east, not at centre, therefore total of at least 17 females on lek",,,,,,,,,Unmarked,,6:02,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmarked,,6:04,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmarked,,6:20,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unmarked,,6:22,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:27,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,,6:40,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,,6:40,1,,,,,,,,,,,
34,1987-04-25,5:35,,MUD SPRINGS,MSB,,0,5%,N,N,Warm >32F,,Clear,,,5:40,52,8,19 males at E. centre + 2 females,6:32,,White,White,29,1,,,White,White,6:35,1,"Male at east centre with missing tail feathers. 6:41: 1 min into recording another female jumped on back of male, during cop out, didn't disrupt. At 3 1/2 min into count G/W stopped to take flutter at unmarked male. 5:50 W/B last fight to conmarked male at E. mating center. 6:23 broken tail bumped female with airs sacts during strut - she moved 1m for.1 minute before left to N, standing by W/W for 2 minutes. Solicited copulation at 6:15 but then walked off to south. At 6:30 - female was still hanging around W/W at E center. G/W and G/R near N mating center both very vigorous. ",,,,,,,,,,
,,,,,,,,,,,,,,,,6:00,48,8,,6:41,6:46,White,Green,30,1,,,Green,White,6:42,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:00,52,2,,6:52,6:57,Red,Blue,15,1,cop. During timed period immediately left to fight male about ?m (?) then returned to strut (?),,Unmarked,,6:50,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:08,7:13,Blue,W489,1,0,,,,,,,,,,,,,,,,,
35,1987-04-27,5:50,~6:10,MUD SPRINGS,Boyce/Lacey/Cole,,20,40%,N,N,,Wind blowing,Clear,,,5:54,36,4,"1 hen W side, wandering around",6:00,6:05,Purple,Blue,20,2,hen walked by,,unmarked,,,1,"1 hen kept soliciting copulations, male was unprepared ~5 times, finally copulated. Standoff - 2 hens, 0.5min, no winner. ~^;24 - one of the bred hens solicited another copulation. 6:31 - B/ standoff w/ /W, B/ walked off. P/B wingbeat w/ unmarked male, (?). ",,,,,,,,,,
,,,,,,,,,,,,,,,,6:28,29,2,2 females already bred,6:07,6:12,White,Green,3,,2 hens,,unmarked ,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:07,6:12,Red,Blue,0,,2 hens,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:17,6:22,Red,Orange,7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:25,6:30,Blue,Purple,3,,,"Won a chase w/ an unmarked male, chased him off",,,,,,,,,,,,,,,
